"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10016,61,9,1.13043,0.0,1940,2060
10016,62,1,1.13043,0.0,1940,2060
10016,62,2,1.08696,0.02,1940,2060
10016,62,3,1.13043,0.0,1940,2060
10016,62,5,1.13043,0.0,1940,2060
10016,62,9,1.13043,0.0,1940,2060
10017,11,1,1.13043,0.0,1940,2060
10017,11,2,1.08696,0.02,1940,2060
10017,11,3,1.13043,0.0,1940,2060
10017,11,5,1.13043,0.0,1940,2060
10017,11,9,1.13043,0.0,1940,2060
10017,21,1,1.13043,0.0,1940,2060
10017,21,2,1.08696,0.02,1940,2060
10017,21,3,1.13043,0.0,1940,2060
10017,21,5,1.13043,0.0,1940,2060
10017,21,9,1.13043,0.0,1940,2060
10017,31,1,1.13043,0.0,1940,2060
10017,31,2,1.08696,0.02,1940,2060
10017,31,3,1.13043,0.0,1940,2060
10017,31,5,1.13043,0.0,1940,2060
10017,31,9,1.13043,0.0,1940,2060
10017,32,1,1.13043,0.0,1940,2060
10017,32,2,1.08696,0.02,1940,2060
10017,32,3,1.13043,0.0,1940,2060
10017,32,5,1.13043,0.0,1940,2060
10017,32,9,1.13043,0.0,1940,2060
10017,41,1,1.13043,0.0,1940,2060
10017,41,2,1.08696,0.02,1940,2060
10017,41,3,1.13043,0.0,1940,2060
10017,41,5,1.13043,0.0,1940,2060
10017,41,9,1.13043,0.0,1940,2060
10017,42,1,1.13043,0.0,1940,2060
10017,42,2,1.08696,0.02,1940,2060
10017,42,3,1.13043,0.0,1940,2060
10017,42,5,1.13043,0.0,1940,2060
10017,42,9,1.13043,0.0,1940,2060
10017,43,1,1.13043,0.0,1940,2060
10017,43,2,1.08696,0.02,1940,2060
10017,43,3,1.13043,0.0,1940,2060
10017,43,5,1.13043,0.0,1940,2060
10017,43,9,1.13043,0.0,1940,2060
10017,51,1,1.13043,0.0,1940,2060
10017,51,2,1.08696,0.02,1940,2060
10017,51,3,1.13043,0.0,1940,2060
10017,51,5,1.13043,0.0,1940,2060
10017,51,9,1.13043,0.0,1940,2060
10017,52,1,1.13043,0.0,1940,2060
10017,52,2,1.08696,0.02,1940,2060
10017,52,3,1.13043,0.0,1940,2060
10017,52,5,1.13043,0.0,1940,2060
10017,52,9,1.13043,0.0,1940,2060
10017,53,1,1.13043,0.0,1940,2060
10017,53,2,1.08696,0.02,1940,2060
10017,53,3,1.13043,0.0,1940,2060
10017,53,5,1.13043,0.0,1940,2060
10017,53,9,1.13043,0.0,1940,2060
10017,54,1,1.13043,0.0,1940,2060
10017,54,2,1.08696,0.02,1940,2060
10017,54,3,1.13043,0.0,1940,2060
10017,54,5,1.13043,0.0,1940,2060
10017,54,9,1.13043,0.0,1940,2060
10017,61,1,1.13043,0.0,1940,2060
10017,61,2,1.08696,0.02,1940,2060
10017,61,3,1.13043,0.0,1940,2060
10017,61,5,1.13043,0.0,1940,2060
10017,61,9,1.13043,0.0,1940,2060
10017,62,1,1.13043,0.0,1940,2060
10017,62,2,1.08696,0.02,1940,2060
10017,62,3,1.13043,0.0,1940,2060
10017,62,5,1.13043,0.0,1940,2060
10017,62,9,1.13043,0.0,1940,2060
10001,11,1,1.13043,0.0,1940,2060
10001,11,2,1.08696,0.02,1940,2060
10001,11,3,1.13043,0.0,1940,2060
10001,11,5,1.13043,0.0,1940,2060
10001,11,9,1.13043,0.0,1940,2060
10001,21,1,1.13043,0.0,1940,2060
10001,21,2,1.08696,0.02,1940,2060
10001,21,3,1.13043,0.0,1940,2060
10001,21,5,1.13043,0.0,1940,2060
10001,21,9,1.13043,0.0,1940,2060
10001,31,1,1.13043,0.0,1940,2060
10001,31,2,1.08696,0.02,1940,2060
10001,31,3,1.13043,0.0,1940,2060
10001,31,5,1.13043,0.0,1940,2060
10001,31,9,1.13043,0.0,1940,2060
10001,32,1,1.13043,0.0,1940,2060
10001,32,2,1.08696,0.02,1940,2060
10001,32,3,1.13043,0.0,1940,2060
10001,32,5,1.13043,0.0,1940,2060
10001,32,9,1.13043,0.0,1940,2060
10001,41,1,1.13043,0.0,1940,2060
10001,41,2,1.08696,0.02,1940,2060
10001,41,3,1.13043,0.0,1940,2060
10001,41,5,1.13043,0.0,1940,2060
10001,41,9,1.13043,0.0,1940,2060
10001,42,1,1.13043,0.0,1940,2060
10001,42,2,1.08696,0.02,1940,2060
10001,42,3,1.13043,0.0,1940,2060
10001,42,5,1.13043,0.0,1940,2060
10001,42,9,1.13043,0.0,1940,2060
10001,43,1,1.13043,0.0,1940,2060
10001,43,2,1.08696,0.02,1940,2060
10001,43,3,1.13043,0.0,1940,2060
10001,43,5,1.13043,0.0,1940,2060
10001,43,9,1.13043,0.0,1940,2060
10001,51,1,1.13043,0.0,1940,2060
10001,51,2,1.08696,0.02,1940,2060
10001,51,3,1.13043,0.0,1940,2060
10001,51,5,1.13043,0.0,1940,2060
10001,51,9,1.13043,0.0,1940,2060
10001,52,1,1.13043,0.0,1940,2060
