Year;Event;Size;Technology;Value;Interpolation_type;State
2026;sales_share;car;electric;0.35;linear;zev
2030;sales_share;car;electric;0.68;linear;zev
2035;sales_share;car;electric;1;linear;zev
2025;sales_share;light truck;electric;0.07;linear;zev
2030;sales_share;light truck;electric;0.3;linear;zev
2035;sales_share;light truck;electric;0.55;linear;zev
2045;sales_share;light truck;electric;1;linear;zev
2035;sales_share;car;all;1;linear;zev
