"Year","DestinationID","FIPS","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99","rowid"
"2025",1,1001,664.21548,664.21548,664.21548,664.21548,664.21548,724.1725,724.1725,724.1725,724.1725,724.1725,708.62712,708.62712,708.62712,708.62712,708.62712,691.13114,691.13114,691.13114,691.13114,691.13114,557.96412,557.96412,557.96412,557.96412,557.96412,676.0489,676.0489,676.0489,676.0489,676.0489,836.3114,836.3114,836.3114,836.3114,836.3114,764.16854,764.16854,764.16854,764.16854,764.16854,727.34304,727.34304,727.34304,727.34304,727.34304,651.1012,651.1012,651.1012,651.1012,651.1012,755.69646,755.69646,755.69646,755.69646,755.69646,693.8244,693.8244,693.8244,693.8244,693.8244,737.56662,737.56662,737.56662,737.56662,737.56662,642.93552,642.93552,642.93552,642.93552,642.93552,491.94924,491.94924,491.94924,491.94924,491.94924,392.1488,392.1488,392.1488,392.1488,392.1488,266.5738,266.5738,266.5738,266.5738,266.5738,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,69.9526266666667,6
"2025",2,1003,2754.71936,2754.71936,2754.71936,2754.71936,2754.71936,2841.89738,2841.89738,2841.89738,2841.89738,2841.89738,2912.6462,2912.6462,2912.6462,2912.6462,2912.6462,2796.06606,2796.06606,2796.06606,2796.06606,2796.06606,2363.63686,2363.63686,2363.63686,2363.63686,2363.63686,2667.4271,2667.4271,2667.4271,2667.4271,2667.4271,3025.80458,3025.80458,3025.80458,3025.80458,3025.80458,3017.53908,3017.53908,3017.53908,3017.53908,3017.53908,3146.27726,3146.27726,3146.27726,3146.27726,3146.27726,3023.991,3023.991,3023.991,3023.991,3023.991,3167.30348,3167.30348,3167.30348,3167.30348,3167.30348,3071.3279,3071.3279,3071.3279,3071.3279,3071.3279,3418.67954,3418.67954,3418.67954,3418.67954,3418.67954,3372.24948,3372.24948,3372.24948,3372.24948,3372.24948,2942.54848,2942.54848,2942.54848,2942.54848,2942.54848,2353.41078,2353.41078,2353.41078,2353.41078,2353.41078,1495.00144,1495.00144,1495.00144,1495.00144,1495.00144,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,427.403653333333,37
"2025",3,1005,235.05094,235.05094,235.05094,235.05094,235.05094,252.06798,252.06798,252.06798,252.06798,252.06798,284.76188,284.76188,284.76188,284.76188,284.76188,276.78466,276.78466,276.78466,276.78466,276.78466,315.05912,315.05912,315.05912,315.05912,315.05912,408.157,408.157,408.157,408.157,408.157,415.37446,415.37446,415.37446,415.37446,415.37446,322.95892,322.95892,322.95892,322.95892,322.95892,332.48866,332.48866,332.48866,332.48866,332.48866,291.6453,291.6453,291.6453,291.6453,291.6453,270.0647,270.0647,270.0647,270.0647,270.0647,242.87742,242.87742,242.87742,242.87742,242.87742,295.01504,295.01504,295.01504,295.01504,295.01504,266.2389,266.2389,266.2389,266.2389,266.2389,248.04054,248.04054,248.04054,248.04054,248.04054,225.35564,225.35564,225.35564,225.35564,225.35564,133.04778,133.04778,133.04778,133.04778,133.04778,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,30.5353933333333,68
"2025",4,1007,218.23138,218.23138,218.23138,218.23138,218.23138,217.49912,217.49912,217.49912,217.49912,217.49912,225.66104,225.66104,225.66104,225.66104,225.66104,224.6162,224.6162,224.6162,224.6162,224.6162,238.03888,238.03888,238.03888,238.03888,238.03888,339.47468,339.47468,339.47468,339.47468,339.47468,383.14412,383.14412,383.14412,383.14412,383.14412,336.12834,336.12834,336.12834,336.12834,336.12834,277.5379,277.5379,277.5379,277.5379,277.5379,289.34528,289.34528,289.34528,289.34528,289.34528,316.9233,316.9233,316.9233,316.9233,316.9233,273.86958,273.86958,273.86958,273.86958,273.86958,292.42302,292.42302,292.42302,292.42302,292.42302,235.819,235.819,235.819,235.819,235.819,191.34418,191.34418,191.34418,191.34418,191.34418,162.49198,162.49198,162.49198,162.49198,162.49198,87.8572,87.8572,87.8572,87.8572,87.8572,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,27.52692,99
"2025",5,1009,694.43696,694.43696,694.43696,694.43696,694.43696,725.60344,725.60344,725.60344,725.60344,725.60344,726.67012,726.67012,726.67012,726.67012,726.67012,653.30576,653.30576,653.30576,653.30576,653.30576,532.94648,532.94648,532.94648,532.94648,532.94648,648.6586,648.6586,648.6586,648.6586,648.6586,747.33802,747.33802,747.33802,747.33802,747.33802,706.14948,706.14948,706.14948,706.14948,706.14948,746.93966,746.93966,746.93966,746.93966,746.93966,709.15508,709.15508,709.15508,709.15508,709.15508,768.9235,768.9235,768.9235,768.9235,768.9235,766.15018,766.15018,766.15018,766.15018,766.15018,781.6405,781.6405,781.6405,781.6405,781.6405,706.19466,706.19466,706.19466,706.19466,706.19466,619.62058,619.62058,619.62058,619.62058,619.62058,501.45918,501.45918,501.45918,501.45918,501.45918,317.18046,317.18046,317.18046,317.18046,317.18046,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,81.40448,130
"2025",6,1011,104.97376,104.97376,104.97376,104.97376,104.97376,99.88684,99.88684,99.88684,99.88684,99.88684,116.09726,116.09726,116.09726,116.09726,116.09726,122.32434,122.32434,122.32434,122.32434,122.32434,106.11438,106.11438,106.11438,106.11438,106.11438,155.77908,155.77908,155.77908,155.77908,155.77908,167.41064,167.41064,167.41064,167.41064,167.41064,139.3519,139.3519,139.3519,139.3519,139.3519,144.39014,144.39014,144.39014,144.39014,144.39014,135.99412,135.99412,135.99412,135.99412,135.99412,124.75258,124.75258,124.75258,124.75258,124.75258,94.4826,94.4826,94.4826,94.4826,94.4826,110.8865,110.8865,110.8865,110.8865,110.8865,99.55978,99.55978,99.55978,99.55978,99.55978,80.74036,80.74036,80.74036,80.74036,80.74036,67.83042,67.83042,67.83042,67.83042,67.83042,43.64098,43.64098,43.64098,43.64098,43.64098,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,15.1724133333333,161
"2025",7,1013,228.88738,228.88738,228.88738,228.88738,228.88738,233.1253,233.1253,233.1253,233.1253,233.1253,242.01844,242.01844,242.01844,242.01844,242.01844,229.2772,229.2772,229.2772,229.2772,229.2772,180.66226,180.66226,180.66226,180.66226,180.66226,215.86686,215.86686,215.86686,215.86686,215.86686,224.86662,224.86662,224.86662,224.86662,224.86662,228.81184,228.81184,228.81184,228.81184,228.81184,257.20874,257.20874,257.20874,257.20874,257.20874,233.35924,233.35924,233.35924,233.35924,233.35924,206.39158,206.39158,206.39158,206.39158,206.39158,200.28276,200.28276,200.28276,200.28276,200.28276,238.5037,238.5037,238.5037,238.5037,238.5037,246.14448,246.14448,246.14448,246.14448,246.14448,207.63262,207.63262,207.63262,207.63262,207.63262,154.4505,154.4505,154.4505,154.4505,154.4505,94.79924,94.79924,94.79924,94.79924,94.79924,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,36.7356333333333,192
"2025",8,1015,1271.61768,1271.61768,1271.61768,1271.61768,1271.61768,1310.82346,1310.82346,1310.82346,1310.82346,1310.82346,1257.23604,1257.23604,1257.23604,1257.23604,1257.23604,1480.24018,1480.24018,1480.24018,1480.24018,1480.24018,1339.59132,1339.59132,1339.59132,1339.59132,1339.59132,1129.10416,1129.10416,1129.10416,1129.10416,1129.10416,1249.39024,1249.39024,1249.39024,1249.39024,1249.39024,1539.05958,1539.05958,1539.05958,1539.05958,1539.05958,1438.53994,1438.53994,1438.53994,1438.53994,1438.53994,1344.85358,1344.85358,1344.85358,1344.85358,1344.85358,1368.52954,1368.52954,1368.52954,1368.52954,1368.52954,1364.59674,1364.59674,1364.59674,1364.59674,1364.59674,1487.70946,1487.70946,1487.70946,1487.70946,1487.70946,1434.1656,1434.1656,1434.1656,1434.1656,1434.1656,1181.38042,1181.38042,1181.38042,1181.38042,1181.38042,864.34984,864.34984,864.34984,864.34984,864.34984,483.2718,483.2718,483.2718,483.2718,483.2718,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,136.195293333333,223
"2025",9,1017,380.50176,380.50176,380.50176,380.50176,380.50176,396.40578,396.40578,396.40578,396.40578,396.40578,409.96632,409.96632,409.96632,409.96632,409.96632,335.00974,335.00974,335.00974,335.00974,335.00974,306.08952,306.08952,306.08952,306.08952,306.08952,423.48412,423.48412,423.48412,423.48412,423.48412,492.85522,492.85522,492.85522,492.85522,492.85522,445.30912,445.30912,445.30912,445.30912,445.30912,398.19492,398.19492,398.19492,398.19492,398.19492,375.54488,375.54488,375.54488,375.54488,375.54488,433.27426,433.27426,433.27426,433.27426,433.27426,438.06568,438.06568,438.06568,438.06568,438.06568,463.44932,463.44932,463.44932,463.44932,463.44932,461.44816,461.44816,461.44816,461.44816,461.44816,386.89448,386.89448,386.89448,386.89448,386.89448,305.72334,305.72334,305.72334,305.72334,305.72334,178.8157,178.8157,178.8157,178.8157,178.8157,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,47.51268,254
"2025",10,1019,246.96018,246.96018,246.96018,246.96018,246.96018,269.35658,269.35658,269.35658,269.35658,269.35658,254.2133,254.2133,254.2133,254.2133,254.2133,259.48748,259.48748,259.48748,259.48748,259.48748,221.32364,221.32364,221.32364,221.32364,221.32364,259.82452,259.82452,259.82452,259.82452,259.82452,297.72188,297.72188,297.72188,297.72188,297.72188,273.15984,273.15984,273.15984,273.15984,273.15984,261.31642,261.31642,261.31642,261.31642,261.31642,282.60104,282.60104,282.60104,282.60104,282.60104,349.93594,349.93594,349.93594,349.93594,349.93594,349.2668,349.2668,349.2668,349.2668,349.2668,383.14348,383.14348,383.14348,383.14348,383.14348,401.16186,401.16186,401.16186,401.16186,401.16186,329.0337,329.0337,329.0337,329.0337,329.0337,273.0311,273.0311,273.0311,273.0311,273.0311,160.29762,160.29762,160.29762,160.29762,160.29762,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,38.0038866666667,285
"2025",11,1021,522.64768,522.64768,522.64768,522.64768,522.64768,540.60772,540.60772,540.60772,540.60772,540.60772,579.48158,579.48158,579.48158,579.48158,579.48158,508.15772,508.15772,508.15772,508.15772,508.15772,445.43354,445.43354,445.43354,445.43354,445.43354,499.39736,499.39736,499.39736,499.39736,499.39736,595.15562,595.15562,595.15562,595.15562,595.15562,568.01578,568.01578,568.01578,568.01578,568.01578,531.33416,531.33416,531.33416,531.33416,531.33416,539.7188,539.7188,539.7188,539.7188,539.7188,588.69724,588.69724,588.69724,588.69724,588.69724,552.18274,552.18274,552.18274,552.18274,552.18274,587.96038,587.96038,587.96038,587.96038,587.96038,562.96022,562.96022,562.96022,562.96022,562.96022,461.2267,461.2267,461.2267,461.2267,461.2267,349.42666,349.42666,349.42666,349.42666,349.42666,209.65424,209.65424,209.65424,209.65424,209.65424,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,56.9235666666667,316
"2025",12,1023,129.50734,129.50734,129.50734,129.50734,129.50734,135.5423,135.5423,135.5423,135.5423,135.5423,125.16902,125.16902,125.16902,125.16902,125.16902,115.52652,115.52652,115.52652,115.52652,115.52652,107.19184,107.19184,107.19184,107.19184,107.19184,128.37342,128.37342,128.37342,128.37342,128.37342,149.94564,149.94564,149.94564,149.94564,149.94564,137.96178,137.96178,137.96178,137.96178,137.96178,137.0223,137.0223,137.0223,137.0223,137.0223,136.08698,136.08698,136.08698,136.08698,136.08698,160.54964,160.54964,160.54964,160.54964,160.54964,162.45268,162.45268,162.45268,162.45268,162.45268,180.35132,180.35132,180.35132,180.35132,180.35132,174.5471,174.5471,174.5471,174.5471,174.5471,152.08398,152.08398,152.08398,152.08398,152.08398,118.53336,118.53336,118.53336,118.53336,118.53336,83.78026,83.78026,83.78026,83.78026,83.78026,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,22.3969733333333,347
