eGrid_region,Fuel,Pollutant,Emission_rate,Unit
ERCT,ng,SO2,0.007,lb/MWh
FRCC,ng,SO2,0.043,lb/MWh
HIMS,ng,SO2,0,lb/MWh
HIOA,ng,SO2,0,lb/MWh
MROE,ng,SO2,0.071,lb/MWh
MROW,ng,SO2,0.02,lb/MWh
NEWE,ng,SO2,0.02,lb/MWh
NWPP,ng,SO2,0.009,lb/MWh
NYCW,ng,SO2,0.007,lb/MWh
NYLI,ng,SO2,0.232,lb/MWh
NYUP,ng,SO2,0.014,lb/MWh
PRMS,ng,SO2,0.355,lb/MWh
RFCE,ng,SO2,0.013,lb/MWh
RFCM,ng,SO2,0.046,lb/MWh
RFCW,ng,SO2,0.021,lb/MWh
RMPA,ng,SO2,0.018,lb/MWh
SPNO,ng,SO2,0.074,lb/MWh
SPSO,ng,SO2,0.031,lb/MWh
SRMV,ng,SO2,0.007,lb/MWh
SRMW,ng,SO2,0.009,lb/MWh
SRSO,ng,SO2,0.011,lb/MWh
SRTV,ng,SO2,0.006,lb/MWh
SRVC,ng,SO2,0.024,lb/MWh
Average,coal,NOx,1.681,lb/MWh
Average,oil,NOx,8.61,lb/MWh
Average,ng,NOx,0.735,lb/MWh
Average,coal,SO2,2.225,lb/MWh
Average,oil,SO2,5.206,lb/MWh
Average,ng,SO2,0.19156,lb/MWh
Average,coal,PM25,0.1573,lb/MWh
Average,oil,PM25,0.506623,lb/MWh
Average,ng,PM25,0.050486,lb/MWh
Average,nuclear,NOx,0,lb/MWh
Average,nuclear,SO2,0,lb/MWh
Average,nuclear,PM25,0,lb/MWh
Average,renewable,NOx,0,lb/MWh
Average,renewable,SO2,0,lb/MWh
Average,renewable,PM25,0,lb/MWh
AZNM,coal,PM25,0.06441622,lb/MWh
ERCT,coal,PM25,0.0994413,lb/MWh
FRCC,coal,PM25,0.20183892,lb/MWh
MROE,coal,PM25,0.02410681,lb/MWh
MROW,coal,PM25,0.1130999,lb/MWh
NEWE,coal,PM25,0.20291124,lb/MWh
NWPP,coal,PM25,0.10414427,lb/MWh
RFCE,coal,PM25,0.19542642,lb/MWh
