"Year","Source","Fuel","ModelYr","NH3","Nox","Total_PM10","Total_PM25","Brake_PM10","Tire_PM10","Brake_PM25","Tire_PM25","SO2","VOC"
2022,21,1,1992,667.462690254721,19082.6193150807,190.083784798577,168.151741676462,126.332816401615,48.7708929641337,15.7916049417412,7.31560436830369,13.207393300327,5519.29382405301
2022,31,1,1992,817.819613367273,35473.0866502818,213.00013469137,188.423984266595,159.12647155482,59.3467838361777,19.8908208222881,8.90197354419554,20.0967798062428,10859.2685845907
2022,21,2,1992,46.4781174394043,19251.0162286442,190.403207207682,175.170138496058,126.33498376782,48.7723988411429,15.7904886499386,7.3165981307255,8.7249140675932,8393.54452611763
2022,31,2,1992,109.701218643994,41412.0159368607,1113.96229413768,1024.84256845803,164.325499116259,64.6018762421337,20.5406479807789,9.69041980483212,15.0879827954035,14292.1002502667
2022,21,1,1993,667.462565739165,19087.0425101766,190.083797299476,168.15178525129,126.332647408042,48.770927087697,15.7915697961208,7.31560020973969,12.9981455240801,5519.87284136407
2023,21,1,1993,665.589872861988,19033.9035134103,189.573222481772,167.70010803154,125.978176396611,48.6340775893808,15.7472687587771,7.29507321832681,12.961878751892,5509.6457927515
2022,31,1,1993,822.904218547872,35603.4344090823,209.602293958346,185.418231786952,158.890469616258,59.1082170371351,19.8613136529612,8.86619059055312,20.2919577159469,10851.3027896705
2023,31,1,1993,820.595241218084,35500.5008257338,208.929253591465,184.822820755775,158.444631964256,58.9423785436937,19.8055766601574,8.84131095904793,20.2342471882565,10824.4015752043
2022,21,2,1993,46.4734641165042,19255.5723239451,190.402335441624,175.180328029208,126.334807030067,48.7764014608388,15.7875309076145,7.3235292628158,8.72791260922449,8394.40455332298
2023,21,2,1993,46.3505726597733,19201.9700893999,189.881773066282,174.688318982618,125.977300492949,48.6382125306302,15.7337509375851,7.29592347422357,8.70989183661249,8371.58553631377
2022,31,2,1993,134.448089211278,43697.9328538942,1564.09357174408,1438.96186684704,167.531057481588,67.84234366496,20.9413303307128,10.1762837932161,14.4910194929532,13209.4103809266
2023,31,2,1993,134.070714824911,43573.1502074043,1559.66341243522,1434.88572551232,167.061194573451,67.6518935526685,20.8826961818885,10.1477004054537,14.4498711361463,13170.0872459398
2022,21,1,1994,674.006882510831,13785.3141980452,180.838675837275,159.97330407869,127.571616069853,49.2491309482913,15.946449794837,7.38733040096054,13.3088710236466,4319.63754890321
2023,21,1,1994,665.590125940761,13613.5396751417,178.599630762625,157.992627909067,125.97858074889,48.6340975393737,15.7473077425998,7.2950814186442,13.1428723721257,4269.78713376657
2024,21,1,1994,662.014990354261,13542.4920620916,177.748411977893,157.239643929236,125.301798532643,48.3728635858997,15.6627225524502,7.25589347646565,13.0734154953999,4249.62547503224
2022,31,1,1994,819.65225800817,30028.8333299106,226.984503833394,200.794778706385,159.040939296114,59.2606717999539,19.8801190355759,8.88905502614468,20.4823873333113,8818.76141218707
2023,31,1,1994,817.350739998435,29941.4147951575,226.274723194545,200.166959329664,158.594436674506,59.0942604071638,19.8243046901198,8.86409754258943,20.4241058660934,8796.60322587118
2024,31,1,1994,812.960678421947,29783.9729539843,225.138252737569,199.161618779141,157.742641519211,58.7768996047638,19.7178219154391,8.81648758872548,20.3152486784322,8752.37812258422
2022,21,2,1994,46.9368287592503,13848.0189653261,183.445663533982,168.771221047372,127.568582518693,49.2450320047724,15.9516213803307,7.38867157788653,8.81112200454137,6221.53385270472
2023,21,2,1994,46.3525086315915,13675.437024185,181.16507395143,166.668225982185,125.978125630551,48.6337135318615,15.7518797914004,7.30625388231021,8.70401481365147,6144.52014147552
2024,21,2,1994,46.1100767177944,13603.919293012,180.247390307046,165.849809234647,125.29527193003,48.3641070253556,15.6581572763609,7.25131454469773,8.6529552286273,6115.31928614983
2022,31,2,1994,181.491114630469,46368.7204975133,4488.07782177604,4129.02129377991,173.624253503691,74.001845719514,21.7029457410063,11.1002448500956,16.3680226366896,10052.1862940562
2023,31,2,1994,180.981700055072,46236.7947247718,4475.4469200073,4117.39839889002,173.136886268737,73.7940413101651,21.6422313041635,11.0690790021394,16.3216745325479,10022.6347522029
2024,31,2,1994,180.009642706982,45990.3660890507,4451.4459253228,4095.31584644642,172.20689502386,73.3977403331077,21.5257909879699,11.0096056268654,16.2344831142494,9970.25590923079
2022,21,1,1995,685.090243609406,12188.4603470069,158.090206975214,139.849609487947,129.669361839652,50.0589561062634,16.2086609718211,7.50880418146316,13.4128922571616,4001.54176078529
2023,21,1,1995,672.115920128767,11958.0101574793,155.114242346786,137.217000545576,127.213648059848,49.1109490838587,15.9017035659882,7.3666001247541,13.1590856375779,3929.5444086463
2024,21,1,1995,662.014486853212,11780.3695838135,152.882730216354,135.242983030533,125.301756834531,48.3728522303219,15.6627236987595,7.25589381344752,12.9624398985337,3873.26242318033
2025,21,1,1995,657.648286808286,11705.3367590023,152.002231004633,134.464082730761,124.475322330463,48.0537910764981,15.5594114324751,7.20802916518569,12.8783797263932,3851.27360391866
2022,31,1,1995,817.184546515941,30017.3665622553,197.275998956688,174.514143132344,159.155234787959,59.3761663642394,19.8944053753472,8.90637954909218,21.1259583090181,8753.81406716618
2023,31,1,1995,814.89463650071,29930.1357198479,196.656440727812,173.966044872308,158.709249248335,59.209816963597,19.8386762076403,8.88142531621147,21.0659765376285,8731.8613643071
2024,31,1,1995,810.518513292591,29772.800846799,195.673136696977,173.096212399545,157.856990211195,58.8918432309147,19.7321235734081,8.8337338970707,20.9537054931694,8687.99790640335
2025,31,1,1995,805.169043120099,29583.5520186843,194.537185482977,172.091347477726,156.815164566155,58.5031585727283,19.6018958882612,8.77543318928497,20.8172682281931,8637.1316677698
2022,21,2,1995,47.7080335252196,12236.0589813057,159.036491093339,146.312822542299,129.669143209508,50.0593210039736,16.2085009952089,7.50852919504895,8.96088959473638,5754.54631116735
2023,21,2,1995,46.8047166080645,12004.6858781874,156.035106875342,143.551495238736,127.213760338557,49.1110520308623,15.9022681258326,7.36670395903044,8.79079800486644,5646.25273452509
2024,21,2,1995,46.1012190960646,11826.205352741,153.752260471046,141.452090891841,125.301240092227,48.3720542752372,15.6627957425137,7.25552667931494,8.66002191283894,5565.19499319707
2025,21,2,1995,45.7983541446309,11750.7055399997,152.818862779576,140.592763306807,124.475183737918,48.0537373690052,15.5583681118862,7.20761433469755,8.60306833881955,5533.3702475144
2022,31,2,1995,174.730363446137,45556.5775144717,4240.12739522285,3900.90432405717,172.748075573088,73.1164680710649,21.5935620157674,10.9674702106597,15.595324521288,10146.8161790342
2023,31,2,1995,174.240815430988,45427.1234046941,4228.21233144587,3889.9425577501,172.264253984985,72.9116912731111,21.5330259781516,10.9367040692115,15.5511580176602,10116.9171776815
2024,31,2,1995,173.305207906737,45185.1639852183,4205.54377256477,3869.08951336828,171.339084069796,72.5200991712883,21.4174125826959,10.8779607277504,15.4681660713672,10064.1911973738
2025,31,2,1995,172.161323752281,44891.1720734359,4177.86516028889,3843.62286466411,170.20818813651,72.0414802101019,21.2760392005665,10.8061091102949,15.367072484287,10001.1734773227
2022,21,5,1995,684.623762264026,12211.1487853873,157.951950946101,139.602744713744,129.684254858416,50.3363360157904,15.6216215221418,6.94294289872971,16.8614327540579,1941.17244581091
2023,21,5,1995,672.006191868681,11980.2796032827,154.845711177662,136.850945913852,127.173088965248,49.145367317129,15.7265175414813,7.2583927114529,16.0289505711252,1905.63051978603
2024,21,5,1995,661.926249524369,11802.353437117,152.156354376596,135.741911298394,125.598154339954,48.321169511113,15.492283354708,6.45511806446166,16.0455791888047,1881.02140398413
2025,21,5,1995,657.281137410027,11726.6872879738,151.611049491567,134.740383746956,123.943157670406,47.912690714694,15.2960702751136,6.97320850777236,15.5210124850417,1873.76860870141
2022,31,5,1995,848.205011168103,30381.5599646199,174.345927512931,154.226117706314,157.71786578365,57.9108591913449,19.7141295320716,8.68348968610109,26.12774149155,3813.43804646974
2023,31,5,1995,845.822482251541,30293.4735553493,173.79141398886,153.753859694239,157.268866705459,57.7710034852715,19.649795641521,8.66665768812345,26.0503313310067,3802.80450504731
2024,31,5,1995,841.288991111657,30134.0425612489,172.923778720667,152.96497625142,156.430593096908,57.4347228120568,19.5439786347116,8.61678370219283,25.913362321951,3785.96061350819
