X,Y,OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,Link_Imports
-108.434778,45.814531,156,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BILLINGS,Montana,4,,32.3,23.7,6.2,,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",45.8145,-108.4348,
-94.976798,29.7614310000001,157,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BAYTOWN,Texas,3,,297,228,30.6,,126.5,44.5,819.1,96,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7614,-94.9768,
-122.138319,38.072007,158,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,BENICIA,California,5,,85.5,75.3,34,,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.072,-122.1383,
-95.605823,37.0495250000001,159,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,COFFEYVILLE,Kansas,2,,46,36,,,26,10,124,25,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.0495,-95.6058,
-111.920665,40.838556,160,176,BIG WEST OIL CO,FJ MANAGEMENT INC,NORTH SALT LAKE,Utah,4,,,12.5,,,8.8,8,24.2,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8386,-111.9207,
-97.1677559999999,34.6329450000001,161,177,WYNNEWOOD REFINING CO,CVR ENERGY,WYNNEWOOD,Oklahoma,2,,34,22,,,18.7,5.5,67.5,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",34.6329,-97.1678,
-104.390979,32.844821,162,185,HF SINCLAIR NAVAJO REFINING LLC,HF SINCLAIR CORP,ARTESIA,New Mexico,3,,34.3,30,18,,24,9.5,118,,7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.8448,-104.391,
-111.295316,47.5232120000001,163,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",GREAT FALLS,Montana,4,,10,3,,,1.3,2.3,9.8,,4.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",47.5232,-111.2953,
-87.611011,33.2004870000001,164,190,HUNT REFINING CO,HUNT CONSLD INC,TUSCALOOSA,Alabama,3,,26,,23,,18,4.5,59,38,26,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.2005,-87.611,
-118.236861,33.798301,165,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,WILMINGTON ASPHALT PLANT,California,5,,5,,,,,,,,3.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.7983,-118.2369,
-118.917953,35.294719,166,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,BAKERSFIELD,California,5,,,,,,5.8,,14,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.2947,-118.918,
-93.0391,44.7633000000001,167,203,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,SAINT PAUL,Minnesota,2,,234,96,67,,49,32,341,82,45,EIA-820 Refinery Capacity Report,"As of January 1, 2023",44.7633,-93.0391,
-97.525965,27.832974,168,204,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI WEST,Texas,3,,87.5,58.1,15.5,,,15.5,249,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.833,-97.526,
-97.424842,27.8043650000001,169,205,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI EAST,Texas,3,,,49.1,,,,,33,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8044,-97.4248,
-88.0562,30.7886,170,206,VERTEX REFINING ALABAMA LLC,VERTEX ENERGY LP,SARALAND,Alabama,3,,29,,,,22,1.2,61.7,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.7886,-88.0562,
-118.233663,33.779055,171,209,ULTRAMAR INC,VALERO ENERGY CORP,WILMINGTON REFINERY,California,5,,46,56.3,,,18,22,144,28.8,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.7791,-118.2337,
-90.082597,35.084704,172,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,MEMPHIS,Tennessee,2,,,70,26.5,,36,17,129,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.0847,-90.0826,
-75.2577669999999,39.8403040000001,173,223,PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,PAULSBORO,New Jersey,1,,90,,,,32,,107.1,,21,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8403,-75.2578,
-94.074933,30.0649230000001,174,225,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BEAUMONT,Texas,3,,180,115,70,,146,63.4,352.3,46.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0649,-94.0749,
-118.332317,33.8532080000001,175,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,TORRANCE,California,5,,102.3,103.6,28.3,,20,30,153.4,62,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.8532,-118.3323,
-88.183309,41.4147100000001,176,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,JOLIET,Illinois,2,,142.1,99.3,,,52.6,31.5,265.8,57.5,17.1,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.4147,-88.1833,
-89.974393,29.9351510000001,177,228,CHALMETTE REFINING LLC,PBF ENERGY CO LLC,CHALMETTE,Louisiana,3,,169,75.6,,,52.7,16.8,188.6,42,15,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.9352,-89.9744,
-89.941198,29.933813,178,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,MERAUX,Louisiana,3,,56.6,,48.7,,32,,95,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.9338,-89.9412,
-92.067312,46.690572,179,238,SUPERIOR REFINING COMPANY LLC,CENOVUS MARKETING (USA) INC,SUPERIOR,Wisconsin,2,,23.5,11.3,,,9.3,1.7,40.5,,16,EIA-820 Refinery Capacity Report,"As of January 1, 2023",46.6906,-92.0673,
-93.792592,32.467561,180,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SHREVEPORT,Louisiana,3,,28,,,,12,,52.3,,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.4676,-93.7926,
-101.365597,35.6931870000001,181,255,WRB REFINING LP,WRB REFINING LP,BORGER,Texas,3,,82,54,,,31.3,60,189.1,28.4,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.6932,-101.3656,
-95.747538,29.077881,182,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,SWEENY,Texas,3,,132.1,111,,,42.1,36.3,378.6,78.7,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.0779,-95.7475,
-111.904823,40.886581,183,257,HF SINCLAIR WOODS CROSS REFINING LLC,HF SINCLAIR CORP,WOODS CROSS,Utah,4,,,18.2,15,,8.4,8.3,26.2,,1.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8866,-111.9048,
-91.210811,30.477376,184,262,PLACID REFINING CO,PLACID OIL CO,PORT ALLEN,Louisiana,3,,27,25.5,,,11.5,7.5,57,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.4774,-91.2108,
-80.629399,40.610826,185,266,ERGON WEST VIRGINIA INC,ERGON INC,NEWELL,West Virginia,1,,8.6,,,,4.7,,24.1,,0.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.6108,-80.6294,
-119.047922,35.3873300000001,186,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,California,5,,14.3,,,5,,,5.4,,8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.3873,-119.0479,
