X,Y,OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,Link_Imports
-107.109511,41.7801630000001,233,496,HF SINCLAIR WYOMING REFINING CO,HF SINCLAIR CORP,SINCLAIR,Wyoming,4,,51,22,16,,13,5,74,20,8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.7802,-107.1095,
-95.999949,36.116749,234,497,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA EAST,Oklahoma,2,,27,30,,,25,18.5,99,,15.2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1167,-95.9999,
-106.242437,42.8584530000001,235,499,HF SINCLAIR CASPER REFINING COMPANY,HF SINCLAIR CORP,EVANSVILLE,Wyoming,4,,,11,,,5,,25.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.8585,-106.2424,
-91.748001,30.526508,236,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,KROTZ SPRINGS,Louisiana,3,,36.2,34,,,13,12.2,32,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.5265,-91.748,
-95.2555849999999,29.7228050000001,237,502,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,HOUSTON,Texas,3,,38,75.2,72,,,28.9,62.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7228,-95.2556,
-94.895337,29.378096,238,503,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,TEXAS CITY,Texas,3,,133.5,86,,,18.1,21.2,286,53.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3781,-94.8953,
-75.631323,39.5877330000001,239,506,DELAWARE CITY REFINING CO LLC,PBF ENERGY CO LLC,DELAWARE CITY,Delaware,1,,104.6,86,25,,43,18.5,180.3,54.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.5877,-75.6313,
-93.960709,29.884891,240,507,MOTIVA ENTERPRISES LLC,SAUDI ARAMCO,PORT ARTHUR,Texas,3,,331.8,92.6,115.5,,129.5,79,578.8,178,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8849,-93.9607,
-93.3200679999999,30.132389,241,510,CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,LAKE CHARLES,Louisiana,3,,36,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1324,-93.3201,
-94.2282079999999,30.3983480000001,242,512,SOUTH HAMPTON RESOURCES INC,TEXAS OIL & CHEMICAL CO,SILSBEE,Texas,3,,,,,,5.2,4.4,15,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.3983,-94.2282,
-90.4232019999999,30.002368,243,517,VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,NORCO,Louisiana,3,,180,100,113,,25,48,195,86,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0024,-90.4232,
-79.128024,41.832187,244,523,UNITED REFINING CO,RED APPLE GROUP INC,WARREN,Pennsylvania,1,,40,26,,,14,13,53,,23,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.8322,-79.128,
-97.787248,29.261622,245,525,LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,NIXON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.2616,-97.7872,
-88.04655,41.655625,246,526,PDV MIDWEST REFINING LLC,PDV AMERICA INC,LEMONT,Illinois,2,,77.2,69.5,,,35.8,24.3,229,41.2,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6556,-88.0465,
-83.158493,42.2837000000001,247,528,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,DETROIT,Michigan,2,,90.5,44,,,21.5,8,135,38,32,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.2837,-83.1585,
-90.595952,30.060139,248,530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GARYVILLE,Louisiana,3,,299,150,130,,137,96,622.5,110,33,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0601,-90.596,
-87.715851,38.997284,249,531,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,ROBINSON,Illinois,2,,76,54.5,44,,82,35,200.5,31,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.9973,-87.7159,
-89.0091889999999,31.8148840000001,250,538,HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,SANDERSVILLE,Mississippi,3,,6.9,,,,,,,,6.1,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.8149,-89.0092,
-118.166647,33.9463720000001,251,550,LUNDAY THAGARD CO,WORLD OIL CO,SOUTH GATE,California,5,,5,,,,,,,,3.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.9464,-118.1666,
-110.806321,41.2611420000001,252,2468,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,EVANSTON,Wyoming,4,,,,,,2.9,,3.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.2611,-110.8063,
-87.3629999999999,31.0720000000001,253,3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,ATMORE,Alabama,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.072,-87.363,
-93.339019,30.188295,254,3109,EXCEL PARALUBES,EXCEL PARALUBES,WESTLAKE,Louisiana,3,,,,43,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1883,-93.339,
-95.113566,29.82338,255,3215,EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,CHANNELVIEW,Texas,3,,,,,,,22.4,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8234,-95.1136,
-95.219682,29.7330180000001,256,4998,KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,GALENA PARK,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.733,-95.2197,
-95.1232209999999,29.75377,257,5037,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,HOUSTON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7538,-95.1232,
-97.505532,27.8178950000001,258,5048,BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8179,-97.5055,
-97.439103,27.8069360000001,259,5082,MAGELLAN PROCESSING LP,MAGELLAN MIDSTREAM PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8069,-97.4391,
-95.103,29.7646,260,5199,HARTREE CHANNELVIEW LLC,HARTREE PARTNERS LP,CHANNELVIEW,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7646,-95.103,
