Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Plant FIPS state code,Plant FIPS county code,Plant county name,Plant annual net generation (MWh)
NC,Sunflower Solar,60638,37,83,Halifax,32437.00
KS,Kingman Wind,60639,20,151,Pratt,841522.00
ME,"Solar Mule, LLC",60640,23,11,Kennebec,2224.00
CA,Henrietta D Energy Storage LLC,60641,6,31,Kings,
MA,"West Brookfield Solar, LLC",60644,25,27,Worcester,1893.00
TX,"Javelina Wind Energy II, LLC",60645,48,479,Webb,764958.00
MN,Shakopee Energy Park,60647,27,139,Scott,46013.00
TX,Rabbit Hill Energy Storage Project,60649,48,491,Williamson,-769.00
NC,"North Nash Farm, LLC",60651,37,127,Nash,9413.00
MN,Dickinson Solar Array,60652,27,171,Wright,3010.00
MA,Belchertown,60653,25,15,Hampshire,1461.00
NV,Townsite Solar Project Hybrid,60654,32,3,Clark,18792.00
MO,Rock Creek Wind Project,60655,29,5,Atchison,1072587.00
IL,McHenry Battery Storage,60656,17,111,McHenry,0.00
TX,"Salt Fork Wind Project, LLC",60657,48,129,Donley,692883.00
SC,Moffett Solar Project,60658,45,53,Jasper,128947.00
SC,Ridgeland Solar Project,60659,45,53,Jasper,17751.00
OH,Willey Battery Utility,60660,39,61,Hamilton,-1332.00
CA,Mira Loma Energy Storage Facility,60661,6,71,San Bernardino,0.00
MD,Archdiocese of Baltimore J,60662,24,25,Harford,3471.00
MD,Archdiocese of Baltimore L,60663,24,25,Harford,3500.00
MD,Baltimore City B,60664,24,25,Harford,3288.00
MD,Baltimore City D,60665,24,25,Harford,3212.00
MD,Baltimore City F,60666,24,25,Harford,3188.00
MD,Baltimore City G,60667,24,25,Harford,3225.00
MD,City of Havre De Grace C,60668,24,25,Harford,3036.00
MD,Sod Run WTP A,60669,24,25,Harford,3448.00
MO,Osborn Wind Energy,60672,29,63,DeKalb,720179.00
MO,"Nixa Solar, LLC",60673,29,43,Christian,14419.00
NY,Tannery Road Landfill,60677,36,65,Oneida,2856.00
CA,San Joaquin Solar,60678,6,19,Fresno,28276.00
AL,Fort Rucker Solar Array,60679,1,45,Dale,12802.00
AL,ANAD Solar Array,60680,1,15,Calhoun,11491.00
MD,"Annapolis Solar Park, LLC",60681,24,3,Anne Arundel,22960.00
TX,Pearl Solar,60682,48,371,Pecos,84384.00
CT,TRS Fuel Cell,60683,9,1,Fairfield,0.00
AZ,Amphitheater High School Solar,60684,4,19,Pima,2193.00
AZ,Canyon Del Oro High School Solar,60685,4,19,Pima,2620.00
SD,Pierre Solar,60686,46,65,Hughes,2007.00
KS,"Cimarron Bend Wind Project I, LLC",60687,20,25,Clark,802196.00
KS,"Cimarron Bend Wind Project II, LLC",60688,20,25,Clark,805460.00
KS,Western Plains Wind Farm,60689,20,57,Ford,1099871.00
TX,"Blue Summit Storage, LLC",60690,48,487,Wilbarger,-3492.00
NC,Tanager Holdings,60691,37,151,Randolph,8412.00
MN,WakeSun LLC,60694,27,145,Stearns,5338.00
MN,BentonSun LLC,60695,27,19,Carver,8899.00
NM,Four Peaks Camino Real,60696,35,13,Dona Ana,17682.00
CA,Stanton Energy Reliability Center,60698,6,59,Orange,3371.00
CT,Wind Colebrook South,60700,9,5,Litchfield,12758.00
FL,JED Solid Waste Mgmt Renewable Energy,60701,12,97,Osceola,49481.00
GA,Rincon Solar I,60702,13,103,Effingham,30566.00
KY,"Green City Recovery, LLC",60703,21,209,Scott,3812.00
MO,Trenton Solar Farm (MO),60704,29,79,Grundy,4210.00
MO,Rolla Solar Farm (MO),60705,29,161,Phelps,4132.00
MO,Waynesville Solar Farm (MO),60706,29,169,Pulaski,4165.00
MO,Marshall Solar Farm (MO),60707,29,195,Saline,4066.00
MD,Havre de Grace II - E at Perryman,60708,24,25,Harford,2027.00
NJ,IFF Hazlet,60709,34,25,Monmouth,4832.00
MA,Stone Hill Solar CSG,60710,25,5,Bristol,3190.00
MN,Chisago Community Solar,60711,27,25,Chisago,6417.00
MN,Ursa Community Solar,60712,27,37,Dakota,8380.00
MN,Sunrise Community Solar,60713,27,25,Chisago,8120.00
MN,Rosemount Community Solar,60714,27,37,Dakota,8423.00
MN,Paynesville Community Solar,60715,27,145,Stearns,8551.00
MN,Orion Community Solar,60716,27,145,Stearns,4041.00
MN,Northfield Community Solar,60717,27,37,Dakota,8006.00
CO,Weld 1 Community Solar Array,60720,8,123,Weld,3386.00
IN,Green Cow Power,60721,18,39,Elkhart,23805.00
CO,Logan 1 Community Solar Array,60722,8,75,Logan,3437.00
CO,Conejos 1 Community Solar Array,60723,8,21,Conejos,4194.00
CO,Arapahoe 3 Community Solar Array,60724,8,5,Arapahoe,3680.00
CO,Xcel Adams 2 Community Solar Array,60725,8,1,Adams,3689.00
CO,Xcel Adams 1 Community Solar Array,60726,8,1,Adams,3608.00
NJ,East Orange Solar,60727,34,13,Essex,6110.00
NJ,Howell Solar,60728,34,25,Monmouth,11755.00
NJ,Raritan Solar,60729,34,19,Hunterdon,12134.00
MA,Bridgewater Solar CSG,60730,25,23,Plymouth,4160.00
MA,Holliston Solar CSG,60731,25,17,Middlesex,1559.00
NJ,Frankford Solar,60732,34,37,Sussex,10151.00
NJ,Brickyard Solar,60733,34,25,Monmouth,1845.00
NJ,Bordentown Solar,60734,34,5,Burlington,9888.00
MD,Longview Solar,60735,24,45,Wicomico,25468.00
MA,Wilmington Solar,60736,25,17,Middlesex,2880.00
MD,Church Hill,60737,24,35,Queen Annes,9562.00
MA,Fall River Solar CSG,60738,25,5,Bristol,2692.00
NJ,DSM Solar,60739,34,41,Warren,5730.00
NJ,Pittsgrove Solar,60740,34,33,Salem,2983.00
GA,Old Midville Solar,60741,13,165,Jenkins,39193.00
IL,Argonne National Laboratory CHP,60742,17,43,DuPage,32051.00
TX,"Rattlesnake Power, LLC",60743,48,307,McCulloch,548710.00
CA,SEPV Imperial Dixieland West,60744,6,25,Imperial,7899.00
CA,SEPV Imperial Dixieland East,60745,6,25,Imperial,5572.00
NJ,Silvi Gibraltar Rock,60746,34,35,Somerset,3715.00
NJ,Seabrook Village,60747,34,25,Monmouth,4006.00
ID,Simcoe Solar,60748,16,39,Elmore,48375.00
KS,Osawatomie Power Plant South Sub,60750,20,121,Miami,20.00
KS,Osawatomie Power Plant North Sub,60751,20,121,Miami,134.00
NJ,Gloucester Community College Solar,60752,34,15,Gloucester,3663.00
MA,Shirley Landfill,60753,25,17,Middlesex,1527.00
MA,DDR Shoppers World,60754,25,17,Middlesex,1907.00
NJ,Spartan,60755,34,5,Burlington,14000.00
MA,Meadow Solar,60756,25,25,Suffolk,4286.00
MA,Cedarville CSG,60757,25,23,Plymouth,4342.00
NJ,Freeze Solar,60759,34,23,Middlesex,2050.00
CA,Millikan BESS,60760,6,59,Orange,-300.00
NC,"Roper Farm, LLC",60761,37,45,Cleveland,9727.00
NJ,Pfizer Peapack Solar,60762,34,35,Somerset,8312.00
NJ,Holland Solar,60763,34,19,Hunterdon,3215.00
CO,Victory Solar LLC,60764,8,1,Adams,29027.00
NJ,L'Oreal Franklin,60765,34,35,Somerset,1640.00
NJ,L'Oreal Monmouth,60766,34,25,Monmouth,2508.00
AZ,Gila River Power Block 2,60768,4,13,Maricopa,3130183.00
NJ,Lower Cape May HS,60769,34,9,Cape May,2378.00
NJ,Timber Creek HS,60771,34,7,Camden,1200.00
NJ,Adams Ave MS and HS,60772,34,1,Atlantic,4004.00
TX,Phantom Solar,60774,48,27,Bell,23822.00
MA,Deerfield CSG Solar,60775,25,11,Franklin,6224.00
NJ,Community Foodbank of NJ,60776,34,39,Union,790.00
CA,"American Kings Solar, LLC",60777,6,31,Kings,310329.00
NC,"Hew Fulton Farm, LLC",60778,37,165,Scotland,9140.00
NC,"McGoogan Farm, LLC",60779,37,155,Robeson,8948.00
NJ,Royal Wine Corp Solar Power Plant,60781,34,17,Hudson,1167.00
NC,"Barnhill Road Solar, LLC",60782,37,139,Pasquotank,5136.00
NC,"Leggett Solar, LLC",60783,37,65,Edgecombe,9115.00
NC,Jersey Holdings,60784,37,155,Robeson,9323.00
NV,Tungsten Mountain,60785,32,1,Churchill,255780.00
NC,"Williamston Speight Solar, LLC",60787,37,117,Martin,28340.00
FL,Suwannee Solar Facility,60788,12,121,Suwannee,16938.00
TX,Bluebell Solar,60789,48,431,Sterling,69838.00
CA,"PVN Milliken, LLC",60790,6,71,San Bernardino,4935.00
CA,SunAnza,60791,6,65,Riverside,8530.00
NV,"Republic Services Renewable Energy, LLC",60792,32,3,Clark,28196.00
MN,Eichtens Community Solar,60795,27,25,Chisago,7319.00
