State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
6,113,Yolo,CA,California,p9,CAMXc
22,45,Iberia,LA,Louisiana,p58,SRMVc
34,19,Hunterdon,NJ,New Jersey,p126,RFCEc
8,21,Conejos,CO,Colorado,p34,RMPAc
48,115,Dawson,TX,Texas,p60,ERCTc
37,99,Jackson,NC,North Carolina,p97,SRVCc
1,81,Lee,AL,Alabama,p90,SRSOc
50,13,Grand Isle,VT,Vermont,p129,NEWEc
54,107,Wood,WV,West Virginia,p116,RFCWc
30,79,Prairie,MT,Montana,p35,MROWc
39,87,Lawrence,OH,Ohio,p112,RFCWc
20,55,Finney,KS,Kansas,p52,SPNOc
20,103,Leavenworth,KS,Kansas,p53,SPNOc
35,28,Los Alamos,NM,New Mexico,p31,AZNMc
5,1,Arkansas,AR,Arkansas,p85,SRMVc
8,33,Dolores,CO,Colorado,p34,RMPAc
19,77,Guthrie,IA,Iowa,p70,MROWc
30,107,Wheatland,MT,Montana,p20,NWPPc
37,159,Rowan,NC,North Carolina,p97,SRVCc
45,47,Greenwood,SC,South Carolina,p95,SRVCc
18,93,Lawrence,IN,Indiana,p107,RFCWc
23,19,Penobscot,ME,Maine,p134,NEWEc
48,415,Scurry,TX,Texas,p60,ERCTc
48,283,La Salle,TX,Texas,p65,ERCTc
42,83,McKean,PA,Pennsylvania,p122,RFCEc
51,131,Northampton,VA,Virginia,p124,RFCEc
30,97,Sweet Grass,MT,Montana,p18,NWPPc
20,119,Meade,KS,Kansas,p53,SPNOc
51,157,Rappahannock,VA,Virginia,p100,SRVCc
1,7,Bibb,AL,Alabama,p89,SRSOc
29,203,Shannon,MO,Missouri,p84,SRMWc
45,33,Dillon,SC,South Carolina,p96,SRVCc
23,1,Androscoggin,ME,Maine,p134,NEWEc
13,109,Evans,GA,Georgia,p94,SRSOc
27,105,Nobles,MN,Minnesota,p44,MROWc
22,123,West Carroll,LA,Louisiana,p86,SRMVc
5,19,Clark,AR,Arkansas,p85,SRMVc
13,31,Bulloch,GA,Georgia,p94,SRSOc
8,47,Gilpin,CO,Colorado,p33,RMPAc
53,61,Snohomish,WA,Washington,p1,NWPPc
17,167,Sangamon,IL,Illinois,p82,SRMWc
39,113,Montgomery,OH,Ohio,p113,RFCWc
53,9,Clallam,WA,Washington,p2,NWPPc
5,133,Sevier,AR,Arkansas,p85,SRMVc
51,710,Norfolk,VA,Virginia,p99,SRVCc
13,309,Wheeler,GA,Georgia,p94,SRSOc
48,107,Crosby,TX,Texas,p60,ERCTc
17,143,Peoria,IL,Illinois,p82,SRMWc
48,161,Freestone,TX,Texas,p63,ERCTc
47,29,Cocke,TN,Tennessee,p92,SRTVc
37,17,Bladen,NC,North Carolina,p98,SRVCc
53,23,Garfield,WA,Washington,p2,NWPPc
13,297,Walton,GA,Georgia,p94,SRSOc
51,153,Prince William,VA,Virginia,p99,SRVCc
18,105,Monroe,IN,Indiana,p107,RFCWc
45,59,Laurens,SC,South Carolina,p95,SRVCc
6,19,Fresno,CA,California,p9,CAMXc
28,135,Tallahatchie,MS,Mississippi,p87,SRMVc
24,45,Wicomico,MD,Maryland,p123,RFCEc
48,79,Cochran,TX,Texas,p48,SPSOc
32,1,Churchill,NV,Nevada,p12,NWPPc
21,107,Hopkins,KY,Kentucky,p108,SRTVc
48,391,Refugio,TX,Texas,p65,ERCTc
21,161,Mason,KY,Kentucky,p109,SRTVc
31,115,Loup,NE,Nebraska,p40,MROWc
47,15,Cannon,TN,Tennessee,p92,SRTVc
38,27,Eddy,ND,North Dakota,p37,MROWc
47,37,Davidson,TN,Tennessee,p92,SRTVc
55,127,Walworth,WI,Wisconsin,p79,RFCWc
21,79,Garrard,KY,Kentucky,p109,SRTVc
39,101,Marion,OH,Ohio,p112,RFCWc
13,221,Oglethorpe,GA,Georgia,p94,SRSOc
41,29,Jackson,OR,Oregon,p6,NWPPc
13,165,Jenkins,GA,Georgia,p94,SRSOc
39,85,Lake,OH,Ohio,p111,RFCWc
54,15,Clay,WV,West Virginia,p116,RFCWc
48,129,Donley,TX,Texas,p48,SPSOc
31,29,Chase,NE,Nebraska,p39,RMPAc
51,149,Prince George,VA,Virginia,p99,SRVCc
42,45,Delaware,PA,Pennsylvania,p122,RFCEc
12,131,Walton,FL,Florida,p91,SRSOc
48,235,Irion,TX,Texas,p61,ERCTc
20,209,Wyandotte,KS,Kansas,p53,SPNOc
8,59,Jefferson,CO,Colorado,p33,RMPAc
53,49,Pacific,WA,Washington,p2,NWPPc
27,93,Meeker,MN,Minnesota,p43,MROWc
28,57,Itawamba,MS,Mississippi,p88,SRTVc
28,43,Grenada,MS,Mississippi,p87,SRMVc
25,3,Berkshire,MA,Massachusetts,p131,NEWEc
38,67,Pembina,ND,North Dakota,p37,MROWc
13,215,Muscogee,GA,Georgia,p94,SRSOc
54,37,Jefferson,WV,West Virginia,p116,RFCWc
48,97,Cooke,TX,Texas,p63,ERCTc
37,13,Beaufort,NC,North Carolina,p98,SRVCc
20,169,Saline,KS,Kansas,p53,SPNOc
28,75,Lauderdale,MS,Mississippi,p87,SRMVc
38,73,Ransom,ND,North Dakota,p37,MROWc
31,15,Boyd,NE,Nebraska,p40,MROWc
21,129,Lee,KY,Kentucky,p109,SRTVc
41,15,Curry,OR,Oregon,p6,NWPPc
32,19,Lyon,NV,Nevada,p12,NWPPc
54,29,Hancock,WV,West Virginia,p116,RFCWc
48,363,Palo Pinto,TX,Texas,p63,ERCTc
47,115,Marion,TN,Tennessee,p92,SRTVc
6,1,Alameda,CA,California,p9,CAMXc
13,291,Union,GA,Georgia,p94,SRSOc
39,91,Logan,OH,Ohio,p112,RFCWc
21,235,Whitley,KY,Kentucky,p109,SRTVc
41,37,Lake,OR,Oregon,p7,NWPPc
19,185,Wayne,IA,Iowa,p70,MROWc
21,97,Harrison,KY,Kentucky,p109,SRTVc
31,37,Colfax,NE,Nebraska,p41,MROWc
48,475,Ward,TX,Texas,p62,ERCTc
1,5,Barbour,AL,Alabama,p90,SRSOc
39,123,Ottawa,OH,Ohio,p111,RFCWc
29,75,Gentry,MO,Missouri,p54,SPNOc
45,25,Chesterfield,SC,South Carolina,p96,SRVCc
19,23,Butler,IA,Iowa,p69,MROWc
37,187,Washington,NC,North Carolina,p98,SRVCc
41,5,Clackamas,OR,Oregon,p5,NWPPc
19,111,Lee,IA,Iowa,p70,MROWc
1,37,Coosa,AL,Alabama,p90,SRSOc
31,5,Arthur,NE,Nebraska,p39,RMPAc
5,83,Logan,AR,Arkansas,p56,SPSOc
1,15,Calhoun,AL,Alabama,p90,SRSOc
45,35,Dorchester,SC,South Carolina,p96,SRVCc
12,31,Duval,FL,Florida,p101,FRCCc
24,19,Dorchester,MD,Maryland,p123,RFCEc
6,45,Mendocino,CA,California,p9,CAMXc
18,21,Clay,IN,Indiana,p107,RFCWc
12,109,St. Johns,FL,Florida,p101,FRCCc
22,113,Vermilion,LA,Louisiana,p58,SRMVc
18,89,Lake,IN,Indiana,p105,RFCWc
27,145,Stearns,MN,Minnesota,p43,MROWc
30,41,Hill,MT,Montana,p18,NWPPc
17,95,Knox,IL,Illinois,p81,SRMWc
54,5,Boone,WV,West Virginia,p117,RFCWc
20,155,Reno,KS,Kansas,p53,SPNOc
51,165,Rockingham,VA,Virginia,p99,SRVCc
33,3,Carroll,NH,New Hampshire,p130,NEWEc
40,99,Murray,OK,Oklahoma,p50,SPSOc
1,29,Cleburne,AL,Alabama,p90,SRSOc
13,149,Heard,GA,Georgia,p94,SRSOc
8,117,Summit,CO,Colorado,p33,RMPAc
29,43,Christian,MO,Missouri,p55,SPNOc
42,1,Adams,PA,Pennsylvania,p122,RFCEc
36,69,Ontario,NY,New York,p127,NYSTc
29,57,Dade,MO,Missouri,p55,SPNOc
4,3,Cochise,AZ,Arizona,p28,AZNMc
19,151,Pocahontas,IA,Iowa,p45,MROWc
47,5,Benton,TN,Tennessee,p92,SRTVc
8,25,Crowley,CO,Colorado,p34,RMPAc
42,19,Butler,PA,Pennsylvania,p115,RFCWc
19,191,Winneshiek,IA,Iowa,p69,MROWc
42,133,York,PA,Pennsylvania,p122,RFCEc
8,35,Douglas,CO,Colorado,p33,RMPAc
1,115,St. Clair,AL,Alabama,p90,SRSOc
48,81,Coke,TX,Texas,p61,ERCTc
19,49,Dallas,IA,Iowa,p70,MROWc
46,99,Minnehaha,SD,South Dakota,p38,MROWc
48,507,Zavala,TX,Texas,p65,ERCTc
37,181,Vance,NC,North Carolina,p98,SRVCc
24,1,Allegany,MD,Maryland,p121,RFCWc
22,87,St. Bernard,LA,Louisiana,p58,SRMVc
44,1,Bristol,RI,Rhode Island,p133,NEWEc
29,135,Moniteau,MO,Missouri,p72,SRMWc
13,153,Houston,GA,Georgia,p94,SRSOc
21,81,Grant,KY,Kentucky,p109,SRTVc
48,505,Zapata,TX,Texas,p65,ERCTc
