State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
55,29,Door,WI,Wisconsin,p75,MROEc
35,57,Torrance,NM,New Mexico,p31,AZNMc
35,43,Sandoval,NM,New Mexico,p31,AZNMc
28,113,Pike,MS,Mississippi,p87,SRMVc
37,169,Stokes,NC,North Carolina,p97,SRVCc
46,109,Roberts,SD,South Dakota,p38,MROWc
48,185,Grimes,TX,Texas,p64,ERCTc
46,31,Corson,SD,South Dakota,p38,MROWc
23,11,Kennebec,ME,Maine,p134,NEWEc
18,163,Vanderburgh,IN,Indiana,p107,RFCWc
6,69,San Benito,CA,California,p9,CAMXc
26,123,Newaygo,MI,Michigan,p103,RFCMc
56,5,Campbell,WY,Wyoming,p23,RMPAc
20,13,Brown,KS,Kansas,p53,SPNOc
55,37,Florence,WI,Wisconsin,p75,MROEc
47,127,Moore,TN,Tennessee,p92,SRTVc
51,65,Fluvanna,VA,Virginia,p99,SRVCc
19,129,Mills,IA,Iowa,p45,MROWc
48,489,Willacy,TX,Texas,p65,ERCTc
55,15,Calumet,WI,Wisconsin,p76,MROEc
19,97,Jackson,IA,Iowa,p70,MROWc
21,185,Oldham,KY,Kentucky,p109,SRTVc
27,71,Koochiching,MN,Minnesota,p42,MROWc
31,183,Wheeler,NE,Nebraska,p40,MROWc
18,171,Warren,IN,Indiana,p105,RFCWc
