Corporation,Company,State,Site,Barrels per calendar day
Marathon Petroleum Corp,Tesoro Alaska Company LLC,Alaska,Kenai,68000.00
Suncor Energy Inc,Suncor Energy (USA) Inc,Colorado,Commerce City West,67000.00
Marathon Petroleum Corp,Tesoro Refining & Marketing Co,Utah,Salt Lake City,66000.00
Phillips 66 Company,Phillips 66 Company,Montana,Billings,66000.00
Red Apple Group Inc,United Refining Co,Pennsylvania,Warren,65000.00
CHS Inc,Cenex Harvest States Coop,Montana,Laurel,62500.00
ExxonMobil Corp,Exxonmobil Refining & Supply Co,Montana,Billings,61500.00
Buckeye Partners LP,Buckeye Texas Processing LLC,Texas,Corpus Christi,60000.00
"Calumet Specialty Products Partners, LP",Calumet Shreveport LLC,Louisiana,Shreveport,57000.00
Arctic Slope Regional Corp,Petro Star Inc,Alaska,Valdez,55000.00
Chevron Corp,Chevron USA Inc,Utah,Salt Lake City,54720.00
Hunt Consolidated Inc,Hunt Refining Co,Alabama,Tuscaloosa,50000.00
Hartree Partners LP,Hartree Channelview LLC,Texas,Channelview,45000.00
Texas International Terminals,Texas International Terminals,Texas,Galveston,45000.00
Magellan Midstream Partners LP,Magellan Terminal Holdings LP,Texas,Corpus Christi,42500.00
PAR Pacific Holdings,US Oil & Refining Co,Washington,Tacoma,40700.00
HF Sinclair Corp,HF Sinclair Woods Cross Refining LLC,Utah,Woods Cross,39330.00
Cenovus Energy Inc,Superior Refining Company LLC,Wisconsin,Superior,38000.00
Suncor Energy Inc,Suncor Energy (USA) Inc,Colorado,Commerce City East,36000.00
Countrymark Coop Inc,Countrymark Refining & Logistics LLC,Indiana,Mount Vernon,34500.00
FJ Management Inc,Big West Oil Co,Utah,North Salt Lake,31664.00
HF Sinclair Corp,HF Sinclair Casper Refining Co,Wyoming,Evansville,29850.00
Ergon Inc,Ergon Refining Inc,Mississippi,Vicksburg,26500.00
Kern Oil & Refining Co,Kern Oil & Refining Co,California,Bakersfield,26000.00
Petromax Refining Co LLC,Petromax Refining Co LLC,Texas,Houston,25000.00
"Calumet Specialty Products Partners, LP",Calumet Montana Refining LLC,Montana,Great Falls,24600.00
Ergon Inc,Ergon West Virginia Inc,West Virginia,Newell,22300.00
Arctic Slope Regional Corp,Petro Star Inc,Alaska,North Pole,21000.00
Starlight Relativity Acquisition Co,The San Antonio Refinery,Texas,San Antonio,20000.00
PAR Pacific Holdings,Hermes Consolidated LLC,Wyoming,NewCastle,18000.00
ConocoPhillips,ConocoPhillips Alaska Inc,Alaska,Prudhoe Bay,15000.00
San Joaquin Refining Co Inc,San Joaquin Refining Co Inc,California,Bakersfield,15000.00
Silver Eagle Refining Inc,Silver Eagle Refining,Utah,Woods Cross,15000.00
Blue Dolphin Energy Co,Lazarus Energy LLC,Texas,Nixon,14000.00
"Calumet Specialty Products Partners, LP",Calumet Lubricants Co LP,Louisiana,Cotton Valley,13020.00
American Refining Group Inc,American Refining Group Inc,Pennsylvania,Bradford,11000.00
Hunt Consolidated Inc,Hunt Southland Refining Co,Mississippi,Sandersville,11000.00
World Oil Co,Lunday Thagard Co,California,South Gate,8500.00
"Calumet Specialty Products Partners, LP",Calumet Lubricants Co LP,Louisiana,Princeton,8300.00
Martin Resource Management Grp,Cross Oil Refining & Marketing Inc,Arkansas,Smackover,7500.00
Hilcorp Energy Co,Hilcorp North Slope LLC,Alaska,Prudhoe Bay,6500.00
Valero Energy Corp,Valero Refining Co California,California,Wilmington Asphalt Plant,6300.00
Goodway Refining LLC,Goodway Refining LLC,Alabama,Atmore,4100.00
Silver Eagle Refining Inc,Silver Eagle Refining,Wyoming,Evanston,3000.00
Foreland Refining Corp,Foreland Refining Corp,Nevada,Ely,2000.00
Talley Asphalt Products Inc,Talley Asphalt Products Inc,California,Kern,1700.00
