Year,Source,Fuel,ModelYr,TotalEnergy
2022,31,2,2000,3.89188E+15
2022,31,2,2001,5.49313E+15
2022,31,2,2002,5.02997E+15
2022,31,2,2003,6.0666E+15
2022,31,2,2004,5.53087E+15
2022,31,2,2005,4.76157E+15
2022,31,2,2006,2.71004E+15
2022,31,2,2007,1.25701E+13
2022,31,2,2008,5.26083E+12
2022,31,2,2009,9.40377E+14
2022,31,2,2010,1.38789E+15
2022,31,2,2011,2.59402E+15
2022,31,2,2012,2.03559E+15
2022,31,2,2013,2.59636E+15
2022,31,2,2014,5.82921E+15
2022,31,2,2015,3.88034E+15
2022,31,2,2016,2.18535E+15
2022,31,2,2017,3.46847E+15
2022,31,2,2018,6.41075E+15
2022,31,2,2019,6.54861E+15
2022,31,2,2020,4.53404E+15
2022,31,2,2021,1.03085E+16
2022,31,2,2022,1.29404E+16
2022,31,5,1995,9.74969E+12
2022,31,5,1996,2.17834E+13
2022,31,5,1997,3.59013E+13
2022,31,5,1998,6.41339E+13
2022,31,5,1999,1.11502E+14
2022,31,5,2000,1.63423E+14
2022,31,5,2001,1.8132E+14
2022,31,5,2002,1.9593E+14
2022,31,5,2003,2.95194E+14
2022,31,5,2004,4.10518E+14
2022,31,5,2005,3.65463E+14
2022,31,5,2006,5.00152E+14
2022,31,5,2007,8.82587E+14
2022,31,5,2008,7.62222E+14
2022,31,5,2009,5.85284E+14
2022,31,5,2010,8.36479E+14
2022,31,5,2011,1.33047E+15
2022,31,5,2012,1.35328E+15
2022,31,5,2013,1.53974E+15
2022,31,5,2014,1.71573E+15
2022,31,5,2015,2.00856E+15
2022,31,5,2016,1.13272E+15
2022,31,5,2017,8.79686E+14
2022,31,5,2018,8.5719E+14
2022,31,5,2019,9.79176E+14
2022,31,5,2020,8.72209E+14
2022,31,5,2021,1.13688E+15
2022,31,5,2022,1.11076E+15
2022,31,9,1997,8.0079E+11
2022,31,9,1998,4.16856E+12
2022,31,9,1999,3.7842E+12
2022,31,9,2000,4.19266E+12
2022,31,9,2001,3.91119E+12
