gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
CAMXc,2028,304785100,10250047,8376904,3768967.7,327181017.2,293830335.5,215574910.7,136174510,58230784,0.0359,0.0539,0.182,68398.47,73359.2,0.82,0.8,70.4,1.3,0.13,9.7,370.7,0.05,70.5,20.8,91.3,99.4,4.6,0.61,10.7,434.8,0.07,99.7,23.7,123.4,41.1,1.2,0.14,4.5,201,0.02,41.2,10.5,51.6,508,32.7,4.55,39.8,1911.5,0.26,510.2,96.8,607.1,17458745.4,329.1,32.9,2414340.9,91889.9,11.9,17477546,5155915,22633461,0,24.32,13.64,0.23,38.19,26.58,15.67,0.25,42.5,248524830,111606104,8685510,5180151.5,0,0,0,0,1925367.8,28361828,45360852,0,378430.3,25423056,28074148,17077412,4506.8,6734646.5,0,64049204,14553682,2716025.5,6571.7,835.4,0,0,0,917.8,17576.5,19788.5,0,10662.1,3413.9,10790.6,2240,883,3984.6,0,23747.2,600,6404.9,24681.1,39846.2,0,0
CAMXc,2030,312895420,20942868,15786914,3805866,353431085.8,301649194.3,186487838.3,130842470,64505036,0.0359,0.0539,0.182,66730.83,76130.8,0.89,0.85,42.5,0.8,0.08,5.7,223.1,0.02,42.6,12.4,54.9,75.4,4,0.54,7.5,314.8,0.04,75.7,16.9,92.6,31.4,0.7,0.08,3.6,159.9,0.01,31.4,8.4,39.8,429.4,27.7,3.85,34,1624.1,0.22,431.3,82.4,513.7,12136030,228.8,22.9,1625661.6,63673.2,6.2,12149102.6,3524806,15673908.6,0,22.34,12.6,0.66,35.6,25.31,15.24,0.74,41.29,286387740,166943250,17733368,4856619.5,0,0,0,0,1898532.8,32243046,31693670,0,348970.2,25407376,26909780,0,4791,12489920,0,108489040,15190475,9122149,11176,812.4,0,0,0,917.8,20119.2,19755.9,0,10641.8,3413.9,10907.3,0,592.9,6754.1,0,38685.5,2000,6564.9,49715.5,67541.4,0,0
CAMXc,2035,337455680,33351610,22745604,3380212.6,396933103.2,325326753.8,181623740.4,119284180,59333108,0.0359,0.0539,0.182,171923.95,84600.9,0.94,0.93,17.5,0.3,0.03,2.3,91.6,0.01,17.5,5,22.5,13.2,0.4,0.05,3.1,108,0.02,13.3,6.4,19.6,0,0,0,0,0,0,0,0,0,195.6,5.8,0.68,24.8,1065.5,0.12,195.9,56.6,252.5,5801573.9,109.3,10.9,755199.9,30420,2.8,5807817.8,1662491.7,7470309.5,0,101.61,31.63,0,133.24,115.74,39.9,0,155.64,336401150,215309360,28354742,1995264.4,0,0,0,0,1848378.2,37738692,19716390,0,451.3,26378174,26475064,0,0,18089826,81863,131782130,16355730,27584436,17230.3,435.9,0,0,0,917.8,24108.7,19646,0,5037,3551.6,11258.2,0,0,11320.2,5193.8,47503.2,6000,6371.4,80579.1,113202.3,0,428.8
CAMXc,2040,368567840,41140824,21907162,3661393.4,435277209.4,355320709.3,168379165.7,121677780,73321064,0.0359,0.0539,0.182,133502.49,94812.9,0.96,0.95,11.5,0.2,0.02,1.5,60.3,0.01,11.5,3.3,14.8,9.9,0.3,0.03,2.1,75.1,0.01,9.9,4.4,14.3,0,0,0,0,0,0,0,0,0,210.1,6.2,0.72,26.4,1138.7,0.12,210.5,60.4,270.9,4382640.4,82.6,8.3,567664.6,22976.5,2.1,4387357.2,1252948.8,5640306,0,52.17,24.25,0,76.43,58.73,30.69,0,89.42,386264930,266898050,34865636,1489544.8,0,0,0,0,1800340,39260530,14973846,0,53508.8,26230478,24106242,0,0,17647624,0,136242770,17444992,72149420,21685.6,366.9,0,0,0,917.8,25831.2,19646,0,5037,3551.6,11363.9,0,0,11320.2,5193.8,50411.6,16000,6299.4,100893.6,113202.3,0,187.6
CAMXc,2045,401217700,45898740,24802288,4054413.5,475973122.5,386797015.9,138110856.9,117623270,95841520,0.0359,0.0539,0.182,142177.91,104451.4,0.98,1,6.8,0.1,0.01,0.9,35.7,0,6.8,2,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.9,4.4,0.51,19.8,832.8,0.09,154.2,44.6,198.9,3033529.4,57.2,5.7,404546.9,15917.6,1.5,3036794.2,879309,3916103.2,0,41.09,25.39,0,66.48,47.6,32.24,0,79.83,453596580,337862270,38988324,1368889.5,0,0,0,0,0,38752076,10348141,0,83470.6,25111756,19866166,0,0,19961006,6532.9,160252080,32333232,106524870,23044.6,366.9,0,0,0,0,27311.9,19469.5,0,5037,3501.7,11457.2,0,0,11320.2,5193.8,59432.5,25000,10801.5,109563.8,113202.3,0,198.6
CAMXc,2050,435302460,58704908,24863644,4169310.5,523040315.6,419656613.8,144525442.8,119845336,97174980,0.0359,0.0539,0.182,160113.86,113882.4,0.98,1,7.2,0.1,0.01,1,38.3,0,7.2,2.1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.2,5.1,0.63,17.8,766.1,0.09,138.6,40.7,179.2,3553621.2,67.6,6.8,470397.5,18807,1.8,3557480.5,1031330.2,4588810.8,32584.5,48.41,28.44,0,76.85,57.27,36.57,0,93.84,499730020,378514880,49814176,1334393.6,39165.1,0,0,0,0,37821908,12365620,0,90794.5,17792850,20001936,0,0,19751718,24522.9,198349980,36848812,105494160,27025.7,366.9,5.3,0,0,0,28359.7,19909.1,0,5037,2486.5,11562.8,0,0,11320.2,5193.8,74199.9,25000,12427.5,137062.8,113202.3,0,268.9
ERCTc,2024,386808600,1916600.8,10751.5,5844296.6,394580249.6,372903920.7,193542408.3,257249230,264882480,0.0359,0.0539,0.1375,37719.87,90496,0.6,0.59,226.7,14,1.94,19.1,865.5,0.13,227.7,44.9,272.5,240.5,14.8,2.06,20.2,917.3,0.14,241.5,47.6,289.1,142,3,0.33,16.6,725.4,0.07,142.2,38.3,180.4,553.7,37.3,5.32,43.2,1931.5,0.35,556.3,100.8,657.1,90503561,5573.1,774.3,7613606.1,345695,53.8,90881015.1,17929997.2,108811012.3,0,23.32,7.54,0,30.86,24.89,8.24,0,33.13,402238000,201037840,1635605.5,586106.4,0,0,39513420,0,0,2616816,115504080,0,3254009,0,580871.1,37717580,2399804.5,8705.1,0,78560360,119860660,0,1580.1,110.6,0,14766.6,0,0,1776.1,34702.7,0,7945.7,0,562.7,4980,9933.3,5,0,35007.9,0,33713.4,3160.2,50,0,0
ERCTc,2026,395212860,3852943.2,12407.6,5628149.7,404706376.9,381006099.8,166346441.3,248583890,256944100,0.0359,0.0539,0.1375,44077.5,92507.8,0.68,0.67,168.4,9.1,1.23,15.5,689.4,0.1,169,36,205,179.8,9.7,1.32,16.5,735.3,0.11,180.4,38.4,218.8,108.1,2.4,0.27,12.6,548.5,0.05,108.2,28.9,137.2,468.3,28.3,3.97,39.3,1759.2,0.28,470.2,91.8,562,69003440.2,3705.9,504.5,6346014,282707.4,41,69251606,14781890.6,84033496.7,0,21.45,8.79,0,30.24,23,9.64,0,32.64,413098900,238359940,3255327.2,519408.6,0,0,24672126,0,0,4681620,105601930,0,2415514.5,0,546924.8,36613744,1104033.1,9957.4,0,82723944,150954370,0,2601.2,110.6,0,14766.6,0,0,3160,36511.6,0,7945.7,0,562.7,4980,8350.3,5,0,36987.2,0,41759.5,7254.5,50,0,2.3
ERCTc,2028,405129150,10504218,10066.3,5196906.7,420840344,390565964.8,109454164.1,230486620,249544020,0.0359,0.0539,0.1375,46424.56,95054.1,0.81,0.8,93.7,4.5,0.61,9.3,400,0.06,94,21.3,115.3,102.8,5,0.67,10.3,439.2,0.07,103.1,23.4,126.5,54.6,1.7,0.21,5.9,260.6,0.03,54.7,13.7,68.3,373,22.4,3.14,31.6,1412.3,0.23,374.5,73.8,448.3,40838493,1966,263.8,4081277.2,174548.7,26.9,40969094.6,9290176.5,50259271.1,0,15.59,8.99,0,24.57,16.88,9.98,0,26.86,440034720,311386180,8855149,401067.9,0,0,12472758,0,0,7846850.5,70082696,0,1049740.9,0,480524.8,34544210,754427,7959.1,0,92898370,210640960,0,6914.9,110.6,0,14111.6,0,0,5272.9,36192.6,0,7945.7,0,562.7,4980,7899.3,5,0,42919.4,0,59350.1,24580.4,50,0,0
ERCTc,2030,416517100,15552230,8951.1,5249844.7,437328109.5,401544615.1,88359940.4,229981780,253388500,0.0359,0.0539,0.1375,58131.99,98193.8,0.86,0.85,71.2,3.9,0.54,6.8,289.1,0.05,71.5,15.4,86.9,79.8,4.4,0.6,7.6,324.1,0.06,80.1,17.3,97.3,24.4,1,0.14,2.4,108.1,0.01,24.5,5.7,30.1,338.9,22.4,3.16,26.8,1227.7,0.2,340.4,63.5,403.8,32455905.7,1785,243.9,3095634.7,131913.2,22.7,32575675.6,7032847,39608522.5,0,14.04,10.98,0,25.02,15.33,12.3,0,27.63,460929280,348968160,13104403,354060.8,0,0,12365669,0,0,12186238,50729492,0,790982,0,449573.6,33601324,558429.8,7167.5,0,102331650,234450270,0,9693.1,110.6,0,12422.6,0,0,8251.7,36076.7,0,7903.7,0,562.7,4980,7703.3,5,0,49201.8,0,68464.1,37526,50,0,0
