Source,full name,api key,units,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2022-2050)
Coal,Electricity: Total Electricity Generation by Fuel: Coal: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_CL_NA_USA_BLNKWH.A,BkWh,,848.572571,799.809814,839.551208,769.529602,661.519958,563.426086,467.785461,398.291168,359.052338,350.739563,346.988953,356.159119,353.931458,354.26358,350.840271,342.546631,330.30957,322.551666,314.4534,316.124603,315.810852,312.248718,300.671997,292.315521,282.680908,277.917542,267.766724,266.105377,256.460999,-4.20%
Petroleum,Electricity: Total Electricity Generation by Fuel: Petroleum: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_PET_NA_USA_BLNKWH.A,BkWh,,11.318971,10.811957,10.602041,10.276357,9.569905,8.876225,8.186831,7.782994,7.49275,7.210017,7.173691,7.168949,7.14061,7.123692,7.035764,6.851839,6.581026,6.46981,6.375459,6.10275,5.784111,5.459556,5.111528,4.748369,4.709653,4.716311,4.693108,4.707721,4.692904,-3.10%
Natural Gas,Electricity: Total Electricity Generation by Fuel: Natural Gas: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_NG_NA_USA_BLNKWH.A,BkWh,,1685.383301,1586.329712,1494.498047,1430.574341,1375.303223,1291.07373,1248.783691,1213.928223,1168.775024,1124.04248,1091.761963,1068.01709,1044.550171,1036.445435,1039.362549,1051.845215,1076.27124,1090.059326,1114.800049,1126.394653,1142.400269,1153.749512,1157.626099,1168.775269,1168.053223,1173.603394,1187.365112,1194.0896,1209.162109,-1.20%
Nuclear Power,Electricity: Total Electricity Generation by Fuel: Nuclear: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_NUP_NA_USA_BLNKWH.A,BkWh,,771.984375,783.715942,789.403687,782.25647,774.684082,774.670898,765.55304,765.540771,758.017151,758.022217,758.03064,715.330322,708.668701,700.121887,684.029175,673.099243,654.486694,644.631958,625.429016,625.598083,625.896912,626.152649,626.436401,626.438843,626.196777,626.002136,625.141296,625.259399,624.860901,-0.80%
Renewable Sources,Electricity: Total Electricity Generation by Fuel: Renewable Sources: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_RSU_NA_USA_BLNKWH.A,BkWh,,990.373596,1076.52478,1175.911255,1352.36792,1565.998535,1786.455933,1979.001343,2127.906494,2254.938965,2347.448975,2428.781982,2523.386719,2598.431396,2658.964844,2721.883057,2772.97168,2823.594482,2868.712646,2916.306396,2953.432617,2989.286377,3034.308105,3095.519043,3151.513428,3218.401367,3277.518066,3333.478271,3388.318359,3450.497314,4.60%
Other,Electricity: Total Electricity Generation by Fuel: Other: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_TGE_OTH_NA_USA_BLNKWH.A,BkWh,,13.17383,12.665396,13.1416,12.471628,12.183074,11.752855,10.380667,9.681137,8.989835,8.15296,6.945907,5.483245,4.057487,2.739496,1.24335,-0.884946,-3.24265,-5.833791,-8.343657,-10.434194,-12.075774,-13.652925,-15.951567,-17.92309,-19.423046,-20.799486,-22.180428,-23.809244,-25.583933,- -
Total Net Electricity Generation,Electricity: Total Electricity Generation: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_NA_TEG_NA_USA_BLNKWH.A,BkWh,,4320.806641,4269.857422,4323.108398,4357.476562,4399.258789,4436.255371,4479.690918,4523.130859,4557.266113,4595.615723,4639.683594,4675.54541,4716.779785,4759.658691,4804.394531,4846.429688,4888,4926.591797,4969.020508,5017.217773,5067.102539,5118.265137,5169.413574,5225.868652,5280.619141,5338.95752,5396.263672,5454.670898,5520.09082,0.90%
Net Generation to the Grid,Electricity: Total Net Generation to the Grid: Reference case,AEO.2023.REF2023.GEN_NA_ELEP_NA_TGG_NA_USA_BLNKWH.A,BkWh,,4122.458008,4062.479492,4095.771484,4121.860352,4156.242676,4185.871582,4222.199219,4257.237305,4283.828125,4314.385254,4350.577637,4377.537598,4409.527344,4445.020996,4480.575684,4514.618652,4547.020996,4576.183594,4609.172363,4647.860352,4688.155762,4729.575195,4770.900879,4817.220215,4862.260742,4910.444336,4956.290039,5003.994141,5058.628906,0.70%
Net Imports,Electricity: Net Imports: Reference case,AEO.2023.REF2023.TRAD_NA_ELEP_NA_NETIMP_NA_USA_BLNKWH.A,BkWh,,42.686298,51.11998,43.615738,38.624619,39.76387,43.742573,46.178566,43.965916,46.238979,43.695438,44.762753,45.263348,45.660316,44.496666,44.11792,44.085835,44.846588,45.481293,45.996227,44.588566,44.562923,43.881527,43.068035,42.262463,41.340633,41.192642,41.599384,41.154652,40.559696,-0.20%
