state,country,t,co2_gen_mmt,nuclear_MWh,coal_MWh,o-g-s_MWh,gas-cc_MWh,gas-ct_MWh,hydro_MWh,canada_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,battery_MWh,curtailment_MWh,nuclear_MW,coal_MW,o-g-s_MW,gas-cc_MW,gas-ct_MW,hydro_MW,geothermal_MW,biomass_MW,wind-ons_MW,wind-ofs_MW,csp_MW,upv_MW,distpv_MW,battery_MW,nuclear_gen_frac,canada_gen_frac,o-g-s_gen_frac,biomass_gen_frac,gas-ct_gen_frac,wind-ofs_gen_frac,upv_gen_frac,wind-ons_gen_frac,coal_gen_frac,geothermal_gen_frac,distpv_gen_frac,gas-cc_gen_frac,csp_gen_frac,hydro_gen_frac,water_consumption,water_withdrawal,generation_MWh
KS,usa,2010,0.02467648,9.2884032,23.14270561,0,0,0.142298555,0.012983994,0,0,0.03249741,2.821815,0,0,0,0,0,0,1.175,5.1142,2.06798,0,3.0398,0.00259,0,0.0071,1.07375,0,0,0,0,0,0.262082922,0,0,0.000916952,0.004015117,0,0,0.079620738,0.652997913,0,0,0,0,0.000366358,19.36998372,263.5419181,35.44070377
KY,usa,2010,0.104122659,0,100.8800485,0,3.201997658,0.588598558,2.943953978,0,0,0.08055696,0,0,0,0,0,0,0,0,15.0067,0.0119,0.40570591,4.8988,0.82154,0,0.0176,0,0,0,0,0,0,0,0,0,0.000748009,0.005465414,0,0,0,0.936718536,0,0,0.029732049,0,0.027335993,62.61586893,534.5609333,107.6951557
LA,usa,2010,0.031890097,16.85983519,7.308797455,0,57.77607195,0.10740212,1.170588543,0,0,1.031942752,0,0,0,0,0.001766655,0,0,2.1328,4.3226,9.38898,7.3262,2.0232,0.192,0,0.1401,0,0,0,0,0.002703125,0,0.200101526,0,0,0.012247648,0.001274706,0,0,0,0.086744711,0,2.10E-05,0.685717272,0,0.01389317,23.76038902,610.9881873,84.25640466
MA,usa,2010,0.014833164,5.356444262,5.932222974,0,22.0569995,0.027193989,1.130291941,0,0,1.233185534,0.051716412,0,0,0.007672021,0.001422926,0,0,0.6776,1.470279683,2.731921,5.436584,0.700876,0.25585,0,0.254029,0.019679,0,0,0.004202727,0.002669522,1.6641,0.149633262,0,0,0.034449266,0.000759669,0,0.000214319,0.001444708,0.165717747,0,3.97E-05,0.616166364,0,0.031574915,7.341647812,458.724154,35.79714956
MD,usa,2010,0.035772281,13.50019999,34.6350226,0,0.1784064,0.11052956,1.775074039,0,0,0.578302854,0,0,0,0.009500756,0,0,0,1.7078,4.767,2.6472,0.23,2.8487,0.59048,0,0.126347,0,0,0,0.004983636,0,0,0.265819804,0,0,0.01138682,0.002176334,0,0.00018707,0,0.681965816,0,0,0.003512833,0,0.034951322,17.0363539,1454.058056,50.78703619
ME,usa,2010,0.003475858,0,0,0,8.770785316,0.011708494,3.983366619,-0.0143,0,2.847020235,0,0,0,0,0.000635965,0,0,0,0,0.87248,1.25,0.144904,0.604106,0,0.512107,0,0,0,0,0.001309998,0,0,-0.000916713,0,0.182510462,0.000750582,0,0,0,0,0,4.08E-05,0.562258062,0,0.255356837,2.993256007,20.34589775,15.59921663
MI,usa,2010,0.07563415,31.33787874,73.56914738,0,1.534601022,0.14075088,1.398947631,0,0,1.784754258,0.4232394,0,0,0.000144595,0,-0.23651387,0,3.964299,11.023202,3.31371,4.3679,3.722,0.26097,0,0.33773,0.16105,0,0,8.18E-05,0,1.872,0.284399956,0,0,0.016197141,0.001277353,0,1.31E-06,0.003841015,0.667660453,0,0,0.013926931,0,0.012695838,34.45141139,3371.725987,110.1894639
MN,usa,2010,0.034482211,12.05718133,32.50208128,0,1.849208945,0.064669531,0.905731924,7.730112727,0,1.441811588,5.74090542,0,0,0,0,0,0,1.5252555,4.390444583,0.48546,2.066,3.03696,0.16281,0,0.39269,2.184515,0,0,0,0,0,0.19355999,0.124095383,0,0.023146126,0.001038172,0,0,0.092161639,0.52177224,0,0,0.02968628,0,0.01454017,24.35769438,702.5560118,62.29170275
MO,usa,2010,0.070866307,9.400267195,70.09101779,0,4.240535221,0.08984528,1.675180842,0,0,0.03615909,1.205001072,0,0,0.000237235,0.000104933,-0.00068332,0,1.189151,11.7623,0.41844,1.9006,4.4838,0.5703,0,0.0079,0.458524,0,0,0.000119091,0.000177308,0.667,0.108374985,0,0,0.000416875,0.00103582,0,2.74E-06,0.013892368,0.808074155,0,1.21E-06,0.048888817,0,0.019313036,26.68917499,2265.708393,86.73834866
MS,usa,2010,0.022745673,9.874948076,4.144228597,0,46.09511695,0.07028291,0,0,0,0.471408538,0,0,0,5.47E-06,0,0,0,1.249199,2.536,3.07519,6.7171,1.688311,0,0,0.064,0,0,0,2.73E-06,0,0,0.162802519,0,0,0.007771838,0.001158713,0,9.02E-08,0,0.068323484,0,0,0.759943355,0,0,17.25446226,41.21285429,60.65599054
