Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,IN,BP Whiting Business Unit,52130,3SPS33,BP Whiting Business Unit 3SPS33,Lake County,52130|3SPS33|Midwest,0,256856.081,0,0,0
Midwest,IN,BP Whiting Business Unit,52130,3SPS34,BP Whiting Business Unit 3SPS34,Lake County,52130|3SPS34|Midwest,0,2199035.608,0,0,0
Midwest,IN,BP Whiting Business Unit,52130,3SPS36,BP Whiting Business Unit 3SPS36,Lake County,52130|3SPS36|Midwest,0,2256312.4,0,0,0
Midwest,IN,Portside Energy,55096,BLR1,Portside Energy BLR1,Porter County,55096|BLR1|Midwest,0,82516.9,0,0,0
Midwest,IN,Portside Energy,55096,BLR2,Portside Energy BLR2,Porter County,55096|BLR2|Midwest,0,83984.3,0,0,0
Midwest,IN,Portside Energy,55096,CT,Portside Energy CT,Porter County,55096|CT|Midwest,97798,1388456.8,0.00607905,0.001905374,0.002903427
Midwest,IN,Vermillion Generating Station,55111,1,Vermillion Generating Station 1,Vermillion County,55111|1|Midwest,37453.02,456904.535,0.000436898,0.000136938,0.000208668
Midwest,IN,Vermillion Generating Station,55111,2,Vermillion Generating Station 2,Vermillion County,55111|2|Midwest,39045.04,485977.344,0.002096992,0.000657266,0.002848153
Midwest,IN,Vermillion Generating Station,55111,3,Vermillion Generating Station 3,Vermillion County,55111|3|Midwest,32105.07,410124.625,0.002782309,0.000872067,0.003778957
Midwest,IN,Vermillion Generating Station,55111,4,Vermillion Generating Station 4,Vermillion County,55111|4|Midwest,32934.95,420424.168,0.005861675,0.001837241,0.002799606
Midwest,IN,Vermillion Generating Station,55111,5,Vermillion Generating Station 5,Vermillion County,55111|5|Midwest,33114.6,417413.839,0.006240388,0.001955942,0.00847575
Midwest,IN,Vermillion Generating Station,55111,6,Vermillion Generating Station 6,Vermillion County,55111|6|Midwest,33699.22,426693.135,0.000368042,0.000115357,0.000499878
Midwest,IN,Vermillion Generating Station,55111,7,Vermillion Generating Station 7,Vermillion County,55111|7|Midwest,21679.88,278963.783,0.004518478,0.001416239,0.006137038
Midwest,IN,Vermillion Generating Station,55111,8,Vermillion Generating Station 8,Vermillion County,55111|8|Midwest,32742.39,408676.618,0.002499653,0.000783473,0.001193864
Midwest,IN,Worthington Generation,55148,1,Worthington Generation 1,Greene County,55148|1|Midwest,52619.48,533195.898,0.00474184,0.00360946,0.002264759
Midwest,IN,Worthington Generation,55148,2,Worthington Generation 2,Greene County,55148|2|Midwest,47701.31,486848.73,0.00539614,0.00410751,0.002577261
Midwest,IN,Worthington Generation,55148,3,Worthington Generation 3,Greene County,55148|3|Midwest,45951.9,483015.188,0.003782816,0.002879457,0.001806718
Midwest,IN,Worthington Generation,55148,4,Worthington Generation 4,Greene County,55148|4|Midwest,48433.99,505240.25,0.005623688,0.004280717,0.00268594
Midwest,IN,Wheatland Generating Facility LLC,55224,EU-01,Wheatland Generating Facility LLC EU-01,Knox County,55224|EU-01|Midwest,50350.05,647084.038,0.006140285,0.001145339,0.00482527
Midwest,IN,Wheatland Generating Facility LLC,55224,EU-02,Wheatland Generating Facility LLC EU-02,Knox County,55224|EU-02|Midwest,53421.28,691313.911,0.007463676,0.001392188,0.005865234
