Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
California,CA,Moss Landing,260,1A,Moss Landing 1A,Monterey County,260|1A|California,1624176.63,11495170.49,0.006393446,0.002069999,0.00646
California,CA,Moss Landing,260,2A,Moss Landing 2A,Monterey County,260|2A|California,1293198.2,9107040.384,0.006393446,0.00207,0.006460001
California,CA,Moss Landing,260,3A,Moss Landing 3A,Monterey County,260|3A|California,1271751.99,9109613.185,0.006393446,0.00207,0.006459999
California,CA,Moss Landing,260,4A,Moss Landing 4A,Monterey County,260|4A|California,1281379.36,9162589.172,0.006393446,0.00207,0.00646
California,CA,Cabrillo Power I Encina Power Station,302,1,Cabrillo Power I Encina Power Station 1,San Diego County,302|1|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,2,Cabrillo Power I Encina Power Station 2,San Diego County,302|2|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,3,Cabrillo Power I Encina Power Station 3,San Diego County,302|3|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,4,Cabrillo Power I Encina Power Station 4,San Diego County,302|4|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,5,Cabrillo Power I Encina Power Station 5,San Diego County,302|5|California,0,0,0,0,0
California,CA,Cabrillo Power I Encina Power Station,302,6,Cabrillo Power I Encina Power Station 6,San Diego County,302|6|California,88709.68,949581.319,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,7,Cabrillo Power I Encina Power Station 7,San Diego County,302|7|California,95784.09,1027755.898,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,8,Cabrillo Power I Encina Power Station 8,San Diego County,302|8|California,85964.55,919351.865,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,9,Cabrillo Power I Encina Power Station 9,San Diego County,302|9|California,89968.17,965512.37,0.007622007,0.002998507,0.006576566
California,CA,Cabrillo Power I Encina Power Station,302,10,Cabrillo Power I Encina Power Station 10,San Diego County,302|10|California,60828.84,609971.151,0.007622007,0.002998507,0.006576566
California,CA,AES Alamitos,315,1,AES Alamitos 1,Los Angeles County,315|1|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,2,AES Alamitos 2,Los Angeles County,315|2|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,3,AES Alamitos 3,Los Angeles County,315|3|California,170973,2209739.4,0.001173455,0.000548254,0.001806458
California,CA,AES Alamitos,315,4,AES Alamitos 4,Los Angeles County,315|4|California,196324,2557780,0.007615165,0.004861847,0.003281659
California,CA,AES Alamitos,315,5,AES Alamitos 5,Los Angeles County,315|5|California,192929,2413404.1,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,6,AES Alamitos 6,Los Angeles County,315|6|California,0,0,0.007452579,0.005675623,0.00308022
California,CA,AES Alamitos,315,CT1,AES Alamitos CT1,Los Angeles County,315|CT1|California,1469013.75,10134971.37,0.000422,0.0021,0.000480392
California,CA,AES Alamitos,315,CT2,AES Alamitos CT2,Los Angeles County,315|CT2|California,1540371.06,10604105.46,0.000422,0.0021,0.000480392
California,CA,El Segundo,330,5,El Segundo 5,Los Angeles County,330|5|California,96289.18,831091.287,0.001857922,0.001409315,0.022548811
California,CA,El Segundo,330,7,El Segundo 7,Los Angeles County,330|7|California,116488.41,970605.368,0.001730612,0.00127612,0.019124186
California,CA,Etiwanda Generating Station,331,3,Etiwanda Generating Station 3,San Bernardino County,331|3|California,0,0,0,0,0
California,CA,Etiwanda Generating Station,331,4,Etiwanda Generating Station 4,San Bernardino County,331|4|California,0,0,0,0,0
California,CA,AES Huntington Beach,335,1,AES Huntington Beach 1,Orange County,335|1|California,0,0,0.002228117,0.000953324,0.001702387
California,CA,AES Huntington Beach,335,2,AES Huntington Beach 2,Orange County,335|2|California,89388,1011180.2,0.007452579,0.005675623,0.00308022
California,CA,AES Huntington Beach,335,CT1,AES Huntington Beach CT1,Orange County,335|CT1|California,1978686.16,13416463.96,0.000422,0.0021,0.000480392
California,CA,AES Huntington Beach,335,CT2,AES Huntington Beach CT2,Orange County,335|CT2|California,1965110.87,13297828.72,0.000422,0.0021,0.000480392
California,CA,Long Beach Generating Station,341,1,Long Beach Generating Station 1,Los Angeles County,341|1|California,4006.23,62884.565,0.01460844,0.004558125,0.020197051
California,CA,Long Beach Generating Station,341,2,Long Beach Generating Station 2,Los Angeles County,341|2|California,3602.69,57976.16,0.016080803,0.004987842,0.022435522
California,CA,Long Beach Generating Station,341,3,Long Beach Generating Station 3,Los Angeles County,341|3|California,3890.66,66458.915,0.011207842,0.00366429,0.015666672
California,CA,Long Beach Generating Station,341,4,Long Beach Generating Station 4,Los Angeles County,341|4|California,4053.11,71258.949,0.010362307,0.003298697,0.014283633
California,CA,Mandalay Generating Station,345,1,Mandalay Generating Station 1,Ventura County,345|1|California,0,0,0,0,0
California,CA,Mandalay Generating Station,345,2,Mandalay Generating Station 2,Ventura County,345|2|California,0,0,0,0,0
California,CA,Ormond Beach Generating Station,350,1,Ormond Beach Generating Station 1,Ventura County,350|1|California,146964.04,1724519.402,0.00707991,0.00396475,0.002265571
California,CA,Ormond Beach Generating Station,350,2,Ormond Beach Generating Station 2,Ventura County,350|2|California,302745.32,3366035.947,0.002507305,0.001404083,0.00270789
California,CA,AES Redondo Beach,356,5,AES Redondo Beach 5,Los Angeles County,356|5|California,44848,743055.1,0.000407471,0.002619458,0.001650331
California,CA,AES Redondo Beach,356,6,AES Redondo Beach 6,Los Angeles County,356|6|California,60754,1134967.5,0.00174707,0.003452043,0.004728478
California,CA,AES Redondo Beach,356,7,AES Redondo Beach 7,Los Angeles County,356|7|California,0,0,0.002781933,0.026699327,0.009409092
California,CA,AES Redondo Beach,356,8,AES Redondo Beach 8,Los Angeles County,356|8|California,145521,1691265.4,0.001337214,0.010008844,0.004039136
California,CA,Mountainview Generating Station,358,1-Mar,Mountainview Generating Station 3-1,San Bernardino County,358|3-1|California,513698.97,3759259.108,0.00765279,0.00347462,0.000706677
California,CA,Mountainview Generating Station,358,2-Mar,Mountainview Generating Station 3-2,San Bernardino County,358|3-2|California,455851.19,3301944.881,0.007299258,0.003316498,0.000515439
California,CA,Mountainview Generating Station,358,1-Apr,Mountainview Generating Station 4-1,San Bernardino County,358|4-1|California,582755.2,4287598.455,0.006232785,0.002829246,0.000507759
California,CA,Mountainview Generating Station,358,2-Apr,Mountainview Generating Station 4-2,San Bernardino County,358|4-2|California,539324.05,3921700.469,0.007315216,0.003321716,0.00062231
California,CA,Grayson Power Plant,377,4,Grayson Power Plant 4,Los Angeles County,377|4|California,49253.15,684923.465,0,0,0
California,CA,Grayson Power Plant,377,5,Grayson Power Plant 5,Los Angeles County,377|5|California,69651.54,1006101.54,0.007452579,0.005675623,0.00308022
California,CA,Grayson Power Plant,377,9,Grayson Power Plant 9,Los Angeles County,377|9|California,24320.83,263635.382,0.007622007,0.002998507,0.006576566
California,CA,El Centro,389,4,El Centro 4,Imperial County,389|4|California,119036.97,1333096.7,0,0.000729861,0.00308022
California,CA,El Centro,389,2-Feb,El Centro 2-2,Imperial County,389|2-2|California,273890.92,2508879.3,0.006393446,0.00207,0.006460001
California,CA,El Centro,389,1-Mar,El Centro 3-1,Imperial County,389|3-1|California,278892.58,2119703.113,0.007193023,0.00113178,0.005776186
California,CA,El Centro,389,2-Mar,El Centro 3-2,Imperial County,389|3-2|California,322328.61,2437240.455,0.0057632,0.000906806,0.004628
California,CA,Harbor Generating Station,399,10,Harbor Generating Station 10,Los Angeles County,399|10|California,8127.44,90460.273,0.002921472,0.022465179,0.110792022
California,CA,Harbor Generating Station,399,11,Harbor Generating Station 11,Los Angeles County,399|11|California,5584.17,63656.753,0.00136728,0.017490618,0.048173794
California,CA,Harbor Generating Station,399,12,Harbor Generating Station 12,Los Angeles County,399|12|California,5219.21,60294.275,1.34E-05,1.77E-05,6.77E-07
California,CA,Harbor Generating Station,399,13,Harbor Generating Station 13,Los Angeles County,399|13|California,4270.29,48911.82,0.007622007,0.002998507,0.006576566
California,CA,Harbor Generating Station,399,14,Harbor Generating Station 14,Los Angeles County,399|14|California,5322.13,62271.538,0.007622007,0.002998507,0.006576566
California,CA,Harbor Generating Station,399,**10A,Harbor Generating Station **10A,Los Angeles County,399|**10A|California,45528.64,444962.959,0.000199341,0.000167212,0.000274324
California,CA,Harbor Generating Station,399,**10B,Harbor Generating Station **10B,Los Angeles County,399|**10B|California,34502.09,317884.727,0.006393446,0.001721797,0.003800189
California,CA,Haynes Generating Station,400,1,Haynes Generating Station 1,Los Angeles County,400|1|California,43890.82,502310.151,0.006222916,0.00478976,0.00203892
California,CA,Haynes Generating Station,400,2,Haynes Generating Station 2,Los Angeles County,400|2|California,44295.49,491293.342,0.024619227,0.02049639,0.008955568
California,CA,Haynes Generating Station,400,9,Haynes Generating Station 9,Los Angeles County,400|9|California,1246473.33,8740770.664,0.000974168,0.000787458,0.002271028
California,CA,Haynes Generating Station,400,10,Haynes Generating Station 10,Los Angeles County,400|10|California,970208.11,6740161.207,0.001117395,0.00080618,0.002403404
California,CA,Haynes Generating Station,400,11,Haynes Generating Station 11,Los Angeles County,400|11|California,41912.06,397444.83,0.000905287,0.000334616,0.001557346
California,CA,Haynes Generating Station,400,12,Haynes Generating Station 12,Los Angeles County,400|12|California,79833.44,744232.292,0.000748407,0.000471527,0.001503888
California,CA,Haynes Generating Station,400,13,Haynes Generating Station 13,Los Angeles County,400|13|California,52528.37,492682.885,0.001023021,0.000187504,0.000530753
California,CA,Haynes Generating Station,400,14,Haynes Generating Station 14,Los Angeles County,400|14|California,21928.5,202156.687,0.001522741,0.000511674,0.000684671
California,CA,Haynes Generating Station,400,15,Haynes Generating Station 15,Los Angeles County,400|15|California,104352.04,985724.479,0.000976192,0.000343278,0.000794129
California,CA,Haynes Generating Station,400,16,Haynes Generating Station 16,Los Angeles County,400|16|California,65093.19,622357.921,0.000922018,0.000477287,0.001833786
California,CA,Scattergood Generating Station,404,1,Scattergood Generating Station 1,Los Angeles County,404|1|California,68389.15,760389.729,0.007452579,0.005675623,0.00308022
California,CA,Scattergood Generating Station,404,2,Scattergood Generating Station 2,Los Angeles County,404|2|California,33191.96,367449.528,0.007452579,0.005675623,0.00308022
California,CA,Scattergood Generating Station,404,4,Scattergood Generating Station 4,Los Angeles County,404|4|California,1812188.46,12793150.01,0.002060642,0.001219141,0.002369451
California,CA,Scattergood Generating Station,404,6,Scattergood Generating Station 6,Los Angeles County,404|6|California,38414.84,377700.634,0.000607989,0.000360525,0.001469246
California,CA,Scattergood Generating Station,404,7,Scattergood Generating Station 7,Los Angeles County,404|7|California,26956.12,270384.335,0.000367283,0.000462807,0.001524277
California,CA,Valley Generating Station,408,5,Valley Generating Station 5,Los Angeles County,408|5|California,6695.07,72858.933,0.000408286,0.00084738,0.005464009
California,CA,Valley Generating Station,408,6,Valley Generating Station 6,Los Angeles County,408|6|California,499669.55,3498827.317,0.001506104,0.000436514,0.000941526
California,CA,Valley Generating Station,408,7,Valley Generating Station 7,Los Angeles County,408|7|California,720213.85,5090394.954,0.001535005,0.000631248,0.001674589
California,CA,Glenarm,422,GT3,Glenarm GT3,Los Angeles County,422|GT3|California,3733.57,43487.529,0.007622007,0.002998507,0.006576566
California,CA,Glenarm,422,GT4,Glenarm GT4,Los Angeles County,422|GT4|California,3275.56,39807.54,0.007622007,0.002998507,0.006576566
California,CA,Glenarm,422,GT5,Glenarm GT5,Los Angeles County,422|GT5|California,9032.69,96339.276,0.006393446,0.001721797,0.003800189
California,CA,Olive,6013,1,Olive 01,Los Angeles County,6013|01|California,0,0,0,0,0
California,CA,Olive,6013,2,Olive 02,Los Angeles County,6013|02|California,0,0,0,0,0
California,CA,Woodland Generation Station,7266,1,Woodland Generation Station 1,Stanislaus County,7266|1|California,71443.07,690171.127,0.017043276,0.002065041,0.023805191
California,CA,Woodland Generation Station,7266,2,Woodland Generation Station 2,Stanislaus County,7266|2|California,246588.15,2191355.353,0.002080439,0.000384333,0.00163554
California,CA,Redding Power Plant,7307,5,Redding Power Plant 5,Shasta County,7307|5|California,201077.55,1621508.053,0.003636677,0.000625965,0.003800189
California,CA,Redding Power Plant,7307,6,Redding Power Plant 6,Shasta County,7307|6|California,175489.52,1426221.511,0.00118936,0.001595417,0.006576566
California,CA,Almond Power Plant,7315,1,Almond Power Plant 1,Stanislaus County,7315|1|California,135384.33,1275370.062,0.004382685,0.002582607,0.00336051
California,CA,Almond Power Plant,7315,2,Almond Power Plant 2,Stanislaus County,7315|2|California,60439.04,591414.157,0.002408489,0.001362944,0.004208049
California,CA,Almond Power Plant,7315,3,Almond Power Plant 3,Stanislaus County,7315|3|California,148064.51,1503010.97,0.003471399,0.001956251,0.007201189
California,CA,Almond Power Plant,7315,4,Almond Power Plant 4,Stanislaus County,7315|4|California,88216.22,863404.919,0.001537096,0.000865819,0.003119832
California,CA,NCPA Combustion Turbine Project #2,7449,NA1,NCPA Combustion Turbine Project #2 NA1,San Joaquin County,7449|NA1|California,31178.2,247868.589,0.002721384,0.001955453,0.025383427
California,CA,Carson Cogeneration,7527,1,Carson Cogeneration 1,Sacramento County,7527|1|California,237277.05,2104805.374,0.006393446,0.00207,0.006460001
California,CA,Carson Cogeneration,7527,2,Carson Cogeneration 2,Sacramento County,7527|2|California,11110,116404.338,0.00144078,0.000206241,0.019310866
California,CA,SCA Cogen II,7551,1A,SCA Cogen II 1A,Sacramento County,7551|1A|California,309510,2615007.357,0.001345545,0.000317237,0.012502989
California,CA,SCA Cogen II,7551,1B,SCA Cogen II 1B,Sacramento County,7551|1B|California,337357.7,3040200.536,0.001562954,0.000552743,0.01341178
California,CA,SCA Cogen II,7551,1C,SCA Cogen II 1C,Sacramento County,7551|1C|California,21887.28,201640.549,0.001071094,0.000487843,0.008718255
California,CA,Sacramento Power Authority Cogen,7552,1,Sacramento Power Authority Cogen 1,Sacramento County,7552|1|California,721262.05,5223336.466,0.001612012,0.00013124,0.002161871
California,CA,Anaheim Combustion Turbine,7693,1,Anaheim Combustion Turbine 1,Orange County,7693|1|California,0,0,0.050766648,0.009270339,0.131932535
California,CA,Lake,7987,1,Lake 01,Los Angeles County,7987|01|California,23119.16,227453.157,0.007622007,0.002998507,0.006576566
California,CA,"Calpine Gilroy Cogen, LP",10034,S-100,"Calpine Gilroy Cogen, LP S-100",Santa Clara County,10034|S-100|California,105637.05,881677.992,0.008432244,0.000408231,0.003800189
California,CA,"Fresno Cogeneration Partners, LP",10156,GEN1,"Fresno Cogeneration Partners, LP GEN1",Fresno County,10156|GEN1|California,4798.45,51890.268,0.018834026,0.006009833,0.025729837
California,CA,Carson Cogeneration Company,10169,D1,Carson Cogeneration Company D1,Los Angeles County,10169|D1|California,13181.48,146263.283,0.006393446,0.001721797,0.003800189
California,CA,King City Power Plant,10294,2,King City Power Plant 2,Monterey County,10294|2|California,11649.8,120069.796,0.000280654,0.000248543,0.000629491
California,CA,King City Power Plant,10294,GTG,King City Power Plant GTG,Monterey County,10294|GTG|California,83722.02,690260.754,0.006393446,0.001721797,0.003800189
California,CA,Yuba City Energy Center,10349,2,Yuba City Energy Center 2,Sutter County,10349|2|California,96345.12,995636.032,0.002317008,0.002574505,0.006576566
California,CA,Greenleaf One,10350,1,Greenleaf One 1,Sutter County,10350|1|California,0,0,0.005141298,0.005728314,0.003800189
California,CA,Greenleaf One,10350,CTGA,Greenleaf One CTGA,Sutter County,10350|CTGA|California,494.73,5365,0.006393446,0.001721797,0.003800189
California,CA,Greenleaf One,10350,CTGB,Greenleaf One CTGB,Sutter County,10350|CTGB|California,474.3,5119,0.006393446,0.001721797,0.003800189
California,CA,Kingsburg Cogen Facility,10405,1,Kingsburg Cogen Facility 1,Fresno County,10405|1|California,9963.53,128629.563,0.001622786,0.000271352,0.002187301
California,CA,Bear Mountain Limited,10649,GT1,Bear Mountain Limited GT1,Kern County,10649|GT1|California,54233.25,466000.65,0.00012111,0.000115741,0.000936163
California,CA,Badger Creek Limited,10650,GT1,Badger Creek Limited GT1,Kern County,10650|GT1|California,22852.5,142428.825,0.001086462,0.000130457,0.003142097
California,CA,Coalinga Cogeneration Facility,50131,1,Coalinga Cogeneration Facility 1,Fresno County,50131|1|California,0,0,0,0,0
California,CA,McKittrick Limited,50612,GT1,McKittrick Limited GT1,Kern County,50612|GT1|California,18359.25,175409.35,0.007622007,0.002998507,0.006576566
California,CA,Sargent Canyon Cogen Facility,50864,1,Sargent Canyon Cogen Facility 1,Monterey County,50864|1|California,0,0,0,0,0
California,CA,Salinas River Cogeneration Facility,50865,1,Salinas River Cogeneration Facility 1,Monterey County,50865|1|California,285789.22,3824731.593,0.001136817,3.66E-05,3.35E-05
California,CA,DTE Stockton,54238,BIOMS1,DTE Stockton BIOMS1,San Joaquin County,54238|BIOMS1|California,400203.56,5686685.123,0.002749201,0.000523579,0.003838377
California,CA,Goal Line,54749,1,Goal Line 1,San Diego County,54749|1|California,18173.83,157391.691,0.546656963,0.022062231,0.003800189
California,CA,Live Oak Limited,54768,GT1,Live Oak Limited GT1,Kern County,54768|GT1|California,33691.25,309978.95,0.000514112,0.000492048,0.032198852
California,CA,La Paloma Generating Plant,55151,CTG-1,La Paloma Generating Plant CTG-1,Kern County,55151|CTG-1|California,329735.05,2484597.074,0.013255184,0.003451128,0.002686915
California,CA,La Paloma Generating Plant,55151,CTG-2,La Paloma Generating Plant CTG-2,Kern County,55151|CTG-2|California,314333.08,2528105.463,0.016523107,0.002292077,0.003388341
California,CA,La Paloma Generating Plant,55151,CTG-3,La Paloma Generating Plant CTG-3,Kern County,55151|CTG-3|California,411012.72,3040445.265,0.041127222,0.008874497,0.030036314
California,CA,La Paloma Generating Plant,55151,CTG-4,La Paloma Generating Plant CTG-4,Kern County,55151|CTG-4|California,242995.41,1852755.514,0.006909413,0.001443842,0.003614785
California,CA,Sunrise Power Company,55182,CTG1,Sunrise Power Company CTG1,Kern County,55182|CTG1|California,1443821.11,9866368.858,0.008299907,0.00103496,0.00598798
California,CA,Sunrise Power Company,55182,CTG2,Sunrise Power Company CTG2,Kern County,55182|CTG2|California,1343532.09,9040229.723,0.005643489,0.000973379,0.00316348
California,CA,"Los Medanos Energy Center, LLC",55217,X724,"Los Medanos Energy Center, LLC X724",Contra Costa County,55217|X724|California,1739871.28,12308512.98,0.002913835,0.000940606,0.003119685
California,CA,"Los Medanos Energy Center, LLC",55217,X725,"Los Medanos Energy Center, LLC X725",Contra Costa County,55217|X725|California,1946206.99,13278355.47,0.001178653,0.000524062,0.002556886
California,CA,Blythe Energy,55295,1,Blythe Energy 1,Riverside County,55295|1|California,730176.4,8079041.916,0.008218761,0.000740169,0.006918658
California,CA,Blythe Energy,55295,2,Blythe Energy 2,Riverside County,55295|2|California,737180.2,8315359.344,0.006491104,0.000459195,0.006018946
California,CA,"Delta Energy Center, LLC",55333,1,"Delta Energy Center, LLC 1",Contra Costa County,55333|1|California,1718352.55,11728112.17,0.001617953,0.000209374,0.001754236
California,CA,"Delta Energy Center, LLC",55333,2,"Delta Energy Center, LLC 2",Contra Costa County,55333|2|California,1503673.43,10326363.18,0.001453745,0.00023198,0.001909058
California,CA,"Delta Energy Center, LLC",55333,3,"Delta Energy Center, LLC 3",Contra Costa County,55333|3|California,1393815.59,9764333.597,0.002320136,0.000255182,0.002239887
California,CA,"Otay Mesa Energy Center, LLC",55345,CTG-1,"Otay Mesa Energy Center, LLC CTG-1",San Diego County,55345|CTG-1|California,1024950.8,7155740.024,0.034561143,0.005408238,0.003800189
California,CA,"Otay Mesa Energy Center, LLC",55345,CTG-2,"Otay Mesa Energy Center, LLC CTG-2",San Diego County,55345|CTG-2|California,1166531.08,8214164.272,0.027989919,0.004379952,0.003800189
California,CA,Metcalf Energy Center,55393,1,Metcalf Energy Center 1,Santa Clara County,55393|1|California,1325301.45,9558674.873,0.000883703,0.000638844,0.002934093
California,CA,Metcalf Energy Center,55393,2,Metcalf Energy Center 2,Santa Clara County,55393|2|California,1096214.49,7809579.186,0.00059628,0.000651842,0.002918623
California,CA,Elk Hills Power,55400,CTG-1,Elk Hills Power CTG-1,Kern County,55400|CTG-1|California,1976042.21,12250616.69,0.006931478,0.001721797,0.004604215
California,CA,Elk Hills Power,55400,CTG-2,Elk Hills Power CTG-2,Kern County,55400|CTG-2|California,1996582.12,12404303.46,0.006914395,0.001721797,0.00620243
California,CA,CalPeak Power - Vaca Dixon,55499,GT-1,CalPeak Power - Vaca Dixon GT-1,Solano County,55499|GT-1|California,20945.53,222810.603,0.007734225,0.003419037,4.56E-06
California,CA,CalPeak Power - Panoche,55508,GT-1,CalPeak Power - Panoche GT-1,Fresno County,55508|GT-1|California,16673.21,182227.684,0.0014919,0.003945489,0.009588908
California,CA,CalPeak Power - Border,55510,GT-1,CalPeak Power - Border GT-1,San Diego County,55510|GT-1|California,28757.89,304148.538,0.057248429,0.003154005,0.006576566
California,CA,Cuyamaca Peak Energy,55512,GT-1,Cuyamaca Peak Energy GT-1,San Diego County,55512|GT-1|California,8462.3,93905.676,0.051021488,0.002785564,0.006576566
California,CA,CalPeak Power - Enterprise,55513,GT-1,CalPeak Power - Enterprise GT-1,San Diego County,55513|GT-1|California,22194.85,234371.009,0.107691437,0.007719709,0.006576566
California,CA,High Desert Power Project,55518,CTG1,High Desert Power Project CTG1,San Bernardino County,55518|CTG1|California,1283195.34,9283813.001,0.006666833,0.000472649,0.002840892
California,CA,High Desert Power Project,55518,CTG2,High Desert Power Project CTG2,San Bernardino County,55518|CTG2|California,1306764.51,9464872.54,0.003911872,0.000627831,0.002563786
California,CA,High Desert Power Project,55518,CTG3,High Desert Power Project CTG3,San Bernardino County,55518|CTG3|California,1335144.78,9746192.238,0.005031431,0.000564062,0.002299082
California,CA,"Escondido Energy Center, LLC",55538,CTG1,"Escondido Energy Center, LLC CTG1",San Diego County,55538|CTG1|California,8863.36,87828.14,0.001204634,0.000113056,0.006576566
California,CA,Chula Vista Energy Center,55540,1A,Chula Vista Energy Center 1A,San Diego County,55540|1A|California,2250.9,36826.029,0.007697546,0.000496136,0.006576566
California,CA,Chula Vista Energy Center,55540,1B,Chula Vista Energy Center 1B,San Diego County,55540|1B|California,2268.23,37307.762,0.007562756,0.000487449,0.006576566
California,CA,Indigo Generation Facility,55541,1,Indigo Generation Facility 1,Riverside County,55541|1|California,11086.32,113222.587,0.012262965,0.001191505,0.013099252
California,CA,Indigo Generation Facility,55541,2,Indigo Generation Facility 2,Riverside County,55541|2|California,12433.82,128486.356,0.011109932,0.001178898,0.011797893
California,CA,Indigo Generation Facility,55541,3,Indigo Generation Facility 3,Riverside County,55541|3|California,10947.05,107385.592,0.016391903,0.001612107,0.01756058
California,CA,Larkspur Energy Faciity,55542,1,Larkspur Energy Faciity 1,San Diego County,55542|1|California,15728.15,163235.809,0.016802433,0.002880135,0.006576566
California,CA,Larkspur Energy Faciity,55542,2,Larkspur Energy Faciity 2,San Diego County,55542|2|California,15088.05,140484.094,0.020923356,0.003002159,0.006576566
California,CA,Creed Energy Center,55625,UNIT1,Creed Energy Center UNIT1,Solano County,55625|UNIT1|California,15253.96,163171.967,0.004549542,0.000235692,0.003674596
California,CA,Lambie Energy Center,55626,UNIT1,Lambie Energy Center UNIT1,Solano County,55626|UNIT1|California,13216,140637.32,0.004351335,0.000225424,0.003514509
California,CA,Goose Haven Energy Center,55627,UNIT1,Goose Haven Energy Center UNIT1,Solano County,55627|UNIT1|California,14527.56,157370.198,0.004880818,0.000252854,0.003942161
California,CA,Pastoria Energy Facility,55656,CT001,Pastoria Energy Facility CT001,Kern County,55656|CT001|California,1230736.15,10956533.27,0.000945665,0.001030554,0.000758453
California,CA,Pastoria Energy Facility,55656,CT002,Pastoria Energy Facility CT002,Kern County,55656|CT002|California,1173391.91,10326524.71,0.001300969,0.000607618,0.000373823
California,CA,Pastoria Energy Facility,55656,CT004,Pastoria Energy Facility CT004,Kern County,55656|CT004|California,1544534.78,11612231.99,0.001559493,0.000284109,0.00064497
California,CA,Hanford Energy Park Peaker,55698,HEP1,Hanford Energy Park Peaker HEP1,Kings County,55698|HEP1|California,4271.39,42663.241,0.003882438,0.00082031,0.016893988
California,CA,Hanford Energy Park Peaker,55698,HEP2,Hanford Energy Park Peaker HEP2,Kings County,55698|HEP2|California,4381.13,44241.952,0.00554086,0.001065043,0.015394272
California,CA,Los Esteros Critical Energy Facility,55748,CTG1,Los Esteros Critical Energy Facility CTG1,Santa Clara County,55748|CTG1|California,89236.25,734587.681,9.82E-05,1.35E-05,0.003800189
California,CA,Los Esteros Critical Energy Facility,55748,CTG2,Los Esteros Critical Energy Facility CTG2,Santa Clara County,55748|CTG2|California,66313.79,517696.171,6.48E-05,9.11E-06,0.003800189
California,CA,Los Esteros Critical Energy Facility,55748,CTG3,Los Esteros Critical Energy Facility CTG3,Santa Clara County,55748|CTG3|California,86689.74,707826.318,8.51E-05,1.20E-05,0.003800189
California,CA,Los Esteros Critical Energy Facility,55748,CTG4,Los Esteros Critical Energy Facility CTG4,Santa Clara County,55748|CTG4|California,74992.03,605378.963,0.000123342,1.74E-05,0.003800189
California,CA,Henrietta Peaker Plant,55807,HPP1,Henrietta Peaker Plant HPP1,Kings County,55807|HPP1|California,13620.68,134094.761,0.004156353,0.000916359,0.004259926
California,CA,Henrietta Peaker Plant,55807,HPP2,Henrietta Peaker Plant HPP2,Kings County,55807|HPP2|California,12205.02,117206.192,0.003279815,0.000631626,0.00407596
California,CA,"Gilroy Energy Center, LLC",55810,S-3,"Gilroy Energy Center, LLC S-3",Santa Clara County,55810|S-3|California,8879.01,88538.007,0.001002984,0.000491563,0.005928806
California,CA,"Gilroy Energy Center, LLC",55810,S-4,"Gilroy Energy Center, LLC S-4",Santa Clara County,55810|S-4|California,7635.8,85542.997,0.000591019,0.000721684,0.017964219
California,CA,"Gilroy Energy Center, LLC",55810,S-5,"Gilroy Energy Center, LLC S-5",Santa Clara County,55810|S-5|California,8051.85,82774.114,0.000757918,0.000475515,0.007348149
California,CA,Feather River Energy Center,55847,UNIT1,Feather River Energy Center UNIT1,Sutter County,55847|UNIT1|California,85953.98,947591.661,0.005273308,0.005859349,0.155398688
California,CA,Inland Empire Energy Center,55853,1,Inland Empire Energy Center 1,Riverside County,55853|1|California,0,0,0.030379534,0.020604895,0.188486065
California,CA,Inland Empire Energy Center,55853,2,Inland Empire Energy Center 2,Riverside County,55853|2|California,0,0,0,0,0
California,CA,Wolfskill Energy Center,55855,UNIT1,Wolfskill Energy Center UNIT1,Solano County,55855|UNIT1|California,9747.64,105698.97,0.024327035,0.003422208,0.006576566
California,CA,Tracy Combined Cycle Power Plant,55933,TPP1,Tracy Combined Cycle Power Plant TPP1,San Joaquin County,55933|TPP1|California,411333.23,3286549.497,0.001489385,8.73E-05,0.000715648
California,CA,Tracy Combined Cycle Power Plant,55933,TPP2,Tracy Combined Cycle Power Plant TPP2,San Joaquin County,55933|TPP2|California,427443.95,3393519.892,0.002182641,0.000148634,0.00083872
California,CA,Agua Mansa Power,55951,AMP-1,Agua Mansa Power AMP-1,San Bernardino County,55951|AMP-1|California,13573.5,143473.6,0.007622007,0.002998507,0.006576566
California,CA,Riverview Energy Center,55963,1,Riverview Energy Center 1,Contra Costa County,55963|1|California,16741.77,176925.338,0.000597677,0.003923654,0.006576566
California,CA,Cosumnes Power Plant,55970,2,Cosumnes Power Plant 2,Sacramento County,55970|2|California,2065197.73,14172564.51,0.001745297,0.000707273,0.003536363
California,CA,Cosumnes Power Plant,55970,3,Cosumnes Power Plant 3,Sacramento County,55970|3|California,2061432.19,14182097.06,0.001689925,0.000475058,0.001425174
