"time","country","Billion metric tons","GW-mile","2016$/MWh","Coal Usage_Quads","Gas Usage_Quads","consumption_billion gallons","withdrawal_billion gallons","Biopower_GW","Coal_GW","CSP_GW","Geothermal_GW","Hydro_GW","Land-based Wind_GW","NG-CC_GW","NG-CT_GW","Nuclear_GW","Offshore Wind_GW","Oil-Gas-Steam_GW","Rooftop PV_GW","Storage_GW","Utility PV_GW","Biopower_TWh","Coal_TWh","CSP_TWh","Curtailment_TWh","Geothermal_TWh","Hydro_TWh","Imports_TWh","Land-based Wind_TWh","NG-CC_TWh","NG-CT_TWh","Nuclear_TWh","Offshore Wind_TWh","Oil-Gas-Steam_TWh","Rooftop PV_TWh","Storage_TWh","Utility PV_TWh","Biopower_%","Coal_%","CSP_%","Geothermal_%","Hydro_%","Imports_%","Land-based Wind_%","NG-CC_%","NG-CT_%","Nuclear_%","Offshore Wind_%","Oil-Gas-Steam_%","Rooftop PV_%","Utility PV_%"
2018,"usa",1.54914714928877,89762.567569575,31.3164803009951,10.9393865450074,9.46333761177029,1193.42965261236,29613.5219813615,7.60594256885991,240.621417,1.894587,2.847674,77.8505675,99.525854470472,261.239155658696,146.189000628996,98.7696994067707,0.0300020120960907,82.600007,16.2597345454545,23.187127480432,41.0760410415674,41.0967844273091,1048.07126276941,5.4151862493107,-6.52999180262971,21.2040026200557,279.468031219006,38.0279998861948,311.857616693745,1263.82832660771,5.73586246799374,780.776824997643,0.110084340224088,0.258073859871448,25.7400977494686,-0.691430069010847,95.4814033696277,0.0104917114294644,0.267565002949088,0.00138245783110023,0.00541322830336578,0.0713461643817066,0.00970827296114524,0.0796149909786391,0.322646218771797,0.00146432414729986,0.199326668809768,2.81037347965021e-05,6.58843873794666e-05,0.00657126053818884,0.0243757107762607
2020,"usa",1.55114318689877,89935.5054629412,34.6742908363752,11.0644376503095,9.28052362884255,1184.06527713944,28828.3057204329,7.4803421428876,240.621417,1.894587,2.847674,79.5039494,124.647254983541,272.856828576479,141.480036628996,95.3751994067707,0.278002012096091,73.216294,19.6773227272727,23.5512395769489,50.9204506930922,42.1520571174316,1058.33387215307,5.414440126459,-11.5029031286335,21.2040026200557,285.43943554093,37.2489998885261,409.093232312781,1252.90843324227,5.09374823440996,753.943227470459,1.05239753858164,0.265139963078776,30.797379530798,-0.61394872822782,115.86134861675,0.010488697174254,0.263345237537141,0.00134727523964833,0.00527619237524424,0.0710259001746489,0.00926866935073025,0.101794676777258,0.311761229273734,0.00126747747005027,0.18760370763132,0.000261868099541655,6.59747820557995e-05,0.00766331253440829,0.0288297815799649
2022,"usa",1.52496043955137,90045.8593199205,33.9770203744692,10.8280738880192,9.2217065873086,1160.6427002684,28286.2874832374,7.4803421428876,240.621417,1.894587,2.847674,79.5039494,130.700344005209,273.356829115545,135.434606628996,92.6716004067707,1.32100201209609,71.558755,23.1832327272727,23.9572395769489,70.7269212264427,42.2298107800952,1038.74985945836,5.41309337068444,-14.2258972249452,21.2040026200557,285.43943554093,40.3129998793565,432.369050668705,1246.50443918793,4.79793520221573,732.571225333932,5.22942238548213,0.768546772620869,35.8565662467169,-0.938272359521403,164.727854054817,0.0104112417923295,0.256091034953601,0.00133453176525279,0.00522758672522027,0.0703715911955592,0.00993867557928911,0.106595285341738,0.307310377950229,0.00118287206528859,0.180606448766037,0.00128924993704062,0.000189475778618498,0.0088399965365985,0.0406116316131978
2024,"usa",1.61276510138416,90146.7674858402,35.3649616448959,11.9765841267477,8.81319079083268,1202.65487907383,29162.90715853,7.4195421428876,240.621417,1.894587,2.847674,79.5055894,130.625447137526,273.175530434074,130.587246628996,91.5216004067707,2.42100201209609,70.153895,26.3040218181818,23.9572395769489,74.8213422176545,42.5225649156399,1142.33551156515,5.41220488376497,-15.1712035786992,21.2040026200557,285.446564546769,42.966999871414,432.4210714458,1194.1783190529,4.40521995414604,723.480447733736,9.54745387162166,0.369523713219119,40.3041271251801,-0.810057454309302,172.120738283532,0.0103292473494667,0.277487166600717,0.00131469028411874,0.00515070970661835,0.0693384365714647,0.0104372059967883,0.105040328939383,0.290080414042262,0.00107008141737106,0.175742185636504,0.00231919247564795,8.97617968931551e-05,0.00979036187271984,0.0418102173100455
2026,"usa",1.6473322203505,90360.6216334919,36.4833980548857,12.4973726205011,8.52962472039256,1220.33247164912,29204.2296928739,7.4195421428876,240.621417,1.894587,2.965834,79.5552294,130.926919708184,272.866535827562,125.804976628996,90.3716004067707,4.22100201209609,66.584795,30.0955090909091,23.9572395769489,84.3181436180019,43.150278771887,1190.79648137011,5.37718049492522,-15.3891394203354,22.083831192282,285.642445207306,49.8249998508902,437.29231897012,1157.40253385118,4.24221629802375,714.389670133932,16.6857999391035,0.252395486981334,45.6097193769814,-0.992401340424997,194.464918129201,0.0103547047502888,0.285753564825255,0.00129035357357269,0.00529942235043636,0.0685451697753387,0.011956427103671,0.104936352241014,0.277740071590757,0.00101799799452322,0.171430969194862,0.00400406525309331,6.05669493310386e-05,0.0109448928566334,0.0466654415412227
2028,"usa",1.65926780504306,90496.1601986198,36.6784813222011,12.6226273587501,8.5314022775533,1225.31938814766,29399.2985023427,7.3455421428876,240.621417,1.894587,3.31291,79.6183632,131.163547590146,272.85475695248,124.250076628996,90.3716004067707,5.22100201209609,65.162275,34.88837,23.9576918271178,98.8941178699657,42.6632374954001,1201.99471574677,5.30251778644934,-16.6179065077108,24.6681861477152,285.841542088442,49.9919998503905,442.000981208262,1158.21898013286,4.22242841178004,714.389670133932,20.5337936059731,0.0321119295973344,52.2701696640101,-1.72505090677488,228.628766725496,0.0100840620979936,0.284108522152296,0.001253325386758,0.00583067614091044,0.0675627080789843,0.0118163191658527,0.104473209337636,0.273761505323965,0.000998030923305179,0.168856144510187,0.00485345374580027,7.59011062348072e-06,0.0123547969565453,0.0540396560691429
2030,"usa",1.66362484794496,90798.3483837358,37.5930523421009,12.64625513441,8.57090869963335,1223.56761599158,29694.6452082628,7.3139421428876,234.548017,1.894587,3.4360725,79.9139882,131.996811885935,273.455691451983,123.389439628996,90.3716004067707,6.22100201209609,64.039455,40.6129981818182,23.9576918271178,107.413157168313,42.8786691115146,1203.64550382046,5.22150223688997,-17.6207008891053,25.5852637249564,286.781475666528,50.0869998501062,453.994660491244,1164.67775864706,4.1247679263234,714.389670133932,24.3437372578049,0,60.153250690721,-2.46062841537778,246.263386871493,0.0100133584045451,0.281084606204275,0.00121936558180329,0.00597486864357913,0.0669714279649157,0.0116967035428071,0.106020343994954,0.271984557002108,0.00096324770422403,0.166829800359517,0.00568493778187294,0,0.014047452284448,0.0575093305309515
2032,"usa",1.65912203710699,91291.183852679,37.7247545141938,12.4784412106341,8.78804138128547,1222.13677953705,29290.0026925735,7.23719966914693,227.896497,1.894587,3.4360725,80.0245982,123.557552829759,275.976417333933,122.764839628996,90.3716004067707,6.22100201209609,62.60154,46.1607427272727,23.9576918271178,122.813656414864,42.4432920593484,1186.59022794859,5.20831517384875,-15.1535651381741,25.5852637249564,287.203047225035,50.3159998494208,445.589065187903,1196.18621882354,4.36220609276157,714.389670133932,24.3406964933955,0,67.799412274096,-2.47067532941752,280.14846123366,0.00980177953448576,0.274029069089741,0.00120279918458724,0.00590861599550364,0.0663261687287579,0.0116198888835395,0.10290355832536,0.276245150416319,0.00100740023524688,0.164979899263599,0.00562119781873858,0,0.0156574775290557,0.0646969949950656
2034,"usa",1.64664584834497,91666.1753223213,37.5790789645932,12.3352961423856,8.81051315820404,1215.91394425689,28995.5102459352,6.96747368904764,225.138897,1.894587,3.4360725,80.1032582,120.753378864523,275.594183682112,122.321139628996,90.3716004067707,6.22100201209609,59.03774,51.6294072727273,23.9576918271178,144.990375329897,40.9467753241812,1173.52416245684,5.21150191358554,-13.4236841522974,25.5852637249564,287.451605498957,49.9179998506119,461.802316860239,1199.7827997117,4.68746109866485,714.389670133932,24.3419849989377,0,75.2733172633011,-2.52807577261536,328.08689996914,0.00932515575564796,0.267256591301435,0.00118685944571422,0.0058267486852292,0.0654637873743834,0.0113682486577269,0.105170150737064,0.273236693040679,0.00106751519497011,0.162694006829172,0.00554360629670121,0,0.0171426297227869,0.0747180069584907
2036,"usa",1.60234525743706,91818.4066763092,36.8668477244078,11.8713550217399,8.81051315820403,1195.50012058445,28636.5824233647,6.59600661420303,221.717397,1.894587,3.5912748,80.2785597,131.483023649509,285.128795186181,121.454239628996,90.3716004067707,6.22100201209609,54.41374,57.1792827272727,23.9641980629886,168.552050134102,38.9136281802429,1131.68824359781,5.21448843443144,-15.0555486564689,26.7409121509485,288.066425802191,48.5279998547717,508.426740168788,1211.50688331753,4.37776507334905,714.389670133932,24.3396623272011,0,82.7393511689935,-2.45661957671223,376.420907896851,0.00872238331912238,0.253664824381916,0.00116881331978532,0.00599390231625774,0.0645693014174386,0.0108774184325105,0.113962463147951,0.271555954153254,0.000981264067024294,0.160128490544946,0.00545566873622024,0,0.0185457992538935,0.084373716909681
