gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
CAMXc,2028,314826940,11706343,8624811,3702498.5,338860589,303511143.9,224872158.8,133624850,58618700,0.0359,0.0539,0.182,77523.25,75889.5,0.82,0.8,67.2,1.3,0.13,9.3,353.6,0.05,67.3,19.8,87.1,97.3,4.6,0.61,10.4,424,0.06,97.6,23.1,120.6,56.4,1.8,0.22,6,271.6,0.03,56.5,14.1,70.7,509.7,33.3,4.64,39.4,1897.1,0.26,511.9,96,607.9,17629257.9,332.4,33.3,2434447.6,92772.6,12,17648248.4,5202349.7,22850598.1,0,24.17,15.37,0,39.54,26.46,17.72,0,44.18,263171380,113988430,9943989,5166420.5,0,0,0,0,1913210.8,28361828,45700970,0,459141.4,35759140,28190918,17072884,7107.5,6882393.5,0,67360640,14562776,1789975.4,7373.9,835.4,0,0,0,917.8,17576.5,19788.5,0,10662.1,4801.9,10865.2,2240,883,4094.8,0,24887.5,600,6408,28091.3,40948.2,0,0
CAMXc,2030,327892400,17697096,21681472,3733847.7,371004817.6,316106985,206421535.7,134190160,60621930,0.0359,0.0539,0.182,73243.54,80066.5,0.89,0.86,41.5,0.8,0.08,5.5,217.5,0.02,41.5,12,53.6,71.1,3.7,0.5,7.2,298.9,0.04,71.4,16.1,87.4,43.4,1.2,0.14,4.8,215.9,0.02,43.5,11.3,54.7,415,26.3,3.65,33.4,1571.1,0.22,416.7,80.3,497,12250204.4,231.1,23.2,1638896.3,64254.7,6.2,12263410.8,3555385.2,15818796.1,0,21.45,13.79,0.67,35.91,24.31,16.71,0.75,41.77,296719360,164583280,15069920,4841847,0,0,0,0,1903963.2,32261280,32017540,0,413163.6,35751576,26950644,0,9388.1,17081986,0,108355580,14822717,7239737.5,10435.8,812.4,0,0,0,917.8,20119.2,19755.9,0,10641.8,4801.9,10981.8,0,592.9,9417.8,0,38872.4,2000,6451.7,42161.7,94177.6,0,0
CAMXc,2035,374072300,33838590,23758354,3729003.9,435398251.8,360626987.7,204020372.8,130756240,66223084,0.0359,0.0539,0.182,100271.08,94357.6,0.93,0.92,26.6,0.5,0.05,3.3,139.2,0.01,26.6,7.5,34.1,40.3,2.1,0.28,3.9,169.9,0.02,40.5,9,49.4,36.3,0.8,0.09,4.2,185.8,0.02,36.4,9.7,46.1,353.3,21.6,2.98,29.6,1364.9,0.2,354.7,70.3,425.1,9774924.9,184.5,18.5,1222465.4,51146.4,4.6,9785479.2,2747881.9,12533361.2,0,18.32,18.75,0,37.07,21.02,23.41,0,44.43,370129020,231377870,28811024,1931110.4,0,0,0,0,1750100,37543536,25345314,0,482555.4,36468148,26808232,0,13866.9,18890906,0,151851540,14505197,25727518,17454.9,435.9,0,0,0,917.8,24108.7,19646,0,11355.5,4939.6,11170.8,0,592.9,10432,0,54239.4,6000,5747.5,80498.3,104319.7,0,0
CAMXc,2040,432178340,58212450,25974096,3842231.4,520207117.9,416644390.8,184128970,117495920,87281250,0.0359,0.0539,0.182,100338.06,111284.9,0.96,0.95,16.5,0.3,0.03,2,86.2,0.01,16.5,4.6,21.1,23.8,1.2,0.16,2.3,101.1,0.01,23.8,5.3,29.2,17.6,0.4,0.04,2.1,90.7,0.01,17.7,4.8,22.4,280.6,14.8,2.01,25.6,1159.3,0.15,281.6,60.1,341.7,7947451.2,149.8,15,980622.8,41597.6,3.7,7956011.4,2221228.9,10177240.3,0,15.13,17.94,0,33.06,17.99,23.12,0,41.11,489384400,336078140,49468236,1240769.9,0,0,0,0,1074626.4,36249224,20830844,0,350042.2,35992490,24414458,0,3236.8,21006162,0,210204640,16657011,71892660,28125.4,366.9,0,0,0,917.8,25831.2,19646,0,11007,5037.9,11360.5,0,147.5,10432,0,78443.7,16000,6088.4,132775,104319.7,0,0
CAMXc,2045,493028960,93147010,24436458,4050190.9,614662660.8,475307715.4,172337132.9,107215810,112800024,0.0359,0.0539,0.182,106014.85,128791.2,0.97,1,12.5,0.2,0.02,1.5,65.5,0.01,12.5,3.5,16,0,0,0,0,0,0,0,0,0,6.6,0.1,0.02,0.8,33.7,0,6.6,1.8,8.3,250,13.4,1.82,22.3,1029.5,0.13,250.9,53.1,304,7617809.6,143.6,14.4,937932.2,39874.8,3.5,7626011.2,2127153.4,9753164.6,0,13.2,18.26,0,31.46,16.15,24.37,0,40.51,619787600,442325570,79212104,1124065.6,0,0,0,0,0,34517716,20075564,0,182739.7,35040870,22452472,0,1405.1,19372814,0,269135580,25998620,112673620,41891.8,366.9,0,0,0,0,27311.9,18961.6,0,10727.7,4988,11528.6,0,144.7,10432,0,105624.5,25000,8218,210440.7,104319.7,0,0
CAMXc,2050,557375360,135403860,23552528,4207816.3,720539533.6,537341126.5,206117570,116388504,118404100,0.0359,0.0539,0.182,107532.07,147695.1,0.97,1,12.1,0.2,0.02,1.5,63.5,0.01,12.2,3.4,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.8,9.1,1.19,22,985,0.11,219.4,51.4,270.8,8614256.4,162.4,16.2,1053800.8,45086,3.9,8623528.2,2398432.2,11021960.5,0,12.94,18.21,0,31.15,16.37,25.22,0,41.59,722061760,514421950,115115176,1064890,0,0,0,0,0,34046390,22550890,0,128683.1,27733868,22044494,0,382.8,19001376,0,338227330,30492428,111655790,60342.1,366.9,0,0,0,0,28359.7,18321.9,0,15815.9,3971.1,11634.3,0,144.7,10432,0,140990.5,25000,9768,301785.6,104319.7,0,0
ERCTc,2024,388604770,1910864.4,10536.1,5797950.2,396324111.7,374635141.7,195808751.5,255395300,261734430,0.0359,0.0539,0.1375,25871.65,90070.6,0.6,0.59,228.2,14.1,1.96,19.1,870.4,0.14,229.2,45.1,274.3,241.5,14.9,2.08,20.2,920,0.14,242.5,47.7,290.1,261.5,10,1.31,26.8,1178.6,0.14,262.2,61.9,324.1,550,37.5,5.34,42.3,1918.5,0.34,552.5,99.6,652.1,91202000.2,5629.9,782.3,7655964.6,347996.3,54.1,91583335.5,18041016.2,109624351.7,0,23.02,5.13,0,28.15,24.57,5.6,0,30.17,402675940,200515360,1625847.8,585787.9,0,0,39882584,0,0,2619595,116101140,0,3318354.8,0,579141,37673010,2386351,8358,0,77382270,120513490,0,1580.1,110.6,0,14766.6,0,0,1776.1,34539.4,0,7945.7,0,562.7,4980,9933.3,5,0,34196.4,0,33925.5,3160.2,50,0,0
ERCTc,2026,399166180,6513305.5,11126.3,5519591.8,411210188,384816835.9,157747363.9,243832780,252825680,0.0359,0.0539,0.1375,47896.66,92404.5,0.71,0.7,159.7,9.4,1.29,14,629.8,0.1,160.3,32.8,193.1,171.7,10.1,1.39,15,676.2,0.1,172.3,35.2,207.5,178.5,4.2,0.47,20.5,902.2,0.08,178.8,47.4,226.1,485.3,31.7,4.47,38.4,1752.9,0.29,487.5,90.7,578.2,66547604.5,3896.1,536.1,5835230.2,262626.7,39.9,66810061.9,13672389,80482450.8,0,20.02,9.37,0,29.39,21.54,10.33,0,31.88,420237700,253462830,5522119.5,497421.2,0,0,27204228,0,0,4696729.5,93655920,0,1947177.8,0,539345,36389200,1010745.6,8725.9,0,82435780,166330320,0,4257.4,110.6,0,14766.6,0,0,3160,35650.2,0,7945.7,0,562.7,4980,8350.3,5,0,36651.5,0,45448,13879.2,50,0,0
ERCTc,2028,414685020,11874709,9734,5185944.4,431755397.5,399777828.3,113033046.3,232384800,246203300,0.0359,0.0539,0.1375,58655.69,96230,0.82,0.81,91,4.5,0.61,9,385.1,0.06,91.3,20.5,111.8,99.7,4.9,0.66,9.8,422,0.07,100.1,22.4,122.5,83.9,2.5,0.3,9.2,408.1,0.04,84,21.4,105.4,374.5,22.4,3.13,31.6,1416.9,0.22,376,73.9,449.9,40172366.6,1981.9,266.9,3976871,170141.3,26.7,40304300.3,9054360.6,49358660.9,0,15.33,11.18,0,26.51,16.61,12.44,0,29.05,445673060,318722340,10047321,397474.6,0,0,12732796,0,0,7842837,66826840,0,1188593,0,478647,34507324,764092,7639,0,92541210,218338300,0,7756.8,110.6,0,14111.6,0,0,5272.9,35331.2,0,7945.7,0,562.7,4980,7899.3,5,0,42832.1,0,61535.5,28603,50,0,0
ERCTc,2030,430807550,20156598,8102,5071244.7,456043501.2,415320812.8,80836200.4,221988380,249393000,0.0359,0.0539,0.1375,63329.82,100330.7,0.88,0.87,59.2,3.1,0.42,5.9,246.3,0.04,59.4,13.2,72.7,67.8,3.5,0.48,6.7,281.7,0.05,68,15.1,83.1,60.8,3.1,0.41,5.5,255.6,0.03,61,13.1,74.1,319.2,19.5,2.74,26.5,1194.3,0.19,320.5,62.2,382.7,28296207.4,1461.6,198.3,2825004.4,117831.9,20.8,28393897.9,6342060.7,34735958.6,0,13.2,11.56,0,24.76,14.47,13.05,0,27.52,483637060,375207300,17007790,338949.9,0,0,9814658,0,0,12031378,46102710,0,772405.3,0,439898.2,33358518,588272,6562.5,0,109031220,254144720,0,12136.7,110.6,0,12422.6,0,0,8251.7,35215.2,0,7903.7,0,562.7,4980,7703.3,5,0,52776,0,74555,50579.1,50,0,0
