Fuel,st_id,cnt_id,Annual_generation,Nox_emissions,SO2_emissions,Latitude,Longitude
BIOMASS,12,099,533818,2434.53,827.9,26.77,-80.14
BIOMASS,12,101,162968,547.55,14.85,28.37,-82.56
SOLAR,12,105,132614,,,27.66,-81.96
GAS,12,113,88078,285.58,2.9,30.59,-87.14
SOLAR,12,105,110975,,,27.91,-81.81
SOLAR,12,111,136990,,,27.52,-80.55
SOLAR,12,011,803,,,26.01,-80.3
GAS,12,033,687612.89,474.42,6.06,30.6,-87.25
BIOMASS,12,033,21345,0,4.11,30.57,-87.39
SOLAR,12,123,6405,,,30.12,-83.56
BIOMASS,12,103,427707,2108.43,179.22,27.87,-82.67
SOLAR,12,127,145691,,,29.08,-81.1
GAS,12,105,5824817,312.8,28.12,27.73,-81.99
BIOMASS,12,015,5788,0,1.07,26.79,-81.97
GAS,12,011,6915912,161.89,13.3,26.09,-80.13
GAS,12,095,447,2.65,0,28.43,-81.58
SOLAR,12,117,0,,,28.77,-81.35
GAS,12,099,5687957,149.61,10.83,26.77,-80.05
SOLAR,12,027,124487,,,27.32,-81.81
SOLAR,12,095,9236,,,28.49,-81.18
GAS,12,129,1338590,126.95,2.66,30.16,-84.2
SOLAR,12,099,116251,,,26.78,-80.35
GAS,12,127,9045077,812.58,18.81,28.84,-81.33
SOLAR,12,001,137592,,,29.52,-82.43
GAS,12,113,682990,88.37,1.55,30.57,-87.12
BIOMASS,12,115,43837,0,9.07,27.2,-82.39
COAL,12,107,6550658,1924.59,5051.82,29.73,-81.63
BIOMASS,12,117,19727,0,3.67,28.79,-81.09
GAS,12,031,141894,27.18,1.24,30.42,-81.6
GAS,12,101,306990,57.99,2.61,28.37,-82.56
SOLAR,12,001,2033,,,29.7,-82.34
BIOMASS,12,086,21712,172.17,0.3,25.55,-80.34
GAS,12,001,43585,253.85,0.35,29.64,-82.34
SOLAR,12,081,179139,,,27.57,-82.19
SOLAR,12,009,16431,,,28.46,-80.68
BIOMASS,12,063,38489,0,7.91,30.93,-85.43
NUCLEAR,12,111,14153683,,,27.35,-80.25
GAS,12,033,17,0.5,0,30.47,-87.24
GAS,12,095,2488152,105.96,5.35,28.49,-81.17
SOLAR,12,031,8687,,,30.49,-81.6
OIL,12,087,3537,1.78,0.03,24.56,-81.73
GAS,12,073,10129,123.57,0.15,30.46,-84.26
SOLAR,12,023,143806,,,30.29,-82.75
GAS,12,121,61215,144.43,6.28,30.38,-83.18
SOLAR,12,121,16938,,,30.38,-83.17
SOLAR,12,085,144671,,,27.06,-80.47
OTHF,12,047,98938,10.91,89.84,30.45,-82.86
SOLAR,12,095,183902,,,28.5,-81.05
SOLAR,12,057,3014,,,27.97,-82.53
GAS,12,105,1192323,134.67,2.57,27.75,-81.85
GAS,12,099,4621,0.32,0,26.61,-80.07
BIOMASS,12,031,41470,0,7.52,30.23,-82.04
SOLAR,12,109,150409,,,29.77,-81.43
GAS,12,111,1839118,37.9,4.09,27.38,-80.38
OTHF,12,041,,,,29.61,-82.81
SOLAR,12,041,161690,,,29.64,-82.84
GAS,12,081,188861,152.91,1.57,27.48,-82.55
NUCLEAR,12,086,19340939,142.95,11.33,25.44,-80.33
SOLAR,12,107,144118,,,29.61,-81.84
SOLAR,12,047,84952,,,30.47,-82.97
SOLAR,12,125,146304,,,29.97,-82.3
GAS,12,001,350961,107.08,0.88,29.64,-82.35
GAS,12,049,1158629,192.49,88.07,27.52,-81.92
SOLAR,12,095,8152,,,28.37,-81.56
BIOMASS,12,021,24175,0,5.27,26.16,-81.66
GAS,12,099,20327004,511.09,39.7,26.7,-80.37
BIOMASS,12,005,214441.34,88.19,346.86,30.14,-85.62
BIOMASS,12,011,435933,1379.83,126.07,26.07,-80.2
SOLAR,12,027,159204,,,27.32,-81.78
SOLAR,12,081,100242,,,27.45,-82.08
SOLAR,12,057,135768,,,27.74,-82.27
OIL,12,105,1101,18.82,1.7,28.03,-82.02
OTHF,12,086,,,,25.8,-80.2
OIL,13,121,0,,,33.76,-84.39
BIOMASS,13,289,20535,0,3.81,32.78,-83.43
GAS,13,303,130545,65.21,0.53,33.12,-82.86
BIOMASS,13,095,360631,115.89,7.4,31.56,-84.11
HYDRO,13,015,169177,,,34.16,-84.73
OIL,13,033,217,32.81,13.67,33.14,-81.75
SOLAR,13,245,4756,,,33.34,-82.06
SOLAR,13,023,2993,,,32.4,-83.34
OIL,13,059,27.44,0.45,0.04,33.96,-83.4
SOLAR,13,121,1274,,,33.76,-84.4
OIL,13,121,0,,,33.76,-84.39
SOLAR,13,303,11293,,,32.98,-82.59
GAS,13,205,200432,93.19,0.59,31.39,-84.08
SOLAR,13,087,2008,,,30.97,-84.63
OIL,13,121,0,,,33.77,-84.39
SOLAR,13,001,60741,,,31.88,-82.33
SOLAR,13,021,1493,,,32.78,-83.76
HYDRO,13,111,39144,,,34.88,-84.28
OIL,13,051,-64,0.15,0.05,32.04,-81.15
COAL,13,015,9452106,6248.3,6668.75,34.13,-84.92
BIOMASS,13,127,408862,115.57,526.28,31.18,-81.52
HYDRO,13,117,225594,,,34.16,-84.08
SOLAR,13,031,5852,,,32.38,-81.67
HYDRO,13,241,29356,,,34.79,-83.54
SOLAR,13,269,39461,,,32.58,-84.32
SOLAR,13,269,214076,,,32.56,-84.28
SOLAR,13,205,369798,,,31.27,-84.23
SOLAR,13,205,26097,,,31.18,-84.13
SOLAR,13,199,3167,,,32.96,-84.54
HYDRO,13,213,163064,,,34.61,-84.67
OTHF,13,233,0,,,34.04,-85.22
GAS,13,149,3176056,105.05,6.67,33.41,-85.04
BIOMASS,13,059,7627,0,1.48,33.93,-83.26
OIL,13,121,102,1.61,0.15,33.76,-84.4
SOLAR,13,073,2711,,,33.43,-82.2
SOLAR,13,073,4002,,,33.57,-82.3
SOLAR,13,195,3187,,,34.09,-83.14
SOLAR,13,023,5634,,,32.37,-83.37
SOLAR,13,087,15312,,,30.75,-84.68
GAS,13,321,0,0,0,31.84,-83.94
SOLAR,13,267,2247,,,32.04,-82.14
GAS,13,157,185211,36.43,0.73,34.04,-83.4
SOLAR,13,213,10548,,,34.72,-84.93
SOLAR,13,087,39742,,,30.97,-84.63
SOLAR,13,087,153607,,,30.99,-84.63
SOLAR,13,071,2608,,,31.3,-83.8
SOLAR,13,095,274446,,,31.51,-84.04
GAS,13,297,59408,21.26,0.22,33.84,-83.7
SOLAR,13,175,6251,,,32.58,-82.93
GAS,13,293,260895,53.25,0.95,32.91,-84.31
NUCLEAR,13,001,14165068,,,31.93,-82.34
GAS,13,103,2694606,80.63,5.82,32.28,-81.28
OIL,13,089,21.56,0.35,0.03,33.79,-84.28
OIL,13,089,8.82,0.34,0.03,33.7,-84.15
HYDRO,13,095,42447,,,31.6,-84.14
BIOMASS,13,193,458211.6,163.75,602.27,32.25,-84.07
SOLAR,13,053,48077,,,32.35,-84.97
SOLAR,13,245,56403,,,33.39,-82.14
SOLAR,13,179,47724,,,31.9,-81.6
SOLAR,13,049,4065,,,30.92,-81.96
SOLAR,13,119,6425,,,34.44,-83.1
SOLAR,13,261,2920,,,32.18,-84.15
BIOMASS,13,013,47700,0,7.85,33.96,-83.77
BIOMASS,13,255,37977,0,5.85,33.24,-84.12
BIOMASS,13,135,66084,0,12.07,34.13,-84.03
OIL,13,121,0,,,33.76,-84.39
SOLAR,13,099,2936,,,31.14,-85.03
SOLAR,13,107,5803,,,32.61,-82.32
SOLAR,13,163,1868,,,32.88,-82.41
BIOMASS,13,099,564283,390.79,1152.16,31.17,-85.1
HYDRO,13,245,1425,,,33.48,-81.98
BIOMASS,13,245,406770.01,169.45,440.93,33.33,-81.95
SOLAR,13,297,5541,,,33.84,-83.7
SOLAR,13,133,6321,,,33.63,-83.09
SOLAR,13,199,2057,,,33.05,-84.71
BIOMASS,13,119,367014,467.98,76.05,34.38,-83.33
BIOMASS,13,195,389992,480.3,78.05,34.04,-83.19
SOLAR,13,103,7454,,,32.41,-81.44
SOLAR,13,145,3483,,,32.8,-84.7
GAS,13,147,176676,64.73,0.68,34.34,-82.82
HYDRO,13,147,565059,,,34.36,-82.82
GAS,13,149,506940,135.24,1.73,33.36,-84.99
SOLAR,13,161,115032,,,31.82,-82.6
SOLAR,13,161,93070,,,31.83,-82.6
OIL,13,121,0,,,34.09,-84.27
SOLAR,13,089,0,,,33.67,-84.34
HYDRO,13,211,0,,,33.82,-83.5
SOLAR,13,051,1703,,,32.18,-81.17
GAS,13,051,44697,12.71,3.06,32.14,-81.15
OIL,13,121,,,,33.75,-84.39
BIOMASS,13,115,424880.9,212.77,540.85,34.25,-85.33
BIOMASS,13,051,606916,283.73,649.55,32.1,-81.12
BIOMASS,13,179,107080,47.51,106.67,31.74,-81.41
GAS,13,067,18235418,427.67,46.34,33.82,-84.48
BIOMASS,13,305,464189.82,167.88,628.77,31.66,-81.84
SOLAR,13,285,3786,,,33,-85.03
HYDRO,13,245,7867,,,33.49,-81.99
SOLAR,13,039,47450,,,30.83,-81.56
HYDRO,13,321,49924,,,31.85,-83.94
SOLAR,13,173,2683,,,31.03,-83.06
SOLAR,13,243,8350,,,31.77,-84.8
SOLAR,13,089,234,,,33.78,-84.27
SOLAR,13,043,97179,,,32.42,-82.1
HYDRO,13,159,76053,,,33.32,-83.84
SOLAR,13,185,2903,,,30.84,-83.23
SOLAR,13,185,4818,,,30.69,-83.17
SOLAR,13,095,55514,,,31.56,-84.09
GAS,13,121,47367,0,0.39,33.66,-84.39
SOLAR,13,273,3753,,,31.83,-84.39
GAS,13,103,27248,176.54,8.86,32.36,-81.17
GAS,13,103,8586543,191.95,18.15,32.35,-81.18
BIOMASS,13,095,6745,3,0.19,31.55,-84.07
OIL,13,127,-42,21.79,9.08,31.21,-81.55
SOLAR,13,199,6283,,,32.88,-84.64
GAS,13,153,165379,25.58,0.49,32.49,-83.6
SOLAR,13,185,94561,,,30.96,-83.22
HYDRO,13,121,46729,,,33.97,-84.38
SOLAR,13,297,1863,,,33.84,-83.64
GAS,13,297,18096,11.21,0.06,33.81,-83.7
BIOMASS,13,241,116694,234.8,21.2,34.95,-83.38
SOLAR,13,213,6278,,,34.77,-84.81
SOLAR,13,215,2550,,,32.49,-84.86
HYDRO,13,241,19620,,,34.75,-83.5
OIL,13,039,711,23.2,2.22,30.79,-81.53
HYDRO,13,215,133734,,,32.5,-85
HYDRO,13,291,50932,,,34.96,-84.09
SOLAR,13,205,120295,,,31.2,-84.15
SOLAR,13,275,2562,,,30.99,-84.07
SOLAR,13,165,39193,,,32.82,-81.98
HYDRO,13,215,209721,,,32.52,-85
SOLAR,13,269,64417,,,32.57,-84.26
BIOMASS,13,185,300023.01,118.61,313.19,30.69,-83.3
BIOMASS,13,185,31470,0,6.02,30.82,-83.36
BIOMASS,13,171,383789,199.54,62.25,33.05,-84.13
BIOMASS,13,127,25557.56,10.32,1.03,31.16,-81.48
SOLAR,13,297,4404,,,33.74,-83.7
SOLAR,13,233,4303,,,34.02,-85.28
BIOMASS,13,051,455695,386.85,1078.73,32.16,-81.16
SOLAR,13,237,5472,,,33.32,-83.39
SOLAR,13,237,,,,33.28,-83.3
SOLAR,13,027,92384,,,30.86,-83.65
SOLAR,13,027,335033,,,30.85,-83.64
HYDRO,13,105,596355,,,34.03,-82.6
SOLAR,13,259,1684,,,32.09,-84.66
SOLAR,13,289,38651,,,32.64,-83.38
SOLAR,13,245,3118,,,33.36,-82.02
SOLAR,13,103,30566,,,32.29,-81.28
OIL,13,067,,,,33.88,-84.46
BIOMASS,13,021,436264.74,176.52,419.65,32.77,-83.63
GAS,13,153,7391,44.13,4.85,32.58,-83.58
SOLAR,13,021,204511,,,32.68,-83.62
HYDRO,13,115,-390330,,,34.36,-85.3
OIL,13,103,148477,70.16,79.51,32.33,-81.2
COAL,13,207,8339312,5389.35,795.39,33.06,-83.81
SOLAR,13,253,1303,,,31.07,-84.93
GAS,13,233,368341,156.31,1.26,33.95,-85.28
SOLAR,13,033,4119,,,33.11,-81.98
OIL,13,121,0,,,33.81,-84.39
HYDRO,13,245,11180,,,33.49,-81.99
SOLAR,13,297,50732,,,33.68,-83.68
HYDRO,13,009,130017,,,33.14,-83.2
GAS,13,207,153629,40.97,0.6,32.98,-83.85
SOLAR,13,161,211033,,,31.72,-82.75
SOLAR,13,067,2240,,,33.98,-84.56
SOLAR,13,127,28123,,,31.25,-81.43
BIOMASS,13,215,0,,,32.41,-84.98
OIL,13,185,0,,,30.86,-83.29
GAS,13,205,63232,30.33,0.19,31.39,-84.08
SOLAR,13,099,1110,,,31.4,-84.84
SOLAR,13,099,220875,,,31.42,-84.83
SOLAR,13,161,34942,,,31.81,-82.58
SOLAR,13,259,5917,,,32.03,-84.73
SOLAR,13,071,47279,,,31.07,-83.6
SOLAR,13,153,6730,,,32.4,-83.76
SOLAR,13,161,12215,,,31.71,-82.72
SOLAR,13,273,176706,,,31.87,-84.36
OIL,13,121,0,,,34.09,-84.25
HYDRO,13,073,87081,,,33.56,-82.05
OIL,13,121,38,0.13,0.01,33.76,-84.39
BIOMASS,13,051,47415,0,9.85,32.03,-81.27
GAS,13,263,288185,56.26,1.09,32.59,-84.69
HYDRO,13,059,7920,,,33.99,-83.5
HYDRO,13,137,179950,,,34.74,-83.4
BIOMASS,13,269,25894,0,5.36,32.45,-84.39
SOLAR,13,269,268978,,,32.58,-84.3
GAS,13,121,1786,0.03,0,33.78,-84.39
SOLAR,13,271,4189,,,32.06,-82.87
GAS,13,149,101466,22.63,0.43,33.35,-85
SOLAR,13,273,3502,,,31.79,-84.45
HYDRO,13,241,47663,,,34.77,-83.42
GAS,13,213,7983357,281.34,17.74,34.71,-84.92
SOLAR,13,237,1735,,,33.31,-83.39
SOLAR,13,145,4308,,,32.9,-84.85
SOLAR,13,285,3056,,,32.9,-84.9
HYDRO,13,137,135740,,,34.71,-83.35
SOLAR,13,289,444275,,,32.6,-83.49
SOLAR,13,293,1177,,,32.92,-84.34
SOLAR,13,185,1086,,,30.81,-83.23
SOLAR,13,185,1884,,,30.9,-83.3
OIL,13,185,0,,,30.91,-83.25
SOLAR,13,185,2233,,,31.05,-83.39
NUCLEAR,13,033,19786908,,,33.14,-81.76
HYDRO,13,141,52816,,,33.35,-83.16
HYDRO,13,061,535945,,,31.62,-85.07
OIL,13,087,667,1.47,1.36,30.91,-84.55
GAS,13,297,427731,115.87,1.33,33.81,-83.7
COAL,13,149,1114891,565.04,920.98,33.41,-85.03
GAS,13,149,2982211,123.06,6.42,33.41,-85.04
GAS,13,149,7730334,234.2,16.03,33.41,-85.04
SOLAR,13,299,5927,,,31.2,-82.32
SOLAR,13,299,4073,,,31.2,-82.32
GAS,13,303,125459,35,0.51,33.09,-82.98
SOLAR,13,033,4504,,,33.17,-81.82
HYDRO,13,285,240086,,,32.92,-85.19
SOLAR,13,305,5437,,,31.6,-81.93
OFSL,13,175,216008,104.24,6.44,32.5,-82.84
SOLAR,13,033,144098,,,33.04,-82.11
SOLAR,13,269,193952,,,32.51,-84.26
SOLAR,13,319,4538,,,32.88,-83.32
SOLAR,13,319,6136,,,32.88,-83.3
GAS,13,077,1263668,523.6,4.51,33.46,-84.9
OIL,13,021,0,,,32.81,-83.55
HYDRO,13,257,63046,,,34.68,-83.34
COAL,15,003,1107052,1563.54,2893.92,21.3,-158.11
SOLAR,15,007,22008,,,22,-159.76
SOLAR,15,007,38993,,,21.91,-159.49
SOLAR,15,003,8688,,,21.41,-158.15
WIND,15,009,97342,,,20.6,-156.32
BIOMASS,15,007,48589,54.1,9.33,21.97,-159.46
SOLAR,15,003,357,,,21.64,-157.93
OIL,15,003,95062,717.25,244.37,21.3,-158.1
SOLAR,15,003,61221,,,21.45,-158.19
HYDRO,15,007,45624,,,21.92,-159.63
BIOMASS,15,003,363857,867.51,51.55,21.3,-158.1
OIL,15,001,221052,600.95,182.91,20.09,-155.47
OIL,15,009,122,2.24,0.2,20.77,-156
OIL,15,003,1938,4.31,1.24,21.31,-158.11
WIND,15,001,0,,,20.26,-155.85
BIOMASS,15,003,1672,25.73,0.05,21.34,-157.92
OIL,15,003,2116379,3335.59,10024.1,21.36,-158.13
WIND,15,009,110297,,,20.81,-156.55
WIND,15,009,58192,,,20.79,-156.54
HYDRO,15,009,629,,,20.89,-156.36
WIND,15,003,44205,,,21.68,-157.98
OIL,15,009,132670,316.19,876.65,20.9,-156.46
OIL,15,003,1187235,4384.71,3884.26,21.3,-158.1
SOLAR,15,003,7319,,,21.33,-158.04
SOLAR,15,003,10084,,,21.32,-158.09
HYDRO,15,007,5002,,,21.94,-159.53
OIL,15,001,1996,31.92,8.2,19.71,-155.06
SOLAR,15,007,1735,,,22.08,-159.33
OIL,15,007,146477,509.87,159.22,22,-159.38
SOLAR,15,003,1648,,,21.32,-158.12
SOLAR,15,003,78194,,,21.62,-158.06
WIND,15,003,129102,,,21.61,-158.04
OIL,15,001,278780,1261.89,438,19.73,-156.03
SOLAR,15,009,6536,,,20.79,-156.43
SOLAR,15,007,22162,,,22,-159.38
SOLAR,15,007,21460,,,22.13,-159.3
SOLAR,15,007,20561,,,21.9,-159.45
SOLAR,15,009,6102,,,20.89,-156.66
SOLAR,15,009,,,,20.77,-156.92
SOLAR,15,003,28122,,,21.43,-158.02
OIL,15,009,620269,4240.1,884.22,20.8,-156.49
SOLAR,15,003,1797,,,21.68,-157.98
OIL,15,009,35632,596.09,52.7,20.79,-156.93
WIND,15,003,97803,,,21.67,-157.97
HYDRO,15,009,,,,20.89,-156.34
WIND,15,001,120760,,,18.97,-155.69
OIL,15,009,31797,525.19,46.49,21.11,-157.06
SOLAR,15,003,1559,,,21.38,-157.97
OIL,15,007,37418,594.22,53.46,21.9,-159.59
SOLAR,15,007,12338,,,21.9,-159.58
OIL,15,001,80744,327.6,330.89,19.63,-155.03
GEOTHERMAL,15,001,183391,0.25,0.05,19.48,-154.89
HYDRO,15,001,9044,,,19.73,-155.09
BIOMASS,15,003,22654,331.38,0.66,21.48,-158.06
OIL,15,003,154152,293.19,82.95,21.3,-158.09
OIL,15,001,142640,306.34,849.36,19.7,-155.06
OIL,15,003,891617,1343.97,4256.45,21.39,-157.96
HYDRO,15,001,0,,,19.72,-155.12
SOLAR,15,003,8271,,,21.47,-158.01
SOLAR,15,003,2874,,,21.47,-158.02
HYDRO,15,001,34084,,,19.71,-155.15
OIL,15,001,1320,22.89,2.03,20.03,-155.7
HYDRO,15,007,20588,,,22.2,-159.56
SOLAR,15,003,24826,,,21.36,-157.99
SOLAR,15,003,79392,,,21.46,-157.98
SOLAR,15,003,37156,,,21.34,-158.02
WIND,19,001,494430,,,41.42,-94.67
WIND,19,003,392172,,,40.92,-94.67
BIOMASS,19,163,4065,6.18,0.08,41.69,-90.87
OIL,19,109,1208,17.33,1.67,43.07,-94.24
WIND,19,143,960,,,43.4,-95.63
OIL,19,113,0,,,42.02,-91.7
OIL,19,095,0,,,41.8,-92.06
OIL,19,113,31.36,0.75,0.07,42.03,-91.6
OIL,19,113,191,4.64,0.43,42.04,-91.65
OIL,19,127,59.78,1.45,0.13,42.06,-92.9
OIL,19,005,90.16,2.21,0.2,43.09,-91.55
OIL,19,113,135.68,2.27,0.22,41.94,-91.64
OIL,19,061,19.6,0.48,0.04,42.49,-90.75
OIL,19,089,18.62,0.44,0.04,43.37,-92.13
OIL,19,061,38.22,0.92,0.08,42.53,-90.68
OIL,19,113,1.96,0.04,0,42.03,-91.7
OIL,19,113,13.72,0.35,0.03,41.92,-91.65
OIL,19,197,2.94,0.09,0.01,42.84,-93.6
OIL,19,113,14.7,0.36,0.03,41.97,-91.67
GAS,19,113,34.3,0.46,0,42.03,-91.71
OIL,19,021,159,2.46,0.22,42.67,-95.3
OIL,19,095,2082,34.12,2.95,41.79,-91.89
GAS,19,169,257446,257.56,29.37,42.03,-93.61
WIND,19,031,14787,,,41.85,-91.23
OIL,19,153,5,0.08,0.01,41.6,-93.58
OIL,19,029,148,2.5,0.22,41.44,-94.77
WIND,19,001,1120900,,,41.4,-94.26
COAL,19,113,941677,265.82,412.64,41.92,-91.69
COAL,19,045,734505,284.63,926.52,41.82,-90.21
COAL,19,153,21312,17.61,34.51,41.62,-93.58
GAS,19,029,157,0.34,0,41.41,-95
WIND,19,173,5683,,,40.76,-94.48
OIL,19,109,5,1.68,0.15,43.29,-94.22
WIND,19,195,332644,,,43.39,-93.09
WIND,19,015,1280869,,,42.11,-94.16
OIL,19,097,122,1.99,0.18,42.25,-90.42
WIND,19,173,6608,,,40.77,-94.47
GAS,19,051,180,3.25,0.29,40.7,-92.43
SOLAR,19,051,2666,,,40.75,-92.45
OIL,19,157,10,0.16,0.02,41.73,-92.45
WIND,19,131,5108,,,43.39,-92.76
WIND,19,001,4400,,,41.23,-94.44
COAL,19,057,1055702,827.67,2821.42,40.74,-91.12
GAS,19,135,111765.48,14.86,1,41.14,-92.65
WIND,19,027,80723,,,41.94,-94.89
WIND,19,027,545276,,,42.16,-94.93
OIL,19,061,76,1.28,0.11,42.3,-91.01
WIND,19,007,1160,,,40.7,-92.85
WIND,19,033,29018,,,43.14,-93.1
SOLAR,19,013,2483,,,42.48,-92.46
WIND,19,079,570380,,,42.56,-93.64
WIND,19,033,168609,,,43.06,-93.45
WIND,19,067,254715,,,43,-92.62
OIL,19,113,132,1.96,0.19,42.28,-91.53
WIND,19,173,278686,,,40.67,-94.83
OIL,19,027,739,11.62,1.05,41.87,-94.68
GAS,19,103,3220,9.98,0.11,41.67,-91.56
OIL,19,003,50,2.48,0.22,40.99,-94.74
WIND,19,089,227926,,,43.4,-92.47
WIND,19,147,68679,,,43.05,-94.92
WIND,19,189,181174,,,43.32,-93.88
WIND,19,001,4545,,,41.23,-94.43
BIOMASS,19,163,7729,98.34,0.15,41.49,-90.63
OIL,19,187,17,0.17,0.02,42.26,-94.07
OIL,19,169,929,0.68,0.12,42.03,-93.58
OTHF,19,191,,,,43.32,-91.79
BIOMASS,19,153,135.24,0,0,41.57,-93.56
WIND,19,095,807936,,,41.67,-92.16
OIL,19,075,311,4.99,0.44,42.46,-92.63
OIL,19,001,75,1.58,0.15,41.3,-94.46
OIL,19,031,46.06,0.73,0.07,41.6,-90.91
GAS,19,041,10275,10.8,0.68,43.16,-95.26
OIL,19,055,22,0.27,0.03,42.49,-91.27
SOLAR,19,139,2960,,,41.6,-91.04
WIND,19,077,680924,,,41.55,-94.69
GAS,19,013,8847,23.23,0.52,42.44,-92.42
WIND,19,055,133953,,,42.58,-91.37
GAS,19,033,1944548,82.55,4.53,43.09,-93.29
WIND,19,157,584261,,,41.57,-92.41
GAS,19,063,390,4.67,0.43,43.4,-94.84
GAS,19,009,123414,67.95,4.37,41.51,-94.92
OIL,19,103,364,4.38,0.42,41.57,-91.74
WIND,19,059,69512,,,43.39,-95.3
WIND,19,001,5532,,,41.34,-94.57
OIL,19,189,313,5.19,0.49,43.26,-93.64
SOLAR,19,189,5443,,,43.28,-93.63
WIND,19,081,684718,,,43.27,-93.8
WIND,19,081,524454,,,43.21,-93.83
WIND,19,169,553834,,,42.1,-93.27
WIND,19,069,206153,,,42.61,-93.34
WIND,19,083,370724,,,42.22,-93.37
GAS,19,013,245,2.5,0.03,42.51,-92.48
COAL,19,193,1702451,1963.43,3328.24,42.3,-96.36
COAL,19,193,1448006,1242.63,2279.72,42.3,-96.36
OIL,19,001,15,0.33,0.03,41.5,-94.33
WIND,19,035,867356,,,42.86,-95.77
WIND,19,189,738911,,,43.43,-94.02
OIL,19,187,86,1.48,0.13,42.28,-94.29
OIL,19,147,28,0.48,0.04,43.24,-94.75
OIL,19,073,20,0.4,0.04,42.03,-94.37
GAS,19,153,1361516,49.77,3.02,41.56,-93.53
WIND,19,029,6855,,,41.37,-94.75
WIND,19,001,4944,,,41.29,-94.49
OIL,19,075,846,9.47,0.86,42.36,-92.77
WIND,19,081,240914,,,43.05,-93.63
WIND,19,073,42911,,,42.08,-94.37
OIL,19,165,6,0.12,0.01,41.64,-95.32
WIND,19,033,168608,,,43.05,-93.48
WIND,19,017,130700,,,42.95,-92.06
WIND,19,009,417895,,,41.71,-94.8
WIND,19,141,1607171,,,43.08,-95.66
OIL,19,055,133,2.25,0.2,42.34,-91.25
SOLAR,19,169,3133,,,42,-93.62
WIND,19,093,796562,,,42.33,-95.46
WIND,19,093,1116489,,,42.36,-95.42
WIND,19,055,20673,,,42.43,-91.57
OIL,19,181,165,5.25,1.83,41.36,-93.56
WIND,19,021,527179,,,42.55,-95.33
WIND,19,109,4739,,,43.03,-94.14
HYDRO,19,097,6157,,,42.07,-90.7
WIND,19,063,3422,,,43.39,-94.82
WIND,19,059,35726,,,43.45,-94.98
COAL,19,169,99846,16.59,56.14,42.03,-93.64
WIND,19,075,322091,,,42.33,-92.95
OIL,19,061,140,2.37,0.21,42.57,-90.69
WIND,19,073,24328,,,42.1,-94.27
HYDRO,19,111,923378,,,40.4,-91.37
WIND,19,113,1584,,,41.92,-91.65
OTHF,19,125,-63,,,41.32,-93.06
OIL,19,125,289,5.6,0.5,41.32,-93.06
WIND,19,109,549762,,,42.99,-94.13
OIL,19,013,307,4.79,0.46,42.32,-92.19
OIL,19,189,77,5.13,0.48,43.42,-93.53
BIOMASS,19,189,13205,0,2.67,43.39,-93.56
OIL,19,059,360,2.73,0.25,43.43,-95.32
WIND,19,109,34151,,,43.38,-94.15
OIL,19,053,124,2.16,0.2,40.62,-93.93
COAL,19,005,608124,154.07,192.5,43.34,-91.17
WIND,19,127,360530,,,41.88,-92.93
OIL,19,151,874,13.07,1.19,42.85,-94.85
OIL,19,173,261,7.08,0.68,40.88,-94.56
WIND,19,083,11287,,,42.5,-93.37
OIL,19,033,680,4.14,0.04,43.25,-93.21
WIND,19,059,301705,,,43.35,-95.32
COAL,19,115,4353143,3699.85,6722.41,41.32,-91.09
WIND,19,187,824480,,,42.33,-94.17
WIND,19,191,2431,,,43.33,-91.81
WIND,19,121,306103,,,41.21,-94.1
OIL,19,027,781,12.96,1.17,41.91,-95.03
GAS,19,097,-515,89.22,7.94,42.04,-90.67
OIL,19,097,-177,0,0,42.07,-90.66
GAS,19,127,88139,145.54,0.34,42.05,-92.86
GAS,19,127,1921675,50.64,4.29,42.04,-92.87
OIL,19,043,12,8.85,0.8,43.02,-91.17
WIND,19,001,4359,,,41.39,-94.45
GAS,19,067,983,2.9,0.03,43.06,-92.69
BIOMASS,19,153,87461,0,16.9,41.6,-93.36
WIND,19,169,10887,,,41.88,-93.62
WIND,19,169,10887,,,42.02,-93.51
WIND,19,015,10849,,,41.98,-93.7
OIL,19,059,553,8.66,0.84,43.33,-95.15
GAS,19,157,207,3.71,0.22,41.59,-92.52
WIND,19,001,323577,,,41.45,-94.58
OIL,19,087,1082,15.79,1.4,40.97,-91.55
COAL,19,139,976297,1022.56,619.35,41.39,-91.06
GAS,19,169,14047.16,11.3,0.17,42.05,-93.58
GAS,19,037,2453,37.43,3.22,43.07,-92.32
WIND,19,047,257209,,,42.16,-95.44
WIND,19,087,5077,,,40.96,-91.39
WIND,19,157,1267122,,,41.64,-92.5
OIL,19,001,125,1.97,0.18,41.32,-94.46
WIND,19,195,149567,,,43.38,-93.42
WIND,19,195,106826,,,43.36,-93.3
GAS,19,103,318.5,27.33,0.03,41.71,-91.6
WIND,19,141,821996,,,43.2,-95.62
OIL,19,015,233,3.76,0.34,42.04,-94.05
WIND,19,169,9078,,,42.02,-93.51
WIND,19,169,10849,,,42.02,-93.52
WIND,19,169,9977,,,42.01,-93.52
WIND,19,169,10293,,,42.01,-93.52
WIND,19,169,10849,,,42.03,-93.43
WIND,19,001,1848469,,,41.2,-94.42
WIND,19,131,5200,8.26,0.08,43.28,-92.81
WIND,19,143,183905,,,43.43,-95.42
WIND,19,143,367556,,,43.43,-95.42
GAS,19,143,42594,33.53,0.37,43.28,-95.81
