Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
Midwest,IN,Wabash River Highland Plant,57842,1,Wabash River Highland Plant 1,Vigo County,52788.15
Central,TX,Antelope Elk Energy Center,57865,1,Antelope Elk Energy Center 1,Hale County,28061.22
Central,TX,Antelope Elk Energy Center,57865,2,Antelope Elk Energy Center 2,Hale County,40722.46
Central,TX,Antelope Elk Energy Center,57865,3,Antelope Elk Energy Center 3,Hale County,33929.9
Central,ND,Pioneer Generating Station,57881,CT1,Pioneer Generating Station CT1,Williams County,36322.57
Central,ND,Pioneer Generating Station,57881,CT2,Pioneer Generating Station CT2,Williams County,43046.48
Central,ND,Pioneer Generating Station,57881,CT3,Pioneer Generating Station CT3,Williams County,61945.75
Central,ND,Lonesome Creek Station,57943,CT1,Lonesome Creek Station CT1,McKenzie County,31273.95
Central,ND,Lonesome Creek Station,57943,CT2,Lonesome Creek Station CT2,McKenzie County,99372.39
Central,ND,Lonesome Creek Station,57943,CT3,Lonesome Creek Station CT3,McKenzie County,104684.43
Central,ND,Lonesome Creek Station,57943,CT4,Lonesome Creek Station CT4,McKenzie County,57865.25
Central,ND,Lonesome Creek Station,57943,CT5,Lonesome Creek Station CT5,McKenzie County,60456.75
Central,ND,Lonesome Creek Station,57943,CT6,Lonesome Creek Station CT6,McKenzie County,0
California,CA,Lodi Energy Center,57978,CT1,Lodi Energy Center CT1,San Joaquin County,486254.63
Texas,TX,Panda Temple Power Station,58001,CTG1,Panda Temple Power Station CTG1,Bell County,842151.03
Texas,TX,Panda Temple Power Station,58001,CTG2,Panda Temple Power Station CTG2,Bell County,542104.22
Texas,TX,Panda Temple Power Station,58001,CTG3,Panda Temple Power Station CTG3,Bell County,1001618.25
Texas,TX,Panda Temple Power Station,58001,CTG4,Panda Temple Power Station CTG4,Bell County,1048939.77
Texas,TX,Panda Sherman Power Station,58005,CTG1,Panda Sherman Power Station CTG1,Grayson County,1508064.19
Texas,TX,Panda Sherman Power Station,58005,CTG2,Panda Sherman Power Station CTG2,Grayson County,1489958.85
New England,NH,Burgess BioPower,58054,ST01,Burgess BioPower ST01,Coos County,548734
