"MOVESRunID";"iterationID";"yearID";"monthID";"dayID";"hourID";"stateID";"countyID";"zoneID";"linkID";"sourceTypeID";"regClassID";"fuelTypeID";"fuelSubTypeID";"modelYearID";"roadTypeID";"SCC";"engTechID";"sectorID";"hpID";"activityTypeID";"activity";"activityMean";"activitySigma"
1;1;2022;0;0;0;1;1001;0;0;0;0;0;0;0;1;"NOTHING";0;0;0;6;53011.8;0.0;0.0
1;1;2022;0;0;0;1;1001;0;0;0;0;0;0;0;2;"NOTHING";0;0;0;1;186245000.0;0.0;0.0
1;1;2022;0;0;0;1;1001;0;0;0;0;0;0;0;4;"NOTHING";0;0;0;1;26901300.0;0.0;0.0
1;1;2022;0;0;0;1;1001;0;0;0;0;0;0;0;3;"NOTHING";0;0;0;1;208023000.0;0.0;0.0
1;1;2022;0;0;0;1;1001;0;0;0;0;0;0;0;5;"NOTHING";0;0;0;1;200359000.0;0.0;0.0
1;1;2022;0;0;0;1;1003;0;0;0;0;0;0;0;1;"NOTHING";0;0;0;6;262781.0;0.0;0.0
1;1;2022;0;0;0;1;1003;0;0;0;0;0;0;0;2;"NOTHING";0;0;0;1;554820000.0;0.0;0.0
1;1;2022;0;0;0;1;1003;0;0;0;0;0;0;0;3;"NOTHING";0;0;0;1;795317000.0;0.0;0.0
1;1;2022;0;0;0;1;1003;0;0;0;0;0;0;0;4;"NOTHING";0;0;0;1;162691000.0;0.0;0.0
1;1;2022;0;0;0;1;1003;0;0;0;0;0;0;0;5;"NOTHING";0;0;0;1;1564290000.0;0.0;0.0
1;1;2022;0;0;0;1;1005;0;0;0;0;0;0;0;1;"NOTHING";0;0;0;6;28123.0;0.0;0.0
1;1;2022;0;0;0;1;1005;0;0;0;0;0;0;0;2;"NOTHING";0;0;0;1;0.0;0.0;0.0
1;1;2022;0;0;0;1;1005;0;0;0;0;0;0;0;3;"NOTHING";0;0;0;1;187542000.0;0.0;0.0
1;1;2022;0;0;0;1;1005;0;0;0;0;0;0;0;4;"NOTHING";0;0;0;1;0.0;0.0;0.0
1;1;2022;0;0;0;1;1005;0;0;0;0;0;0;0;5;"NOTHING";0;0;0;1;142251000.0;0.0;0.0
1;1;2022;0;0;0;1;1007;0;0;0;0;0;0;0;1;"NOTHING";0;0;0;6;23558.2;0.0;0.0
1;1;2022;0;0;0;1;1007;0;0;0;0;0;0;0;2;"NOTHING";0;0;0;1;0.0;0.0;0.0
1;1;2022;0;0;0;1;1007;0;0;0;0;0;0;0;3;"NOTHING";0;0;0;1;233442000.0;0.0;0.0
1;1;2022;0;0;0;1;1007;0;0;0;0;0;0;0;4;"NOTHING";0;0;0;1;0.0;0.0;0.0
1;1;2022;0;0;0;1;1007;0;0;0;0;0;0;0;5;"NOTHING";0;0;0;1;43399400.0;0.0;0.0
1;1;2022;0;0;0;1;1009;0;0;0;0;0;0;0;1;"NOTHING";0;0;0;6;52859.3;0.0;0.0
