Source,full name,api key,units,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2021-2050)
Coal,Electricity: Electric Power Sector: Power Only: Coal: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_CL_NA_USA_BLNKWH.A,BkWh,937.80658,889.743164,815.415771,679.997498,627.503601,611.130554,561.452209,569.431946,550.335693,537.154053,522.296875,508.00354,502.849182,472.318909,453.70343,437.665009,427.187134,419.873932,417.682739,390.147827,383.164978,379.178802,362.56424,353.514923,346.576721,331.772552,325.132446,308.418762,305.962036,305.171417,-3.80%
Petroleum,Electricity: Electric Power Sector: Power Only: Petroleum: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_PET_NA_USA_BLNKWH.A,BkWh,10.326221,9.944111,9.798476,9.179434,8.855042,8.422416,7.800905,7.561117,7.382942,7.217584,6.906219,6.792127,6.741287,6.564653,6.425969,6.30785,6.126487,5.925416,5.835818,5.632167,5.322686,5.017827,4.666056,4.324454,4.00283,3.975213,3.948078,3.875585,3.886336,3.888499,-3.30%
Natural Gas,Electricity: Electric Power Sector: Power Only: Natural Gas: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_NG_NA_USA_BLNKWH.A,BkWh,1324.82019,1297.911255,1393.563599,1483.588257,1528.731323,1548.92981,1606.153564,1710.905884,1705.382202,1704.859619,1721.312744,1758.144897,1902.361694,1921.21167,1916.367188,1924.21521,1946.46167,1978.651489,2024.145996,2062.50415,2091.969238,2118.723633,2156.405518,2179.656494,2200.391113,2246.901123,2280.462891,2328.203369,2358.870605,2393.370117,2.10%
Nuclear Power,Electricity: Electric Power Sector: Power Only: Nuclear: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_NUP_NA_USA_BLNKWH.A,BkWh,777.68219,783.615601,785.479858,788.973083,781.776001,773.335205,759.403198,640.360168,640.784424,624.541382,618.517273,589.042786,455.503143,456.197693,457.602722,458.647278,458.857941,459.068604,441.104919,441.449829,442.701416,443.607452,437.044312,437.784119,433.573364,414.35376,414.779297,415.044617,415.365723,415.829346,-2.10%
Renewable Sources,Electricity: Electric Power Sector: Power Only: Renewable Sources: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_RNWBSRC_NA_USA_BLNKWH.A,BkWh,783.764404,870.007935,950.236145,1031.047729,1094.17395,1128.77771,1157.406006,1186.07605,1237.753784,1290.719238,1319.638062,1350.488892,1369.826416,1404.55481,1461.239014,1503.234375,1528.686646,1542.446045,1554.759521,1576.657959,1597.690918,1617.937378,1647.065186,1678.362305,1712.812622,1746.867432,1773.79834,1788.032715,1804.640991,1824.233032,3.00%
Total,Electricity: Electric Power Sector: Power Only: Total: High oil and gas supply,AEO.2022.HIGHOGS.GEN_NA_ELEP_POW_TOT_NA_USA_BLNKWH.A,BkWh,3835.506592,3852.046875,3955.47583,3993.816895,4042.083496,4071.647217,4093.2771,4115.41748,4142.606445,4165.630859,4189.610352,4213.934082,4239.097656,4262.933105,4298.08252,4333.283691,4371.273926,4410.555176,4448.728516,4482.121094,4527.23877,4571.469238,4615.348145,4661.755371,4705.874512,4752.491699,4807.324707,4853.274414,4899.036133,4953.547363,0.90%
