gea,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
CAMXc,2028,304785100,4008459.5,2922806.5,2413906,314130270.7,293830335.6,218147666.7,101058630,35223172,0.0359,0.0539,0.182,88632.13,73359.2,0.79,0.74,81.6,1.5,0.15,11.1,429,0.05,81.6,23.9,105.6,126.9,5.8,0.77,13.4,557.9,0.08,127.3,30,157.4,166.4,3.6,0.39,19.2,854.7,0.07,166.6,44.7,211.3,588.4,36.2,5,47,2264.6,0.29,590.8,114.6,705.4,20150825.2,379.8,38,2745885.8,106000,13.3,20172516.7,5908310.5,26080827.2,0,30.99,18.47,0,49.46,32.98,20.38,0,53.36,247624580,95982600,3400657.5,5398441.5,0,0,0,0,1921751.4,23712306,52634228,0,222853.4,39064520,30768068,17792458,1964.1,2358776.5,0,53785012,14911994,1651540.8,3272.7,835.4,0,0,0,917.8,14794.7,19788.5,0,10662.1,5245.8,10972.2,2240,883,4067.4,0,20639,600,6541.1,11687.6,40673.7,0,0
CAMXc,2030,312895420,8090849,10379525,2990190.1,334356001.9,301649194.4,188162031.1,111621940,47961370,0.0359,0.0539,0.182,87023.18,76130.8,0.88,0.84,46.6,0.9,0.09,6.3,244.6,0.02,46.7,13.6,60.2,78.3,3.9,0.53,7.9,333.2,0.04,78.5,17.8,96.4,103,2.3,0.25,11.8,526.3,0.05,103.2,27.5,130.7,557.1,36.1,5.01,43.2,2092,0.28,559.5,105.6,665.1,12561501.2,236.8,23.7,1685863.6,65918.3,6.4,12575025.7,3651975.6,16227001.3,0,28.87,17.51,7.43,53.81,31.15,20.03,7.87,59.05,269950000,146193970,6889981.5,5155610.5,0,0,0,0,1907317.2,25574556,32858300,0,246875.6,39357400,30897296,0,2366.7,8348209,0,93881100,18053364,6777629,5342.5,812.4,0,0,0,917.8,16082.8,19755.9,0,10641.8,5285.1,11207.8,0,592.9,7603.9,0,35532.8,2000,7593.5,19966.6,76038.9,0,0
CAMXc,2035,337455680,13679126,12944576,3006560.7,367085939.4,325326754.1,192713347,115534770,48678468,0.0359,0.0539,0.182,98924.62,84600.9,0.9,0.93,37.1,0.7,0.07,4.7,194.5,0.02,37.2,10.5,47.6,36.1,1.7,0.23,3.6,156.1,0.02,36.2,8.2,44.4,41.5,1.1,0.12,4.7,208,0.02,41.6,10.9,52.4,529.7,32.8,4.52,42.5,2044.6,0.26,531.9,103.5,635.4,11096894.9,209.2,20.9,1391618.6,58118,5.2,11108840.8,3124955.2,14233796,0,27.45,19.92,3.44,50.81,29.74,23.24,3.66,56.64,299416350,174372590,11602200,2351280,0,0,0,0,1906280.4,28300524,29037548,0,291224.2,40088516,31357500,0,1291.7,10314206,0,102134340,17855362,24176094,9153.6,435.9,0,0,0,917.8,18201.8,19646,0,11347.1,5383.4,11409.2,0,592.9,10380,0,39581.6,6000,6947.2,34006.9,103800.5,0,0
CAMXc,2040,368567840,21179904,22350414,3270367.4,415368515.1,355320710.3,179133921.5,113847540,66178950,0.0359,0.0539,0.182,95505.88,94812.9,0.94,0.96,22.5,0.4,0.04,2.8,117.8,0.01,22.5,6.3,28.9,21.3,1,0.14,2.1,91.9,0.01,21.4,4.8,26.2,18.5,0.4,0.05,2.1,93.9,0.01,18.5,4.9,23.4,490.2,31.9,4.43,38.4,1838.9,0.25,492.4,93.3,585.7,8220531.3,155,15.5,1026757.3,43046.2,3.8,8229382.5,2310580.1,10539962.6,0,23.77,18.33,0,42.1,26.08,22.16,0,48.24,366910370,236234600,17995914,1662677.6,0,0,0,0,1898418,29116496,21380252,0,341575.5,40790016,30529148,0,1854.7,17974348,0,118892070,18705422,67622184,13478,366.9,0,0,0,917.8,19274.9,19646,0,10998.6,5481.8,11598.9,0,147.5,14492.7,0,46540.2,16000,6868.2,51706.6,144927.5,0,0
CAMXc,2045,401217700,24406720,33044740,3929540.6,462598679.8,386797015.6,158365932.2,114945260,101184740,0.0359,0.0539,0.182,97973.96,104451.4,0.96,1,15.2,0.3,0.03,1.9,79.9,0.01,15.3,4.3,19.6,0,0,0,0,0,0,0,0,0,6.8,0.2,0.02,0.8,34.7,0,6.9,1.8,8.7,444.8,30,4.19,33.8,1633.8,0.23,446.8,82.6,529.4,6790569.8,128,12.8,852566.2,35559.3,3.2,6797884.3,1913105.9,8710990.2,0,20.22,18.26,0,38.47,22.6,22.57,0,45.17,448132030,304232740,20728850,1499810,0,0,0,0,0,31639044,17517230,0,406900.8,49034420,28109468,0,2916.4,26599690,0,142760940,23542046,106290710,14871.4,366.9,0,0,0,0,21536.4,18961.6,0,9813.3,6608.1,11803.1,0,144.7,17144.2,0,54886.5,25000,7738.4,58281.9,171442,0,0
CAMXc,2050,435302460,30899316,49528690,4149362.1,519879816,419656614.3,172330679.8,122411070,106253570,0.0359,0.0539,0.182,92955.81,113882.4,0.96,1,15.1,0.3,0.03,1.9,79.1,0.01,15.1,4.2,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.9,21.7,2.99,29.4,1385,0.19,357.4,70.7,428,7508424.1,141.6,14.2,932341.5,39306.1,3.5,7516511.9,2104613.3,9621125.2,0,17.43,16.74,0,34.17,20.34,21.42,0,41.76,503064480,347549150,26256104,1355761,0,0,0,0,0,34454810,19458006,0,455075.8,41836776,26312546,0,3216.2,39837820,0,180375070,28064980,104654290,16590.9,366.9,0,0,0,0,24470,18321.9,0,9444.1,5691.3,11992.8,0,144.7,20888.2,0,67450.4,25000,9462.3,72087.1,208882.2,0,0
ERCTc,2024,386808600,1727927.6,9725.4,5327459.8,393873713.5,372903920.7,208720830.2,239118900,246034850,0.0359,0.0539,0.1375,40632.16,90496,0.56,0.56,250.3,16,2.23,20.4,937.7,0.15,251.4,48.4,299.8,265.5,17,2.38,21.6,993.2,0.16,266.7,51.2,317.9,297.6,9,1.11,32.4,1428.2,0.15,298.2,75,373.2,601,42.1,6.03,45.3,2037.9,0.39,603.9,106.2,710.1,99592417.2,6369.3,888,8127282.8,373286.3,58.3,100024657.3,19267139.3,119291796.5,0,25.24,8.3,0,33.53,26.88,9.05,0,35.94,400805100,185152880,1476034.6,594046.4,0,0,45816690,0,0,2379961.5,123248500,0,3283072.8,0,604019,38162384,2459560.8,7884.7,0,65181684,117591250,0,1580.1,110.6,0,14766.6,0,0,1585.5,35583.9,0,7945.7,0,562.7,4980,9933.3,5,0,27106.6,0,32600.7,3160.2,50,0,0
ERCTc,2026,395212860,1690421.6,9807.5,5264231.5,402177337.2,381006099.9,205144881,232890960,239424720,0.0359,0.0539,0.1375,50964.18,92507.8,0.58,0.57,233.8,14.8,2.05,19.2,886.7,0.13,234.8,45.7,280.5,246.9,15.6,2.17,20.2,935.5,0.14,248,48.2,296.1,232.2,4.7,0.5,27.2,1200,0.1,232.5,63,295.5,585.4,41.6,5.94,43.3,1987.6,0.36,588.3,102.6,690.9,94864079.7,5995.3,832.5,7792588.9,359937.5,54.4,95270012.1,18533567,113803579.2,0,24.61,10.47,0,35.08,26.23,11.42,0,37.65,408717440,197032460,1431741.5,574580.2,0,0,43072656,0,0,3824275.5,124095530,0,2539518.8,0,590301.4,37874350,1498533.4,7770.7,0,64260760,128947430,0,1583.6,110.6,0,14766.6,0,0,2542.7,37812.3,0,7945.7,0,562.7,4980,8350.3,5,0,27219.7,0,35768.9,3184.3,50,0,0
ERCTc,2028,405129150,6603792,10493.8,6380951.7,418124390.4,390565965,156760604.9,272097700,283923870,0.0359,0.0539,0.1375,58973.47,95054.1,0.71,0.7,157.2,9.7,1.33,13.4,608.5,0.09,157.9,31.5,189.4,170,10.4,1.44,14.4,657.9,0.1,170.7,34.1,204.8,163.3,5.2,0.64,17.5,784.2,0.08,163.6,40.9,204.5,509.8,35.1,4.98,38.5,1786.9,0.3,512.2,91.8,604,67050098.1,4110.4,567.7,5701159.6,259647.5,39.7,67327558.3,13449485.6,80777043.9,0,21.81,11.98,0,33.79,23.48,13.23,0,36.72,429992600,261363790,5584637,500912.4,0,0,29592468,0,0,5637281,93555930,0,1422092,0,547978.4,36746180,670355.8,8262.4,0,72054700,183671800,0,4548.9,110.6,0,14111.6,0,0,3761.4,37493.2,0,7945.7,0,562.7,4980,7899.3,5,0,32120.3,0,53037.1,15117.4,50,0,0
ERCTc,2030,416517100,10478734,9466.1,5585607.1,432590890.2,401544615.2,105785950.4,237470180,264495620,0.0359,0.0539,0.1375,70658.37,98193.8,0.81,0.79,104.8,6.8,0.94,8.7,395.5,0.07,105.3,20.5,125.8,117,7.6,1.05,9.7,441.5,0.07,117.5,22.9,140.4,103.6,5.3,0.71,9.3,434.9,0.05,104,22.3,126.2,429.8,30.2,4.27,31.7,1501.5,0.24,431.9,76.5,508.4,47755635.2,3088.6,428.7,3988199.7,180430.8,29.9,47964712.6,9373188.6,57337901.2,0,18.71,14.26,0,32.98,20.26,15.85,0,36.11,459748300,326804930,8878253,405872.4,0,0,23050002,0,0,7810718.5,64171796,0,658431.1,0,494044.4,34960756,316654,7572.4,0,75686530,243307700,0,7229.6,110.6,0,12422.6,0,0,5232.9,37377.3,0,7903.7,0,562.7,4980,7703.3,5,0,35143.2,0,72417.4,25840.1,50,0,0
