"","sourceTypeID","modelYearID","fuelTypeID","engTechID","fuelEngFraction"
"173","21",1983,"1","1",0.99842176494072
"174","21",1983,"2","1",0.00157823505928006
"175","21",1983,"5","1",0
"176","21",1983,"9","30",0
"177","21",1984,"1","1",0.998906933302713
"178","21",1984,"2","1",0.00109306669728754
"179","21",1984,"5","1",0
"180","21",1984,"9","30",0
"181","21",1985,"1","1",0.999397672538362
"182","21",1985,"2","1",0.000602327461638342
"183","21",1985,"5","1",0
"184","21",1985,"9","30",0
"185","21",1986,"1","1",0.99973121490293
"186","21",1986,"2","1",0.000268785097069954
"187","21",1986,"5","1",0
"188","21",1986,"9","30",0
"189","21",1987,"1","1",0.999884387195186
"190","21",1987,"2","1",0.000115612804814172
"191","21",1987,"5","1",0
"192","21",1987,"9","30",0
"193","21",1988,"1","1",0.999985579123663
"194","21",1988,"2","1",1.44208763364997e-05
"195","21",1988,"5","1",0
"196","21",1988,"9","30",0
"197","21",1989,"1","1",0.997627783655628
"198","21",1989,"2","1",0.00237221634437181
"199","21",1989,"5","1",0
"200","21",1989,"9","30",0
"201","21",1990,"1","1",0.998624787987336
"202","21",1990,"2","1",0.00137521201266423
"203","21",1990,"5","1",0
"204","21",1990,"9","30",0
"205","21",1991,"1","1",0.998418520296207
"206","21",1991,"2","1",0.00158147970379326
"207","21",1991,"5","1",0
"208","21",1991,"9","30",0
"209","21",1992,"1","1",0.999105609585387
"210","21",1992,"2","1",0.000894390414612939
"211","21",1992,"5","1",0
"212","21",1992,"9","30",0
"213","21",1993,"1","1",0.999570787975643
"214","21",1993,"2","1",0.000429212024357331
"215","21",1993,"5","1",0
"216","21",1993,"9","30",0
"217","21",1994,"1","1",0.999451671683375
"218","21",1994,"2","1",0.00054832831662448
"219","21",1994,"5","1",0
"220","21",1994,"9","30",0
"221","21",1995,"1","1",0.994288585261394
"222","21",1995,"2","1",0.00526195905141554
"223","21",1995,"5","1",0.000449455687190085
"224","21",1995,"9","30",0
"225","21",1996,"1","1",0.998318033597063
"226","21",1996,"2","1",0.00122656348618146
"227","21",1996,"5","1",0.0004554029167557
"228","21",1996,"9","30",0
"229","21",1997,"1","1",0.997347986239353
"230","21",1997,"2","1",0.00105743227852988
"231","21",1997,"5","1",0.00159458148211717
"232","21",1997,"9","30",0
"233","21",1998,"1","1",0.993588305436922
"234","21",1998,"2","1",0.00146177078201819
"235","21",1998,"5","1",0.00484628496503124
"236","21",1998,"9","30",0.000103638816028988
"237","21",1999,"1","1",0.989251421818534
"238","21",1999,"2","1",0.00169887072196007
"239","21",1999,"5","1",0.00897404812508363
"240","21",1999,"9","30",7.56593344224394e-05
"241","21",2000,"1","1",0.986823597503228
"242","21",2000,"2","1",0.00262710350217326
"243","21",2000,"5","1",0.0104865401618383
"244","21",2000,"9","30",6.27588327607619e-05
"245","21",2001,"1","1",0.985957195217743
"246","21",2001,"2","1",0.00174000209729656
"247","21",2001,"5","1",0.0122698936001942
"248","21",2001,"9","30",3.29090847662034e-05
"249","21",2002,"1","1",0.984194048931991
"250","21",2002,"2","1",0.0035317712729862
"251","21",2002,"5","1",0.0122645234585564
"252","21",2002,"9","30",9.65633646658925e-06
"253","21",2003,"1","1",0.984856478590534
"254","21",2003,"2","1",0.00341782254243761
"255","21",2003,"5","1",0.0117174988162022
"256","21",2003,"9","30",8.20005082599884e-06
"257","21",2004,"1","1",0.983848917701438
"258","21",2004,"2","1",0.00242059775896716
"259","21",2004,"5","1",0.0137272657554241
"260","21",2004,"9","30",3.21878417105714e-06
"261","21",2005,"1","1",0.98058231002584
"262","21",2005,"2","1",0.00305165003706673
"263","21",2005,"5","1",0.0163647138686803
"264","21",2005,"9","30",1.32606841293028e-06
"265","21",2006,"1","1",0.975184572069263
"266","21",2006,"2","1",0.00431532742475186
"267","21",2006,"5","1",0.0204971770538372
"268","21",2006,"9","30",2.92345214828649e-06
"269","21",2007,"1","1",0.961611286244403
"270","21",2007,"2","1",0.000711982290409237
"271","21",2007,"5","1",0.0376697471820251
"272","21",2007,"9","30",6.98428316235713e-06
"273","21",2008,"1","1",0.93108009243943
"274","21",2008,"2","1",0.000721311192407675
"275","21",2008,"5","1",0.0681923129594192
"276","21",2008,"9","30",6.28340874274606e-06
"277","21",2009,"1","1",0.916612577442229
"278","21",2009,"2","1",0.022503091044868
"279","21",2009,"5","1",0.0608682356090698
"280","21",2009,"9","30",1.60959038327485e-05
"281","21",2010,"1","1",0.951449439581947
"282","21",2010,"2","1",0.0134531735829464
"283","21",2010,"5","1",0.0350127971000206
"284","21",2010,"9","30",8.45897350854061e-05
"285","21",2011,"1","1",0.928297146355429
"286","21",2011,"2","1",0.00699411495539341
"287","21",2011,"5","1",0.0637711198906662
"288","21",2011,"9","30",0.000937618798511676
"289","21",2012,"1","1",0.938673442870445
"290","21",2012,"2","1",0.0129299207203974
"291","21",2012,"5","1",0.0469848385677358
"292","21",2012,"9","30",0.0014117978414223
"293","21",2013,"1","1",0.9374031979986
"294","21",2013,"2","1",0.0125237654806672
"295","21",2013,"5","1",0.0485492445265966
"296","21",2013,"9","30",0.00152379199413645
"297","21",2014,"1","1",0.932416915547074
"298","21",2014,"2","1",0.0191128731262414
"299","21",2014,"5","1",0.0401586049077224
"300","21",2014,"9","30",0.00831160641896249
"301","21",2015,"1","1",0.930693458497843
"302","21",2015,"2","1",0.0174108962962674
"303","21",2015,"5","1",0.0393489356295712
"304","21",2015,"9","30",0.0125467095763178
"305","21",2016,"1","1",0.942903242931812
"306","21",2016,"2","1",0.000928665367702874
"307","21",2016,"5","1",0.0511203440403386
"308","21",2016,"9","30",0.00504774766014621
"309","21",2017,"1","1",0.959050081447981
"310","21",2017,"2","1",0.00019809063587958
"311","21",2017,"5","1",0.0297807262768399
"312","21",2017,"9","30",0.0109711016392993
"313","21",2018,"1","1",0.950177514611809
"314","21",2018,"2","1",0.000793563666300172
"315","21",2018,"5","1",0.027885915591264
"316","21",2018,"9","30",0.0211430061306267
"317","21",2019,"1","1",0.953348554524127
"318","21",2019,"2","1",0.000228377315815562
"319","21",2019,"5","1",0.0178592937481673
"320","21",2019,"9","30",0.0285637744118899
"321","21",2020,"1","1",0.958222192830711
"322","21",2020,"2","1",1.82664417254461e-05
"323","21",2020,"5","1",0.0180905318694068
"324","21",2020,"9","30",0.0236690088581563
"325","21",2021,"1","1",0.961551016055428
"326","21",2021,"2","1",1.6809284963712e-05
"327","21",2021,"5","1",0.0180264182230153
"328","21",2021,"9","30",0.0204057564365925
"329","21",2022,"1","1",0.925805519630419
"330","21",2022,"2","1",1.50243769748299e-05
"331","21",2022,"5","1",0.0173757175753052
"332","21",2022,"9","30",0.0568037384173012
"333","21",2023,"1","1",0.877838334326488
"334","21",2023,"2","1",1.36477227931752e-05
"335","21",2023,"5","1",0.0164743132848456
"336","21",2023,"9","30",0.105673704665873
"337","21",2024,"1","1",0.829881716387067
"338","21",2024,"2","1",1.26395173156455e-05
"339","21",2024,"5","1",0.0155613507070193
"340","21",2024,"9","30",0.154544293388598
"341","21",2025,"1","1",0.781936948572032
"342","21",2025,"2","1",1.17820997310295e-05
"343","21",2025,"5","1",0.0146333577871536
