"","sourceTypeID","yearID","ageID","ageFraction"
"2374","31",2005,24,0.00663986123238416
"2375","31",2005,25,0.00737611086173706
"2376","31",2005,26,0.0101413563325347
"2377","31",2005,27,0.0114134459583799
"2378","31",2005,28,0.0101345269037199
"2379","31",2005,29,0.00831353190200257
"2380","31",2005,3,0.0723155993322041
"2381","31",2005,30,0.00638900594829077
"2382","31",2005,4,0.0685489257490061
"2383","31",2005,5,0.0656304211636115
"2384","31",2005,6,0.0541682125520207
"2385","31",2005,7,0.0529121114073827
"2386","31",2005,8,0.0462202809676619
"2387","31",2005,9,0.0419582744929913
"2388","31",2006,0,0.0751849695662816
"2389","31",2006,1,0.0767361305489703
"2390","31",2006,10,0.0388255697048192
"2391","31",2006,11,0.0347549009527754
"2392","31",2006,12,0.0330423077239572
"2393","31",2006,13,0.0280655902484668
"2394","31",2006,14,0.0232525604715432
"2395","31",2006,15,0.0197817715849397
"2396","31",2006,16,0.0208546356851376
"2397","31",2006,17,0.0197963527325326
"2398","31",2006,18,0.0185122602253623
"2399","31",2006,19,0.0167148496503952
"2400","31",2006,2,0.0775855727024565
"2401","31",2006,20,0.0152231321739356
"2402","31",2006,21,0.0139298240290722
"2403","31",2006,22,0.0111496176752618
"2404","31",2006,23,0.00808133013474936
"2405","31",2006,24,0.00655264438318424
"2406","31",2006,25,0.00612329786687238
"2407","31",2006,26,0.0068022507230355
"2408","31",2006,27,0.00935235687643308
"2409","31",2006,28,0.0105254916961201
"2410","31",2006,29,0.0093460662786196
"2411","31",2006,3,0.0739466028331337
"2412","31",2006,30,0.00766672335252988
"2413","31",2006,4,0.0684971037611907
"2414","31",2006,5,0.0647344540429804
"2415","31",2006,6,0.0617798113500816
"2416","31",2006,7,0.0508728045879709
"2417","31",2006,8,0.0492958028162249
"2418","31",2006,9,0.0430132136209663
"2419","31",2007,0,0.0648193465474088
"2420","31",2007,1,0.0724372518336779
"2421","31",2007,10,0.0401051589247062
"2422","31",2007,11,0.0362827985073973
"2423","31",2007,12,0.0322355846871008
"2424","31",2007,13,0.0305622493728397
"2425","31",2007,14,0.0258816960102367
"2426","31",2007,15,0.0213735617668838
"2427","31",2007,16,0.0180958292993654
"2428","31",2007,17,0.0190685260237178
"2429","31",2007,18,0.0180178976960466
"2430","31",2007,19,0.0171517346702439
"2431","31",2007,2,0.0736592845913506
"2432","31",2007,20,0.0154190010084277
"2433","31",2007,21,0.0140070045473169
"2434","31",2007,22,0.0127831245348582
"2435","31",2007,23,0.0105967553984373
"2436","31",2007,24,0.00772300801280153
"2437","31",2007,25,0.00626208965381387
"2438","31",2007,26,0.0058517736048244
"2439","31",2007,27,0.00650061968026396
"2440","31",2007,28,0.00893765175133023
"2441","31",2007,29,0.0100587706278302
"2442","31",2007,3,0.073956285001684
"2443","31",2007,30,0.00893162432374214
"2444","31",2007,4,0.070223503432659
"2445","31",2007,5,0.0650537397638452
"2446","31",2007,6,0.0611669856057571
"2447","31",2007,7,0.0583473289623758
"2448","31",2007,8,0.0476166952910215
"2449","31",2007,9,0.0468731188680356
"2450","31",2008,0,0.0497559617315716
"2451","31",2008,1,0.063370830245913
"2452","31",2008,10,0.0447981249990506
"2453","31",2008,11,0.0382206204532397
"2454","31",2008,12,0.0344375182341494
"2455","31",2008,13,0.0305084404109833
"2456","31",2008,14,0.0288270625951754
"2457","31",2008,15,0.0242991135623975
