Regulatory Class,Vehicle Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,7+ Gears,Average Number of Gears,Transmission - CVT (Non-Hybrid)
"Car","All Car","Prelim. 2020","-","0.428277","41.31850","31.43323","27.24521","35.55638","276.56636","320.23315","243.62474","3615.061","46.77245","133.5150","212.0882","7.8338","1.519731","0.057221","69.03771","0.712","0.174","0.114","0.028","0.097","0.426","0.039","0.000","0.000","0.501","0.423","0.000","0.076","0.000","0.076","0.008","0.000","0.000","0.050","0.866","0.337","0.231","0.043","0.913","0.917","0.318","5.4","0.409"
"Car","Car SUV","1975","10","0.001001","13.05756","11.12929","10.13552","12.64456","798.52390","876.81716","702.83214","4000.000","-","261.5908","112.7733","-","0.430248","0.028193","22.60428","0.000","0.000","1.000","0.683","0.317","0.000","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Car SUV","1976","11","0.000925","12.38490","10.58091","9.39272","12.51605","839.90887","946.15820","710.04857","3986.237","-","263.3354","123.1064","-","0.467071","0.030935","22.09618","0.000","0.000","1.000","0.691","0.309","0.000","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Car SUV","1977","19","0.001333","14.28340","12.16264","11.21446","13.56437","730.68014","792.45908","655.17255","4000.000","-","260.9918","124.4603","-","0.476739","0.031115","25.10549","0.000","0.000","1.000","0.825","0.175","0.000","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Car SUV","1978","16","0.001122","13.55886","11.57282","10.36991","13.48465","767.91977","856.99842","659.04587","4000.000","-","262.3296","126.0851","14.1734","0.481002","0.031521","23.76201","0.000","0.000","1.000","0.842","0.158","0.000","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Car SUV","1979","16","0.001147","16.82631","14.26603","13.87578","14.77387","622.94839","640.46833","601.53512","3270.859","-","185.1200","98.7179","16.3851","0.576153","0.029982","23.59804","0.000","0.000","1.000","0.377","0.583","0.039","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","3.3","0.000"
"Car","Car SUV","1980","0","0.000032","17.16460","14.57638","13.92621","15.45846","609.68513","638.14935","574.89552","4000.000","-","280.2066","122.1928","16.1315","0.436430","0.030548","29.37284","0.000","0.000","1.000","0.039","0.094","0.868","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","3.0","0.000"
"Car","Car SUV","1981","0","0.000020","17.26000","14.68025","13.71600","16.06020","605.37116","647.92943","553.35550","4000.000","-","318.0000","140.0000","14.3434","0.440252","0.035000","29.36050","0.000","0.000","1.000","0.000","0.000","1.000","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","3.0","0.000"
"Car","Car SUV","1982","13","0.001303","23.40067","19.76697","20.17557","19.28949","449.58844","440.48314","460.71714","2629.999","-","158.5725","87.8139","17.3155","0.556546","0.033514","25.96125","0.000","0.000","1.000","0.046","0.865","0.089","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","3.0","0.000"
"Car","Car SUV","1983","34","0.003262","24.33464","20.68730","19.49465","22.35918","429.58726","455.86872","397.46547","3124.431","-","162.9549","100.7415","15.4064","0.617265","0.032534","32.65834","0.000","0.000","1.000","0.193","0.376","0.432","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"Car","Car SUV","1984","55","0.003940","22.61466","19.28953","17.47103","22.10116","460.71629","508.67055","402.10552","3486.502","-","179.4690","108.7714","15.2456","0.615247","0.031331","33.89977","0.000","0.000","1.000","0.194","0.158","0.648","0.000","0.000","1.000","undefined","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","4.0","0.000"
"Car","Car SUV","1985","88","0.006074","23.48416","20.08032","17.62417","24.20283","442.57267","504.25066","367.18847","3469.242","-","170.8898","108.8355","15.0614","0.637029","0.031408","34.88328","0.000","0.000","1.000","0.159","0.000","0.841","0.000","0.000","0.947","undefined","0.000","0.053","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","0.000","4.0","0.000"
"Car","Car SUV","1986","59","0.003860","22.26337","18.92466","17.11181","21.65796","469.60984","519.36056","410.34432","3479.487","-","169.7659","121.0844","13.4874","0.713221","0.034824","33.03645","0.000","0.000","1.000","0.181","0.000","0.819","0.000","0.000","0.131","undefined","0.000","0.868","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.0","0.000"
"Car","Car SUV","1987","95","0.006369","22.86177","19.42471","17.10779","23.05481","457.50994","519.47108","385.47272","3491.782","-","178.8586","130.5429","13.0462","0.729852","0.037390","33.99778","0.000","0.000","1.000","0.143","0.000","0.857","0.000","0.000","0.000","undefined","0.328","0.672","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Car","Car SUV","1988","109","0.007141","22.74722","19.24756","17.05493","22.53121","461.72090","521.08109","394.43060","3494.767","-","199.1860","141.5664","12.3505","0.718759","0.040506","33.72946","0.000","0.000","1.000","0.246","0.000","0.754","0.000","0.000","0.000","undefined","0.482","0.518","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.2","0.000"
"Car","Car SUV","1989","108","0.007460","22.68584","19.11214","17.05288","22.05536","464.99236","521.14362","402.94060","3497.227","-","226.0193","147.6344","11.4005","0.668097","0.042212","33.49352","0.000","0.000","1.000","0.274","0.000","0.726","0.000","0.000","0.014","undefined","0.447","0.539","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.3","0.000"
"Car","Car SUV","1990","65","0.005181","22.45767","18.84529","16.88798","21.53370","471.57682","526.23232","412.70199","3518.094","-","208.7477","145.8198","10.9080","0.714391","0.041457","33.19891","0.000","0.000","1.000","0.351","0.018","0.630","0.000","0.000","0.051","undefined","0.633","0.316","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.4","0.000"
"Car","Car SUV","1991","224","0.017790","21.79184","18.20849","16.42682","20.54704","488.06901","541.00543","432.51980","3732.531","-","214.8790","144.6175","11.8066","0.679544","0.038516","34.03092","0.000","0.000","1.000","0.222","0.001","0.777","0.000","0.000","0.008","undefined","0.493","0.499","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Car","Car SUV","1992","243","0.019931","21.42210","17.84349","16.06389","20.12662","498.05274","553.22828","441.55461","3712.507","-","209.8701","152.6120","11.0964","0.733583","0.040895","33.20409","0.000","0.000","1.000","0.246","0.000","0.754","0.000","0.000","0.012","undefined","0.684","0.303","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Car","Car SUV","1993","473","0.035785","20.43564","17.02920","15.04102","19.62872","521.86822","590.85098","452.75487","3847.533","-","238.3077","178.7425","9.5152","0.756729","0.046205","32.91223","0.000","0.000","1.000","0.109","0.000","0.891","0.000","0.000","0.007","undefined","0.906","0.087","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.0","0.000"
"Car","Car SUV","1994","332","0.023492","21.78366","18.03998","16.07515","20.48420","492.62795","552.84100","433.84657","3735.241","-","208.8552","163.1584","9.9294","0.790992","0.043356","33.64391","0.026","0.000","0.974","0.215","0.076","0.709","0.000","0.000","0.000","undefined","0.921","0.079","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.115","undefined","0.000","4.1","0.000"
"Car","Car SUV","1995","220","0.014545","21.52790","17.81180","15.66853","20.48666","498.93879","567.18801","433.79450","3763.367","-","213.9738","165.2253","10.2118","0.782587","0.043612","33.56674","0.001","0.000","0.999","0.174","0.000","0.826","0.000","0.000","0.000","undefined","0.908","0.092","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.191","undefined","0.000","4.1","0.000"
"Car","Car SUV","1996","287","0.021835","22.37709","18.43161","16.20748","21.13336","482.16073","548.32698","420.51996","3709.791","-","215.0005","166.7538","10.3157","0.801860","0.044815","34.30057","0.063","0.000","0.937","0.154","0.000","0.846","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.324","undefined","0.000","4.1","0.000"
"Car","Car SUV","1997","361","0.024941","23.51714","19.23496","17.07087","21.73689","462.02338","520.59451","408.84412","3549.458","-","189.5442","159.3404","10.3508","0.874988","0.044649","34.21588","0.203","0.000","0.797","0.232","0.061","0.707","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.546","undefined","0.000","4.3","0.000"
"Car","Car SUV","1998","454","0.031440","22.29780","18.23943","15.99494","20.83641","487.24121","555.61322","426.51304","3824.049","-","218.2710","168.4785","10.5767","0.801618","0.043935","34.96247","0.103","0.000","0.897","0.111","0.000","0.889","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.292","undefined","0.000","4.4","0.000"
"Car","Car SUV","1999","488","0.032106","22.74650","18.51002","16.28276","21.00012","480.11843","545.79187","423.18814","3831.203","-","210.5272","169.6394","10.5244","0.845694","0.044233","35.54247","0.154","0.000","0.846","0.084","0.000","0.916","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.384","undefined","0.000","4.4","0.000"
"Car","Car SUV","2000","617","0.037226","22.04447","17.89427","15.70471","20.29007","496.63933","565.88102","437.99759","3869.824","-","211.4798","173.6734","10.0152","0.856692","0.044803","34.72704","0.127","0.000","0.873","0.057","0.000","0.943","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.340","0.050","0.000","4.3","0.000"
"Car","Car SUV","2001","743","0.047619","23.30688","18.83276","16.44690","21.40144","471.89051","540.34487","415.25248","3765.195","-","193.5861","179.5406","9.6115","0.961043","0.047653","35.65212","0.371","0.000","0.629","0.062","0.000","0.938","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.431","0.100","0.000","4.2","0.000"
"Car","Car SUV","2002","602","0.037387","23.97249","19.30479","16.74756","22.02409","460.35213","530.64452","403.51278","3747.361","-","183.1484","179.0031","9.7550","1.003043","0.047858","36.44281","0.555","0.000","0.445","0.075","0.000","0.924","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.703","0.183","0.000","4.1","0.001"
"Car","Car SUV","2003","575","0.036447","24.84573","19.91469","17.21481","22.73126","446.25356","516.24142","390.95947","3716.469","-","181.2521","180.7326","9.5401","1.013924","0.048625","37.18234","0.659","0.000","0.341","0.072","0.000","0.844","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.681","0.196","0.000","4.2","0.085"
"Car","Car SUV","2004","639","0.040655","24.90377","19.96597","16.98260","23.09951","445.10733","523.30042","384.72676","3853.779","-","190.9896","197.5021","9.1962","1.038916","0.051140","38.62147","0.729","0.034","0.237","0.058","0.000","0.879","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.755","0.379","0.000","4.3","0.063"
"Car","Car SUV","2005","813","0.051146","25.37965","20.21725","17.26864","23.20650","439.57513","514.63224","382.95310","3847.772","-","185.8916","192.0927","9.2683","1.039631","0.049830","38.95867","0.740","0.145","0.115","0.037","0.000","0.919","0.005","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.005","0.995","0.000","undefined","0.000","0.675","0.273","0.000","4.5","0.040"
"Car","Car SUV","2006","751","0.049753","25.68446","20.45422","17.45421","23.50149","434.48250","509.16083","378.14622","3875.797","-","183.5913","191.9628","9.3999","1.051355","0.049308","39.77974","0.777","0.086","0.137","0.031","0.000","0.917","0.011","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.011","0.989","0.000","undefined","0.000","0.868","0.334","0.000","4.5","0.041"
"Car","Car SUV","2007","919","0.060173","25.91564","20.63947","17.58347","23.75390","430.58272","505.41799","374.12804","3934.913","-","185.3658","207.8760","9.0639","1.127142","0.052418","40.71700","0.854","0.047","0.100","0.016","0.000","0.945","0.008","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.016","0.984","0.036","undefined","0.000","0.827","0.468","0.000","4.8","0.031"
"Car","Car SUV","2008","924","0.066471","26.64402","21.19014","18.05363","24.38625","419.39320","492.25570","364.42674","3902.476","46.22913","178.5849","203.5805","9.1807","1.141123","0.051841","41.54202","0.870","0.053","0.076","0.007","0.000","0.936","0.021","0.000","0.000","0.022","0.978","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.023","0.977","0.022","undefined","0.000","0.896","0.564","0.000","4.8","0.036"
"Car","Car SUV","2009","608","0.065289","27.80538","22.04188","18.84696","25.27400","403.18697","471.53495","351.62621","3846.047","46.12419","175.2516","206.1788","8.7487","1.174490","0.053405","42.61137","0.922","0.028","0.050","0.006","0.000","0.859","0.021","0.000","0.000","0.013","0.987","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.027","0.973","0.013","undefined","0.000","0.941","0.737","0.008","5.1","0.114"
"Car","Car SUV","2010","915","0.082303","29.08157","23.02703","19.60801","26.51481","385.93780","453.23313","335.17114","3949.247","46.87108","171.5455","213.3254","8.6576","1.240377","0.053781","45.71061","0.884","0.089","0.028","0.002","0.000","0.915","0.014","0.000","0.000","0.262","0.738","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.014","0.986","0.013","undefined","0.000","1.000","0.999","0.015","5.7","0.070"
"Car","Car SUV","2011","1207","0.100397","29.88101","23.51011","20.02107","27.06871","378.00765","443.88237","328.31269","3889.853","46.85096","165.8127","207.3301","8.8143","1.242951","0.052988","45.92208","0.888","0.097","0.015","0.005","0.000","0.915","0.006","0.000","0.000","0.276","0.724","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.006","0.994","0.009","undefined","0.000","1.000","0.998","0.011","5.7","0.074"
"Car","Car SUV","2012","1265","0.094084","29.64526","23.29446","19.82097","26.84315","381.46382","448.32175","331.02714","3915.148","46.84717","167.4410","210.6364","8.7013","1.259532","0.053556","45.92692","0.816","0.145","0.039","0.004","0.000","0.884","0.004","0.000","0.000","0.395","0.604","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.004","0.996","0.028","0.000","0.016","0.980","0.980","0.011","5.7","0.108"
"Car","Car SUV","2013","1514","0.099623","31.13763","24.34480","20.67754","28.10508","364.98702","429.73172","316.14453","3965.578","47.11052","160.5120","213.6480","8.6538","1.351092","0.053416","48.47558","0.906","0.078","0.016","0.003","0.000","0.898","0.003","0.000","0.000","0.478","0.522","0.000","0.001","0.000","0.001","0.000","0.000","0.000","0.003","0.996","0.156","0.003","0.020","0.999","0.999","0.012","5.9","0.095"
"Car","Car SUV","2014","1566","0.100979","31.35802","24.43912","20.82520","28.12045","363.54246","426.64988","315.93511","3865.299","46.45660","153.5134","203.7429","8.7720","1.346629","0.052310","47.46500","0.910","0.077","0.013","0.007","0.000","0.900","0.001","0.000","0.000","0.518","0.481","0.000","0.001","0.000","0.001","0.000","0.000","0.000","0.001","0.998","0.159","0.010","0.016","0.999","0.999","0.045","5.9","0.093"
"Car","Car SUV","2015","1701","0.101638","32.28177","25.13993","21.54266","28.76325","353.49382","412.52276","308.96321","3868.169","46.38800","153.3165","202.4874","8.7612","1.338853","0.051927","48.87400","0.905","0.081","0.014","0.006","0.000","0.794","0.003","0.000","0.000","0.528","0.472","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.003","0.997","0.156","0.028","0.015","1.000","1.000","0.080","6.1","0.198"
"Car","Car SUV","2016","1870","0.114886","33.77637","26.20640","22.62297","29.76286","338.19432","391.88919","297.68767","3782.359","46.05022","142.0926","193.6434","8.8953","1.372149","0.050770","51.16830","0.854","0.134","0.012","0.007","0.039","0.686","0.000","0.000","0.000","0.490","0.500","0.000","0.009","0.000","0.009","0.000","0.000","0.000","0.000","0.990","0.210","0.030","0.010","0.991","0.991","0.128","6.0","0.268"
"Car","Car SUV","2017","1975","0.116046","33.57541","26.14284","22.37408","29.94855","339.08181","396.32083","295.90102","3860.229","46.54104","138.0877","196.7992","8.8602","1.452229","0.050563","51.93867","0.872","0.108","0.020","0.002","0.039","0.795","0.001","0.000","0.000","0.569","0.423","0.000","0.009","0.000","0.009","0.000","0.000","0.000","0.001","0.990","0.324","0.157","0.012","0.991","0.991","0.145","6.2","0.163"
"Car","Car SUV","2018","1838","0.113060","35.24996","27.32779","23.70516","30.88891","324.36539","374.05612","286.87907","3738.760","45.97647","127.2937","188.1673","8.9084","1.520785","0.049944","52.57993","0.898","0.087","0.015","0.002","0.031","0.800","0.001","0.000","0.000","0.563","0.426","0.000","0.009","0.002","0.009","0.003","0.000","0.000","0.001","0.985","0.444","0.295","0.041","0.991","0.989","0.153","6.3","0.166"
"Car","Car SUV","2019","1891","0.117173","35.65967","27.48950","23.94937","30.93961","322.71906","370.53560","286.64693","3713.568","46.36354","125.4903","192.9958","8.6028","1.581023","0.051612","52.17056","0.872","0.095","0.033","0.000","0.015","0.833","0.002","0.000","0.000","0.618","0.375","0.000","0.006","0.000","0.006","0.001","0.000","0.000","0.002","0.990","0.491","0.454","0.048","0.994","0.991","0.392","6.9","0.150"
"Car","Car SUV","Prelim. 2020","-","0.095447","38.89622","29.53973","26.17903","32.70721","293.48992","332.44883","264.09987","3814.395","46.90658","124.5074","220.5308","8.0218","1.626028","0.056377","70.79111","0.826","0.162","0.013","0.001","0.100","0.713","0.016","0.000","0.000","0.633","0.278","0.000","0.089","0.000","0.089","0.003","0.000","0.000","0.017","0.891","0.477","0.440","0.092","0.911","0.911","0.410","6.5","0.169"
"Car","Sedan/Wagon","1975","8237","0.805645","15.79447","13.45833","12.31742","15.17643","660.46603","721.63673","585.70185","4057.565","-","288.3230","136.2256","-","0.514901","0.033128","27.55243","0.065","0.000","0.935","0.196","0.801","0.003","0.000","0.000","0.946","undefined","0.051","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Sedan/Wagon","1976","9722","0.788239","17.45908","14.86845","13.70380","16.59191","597.85756","648.66127","535.76413","4058.944","-","286.5369","133.5710","-","0.502346","0.032449","30.23076","0.058","0.000","0.942","0.171","0.829","0.000","0.000","0.000","0.966","undefined","0.032","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.997","undefined","undefined","0.000","-","undefined","0.000","3.0","0.000"
"Car","Sedan/Wagon","1977","11300","0.800086","18.31259","15.59297","14.39484","17.35887","570.16605","617.61231","512.17617","3943.519","-","279.1384","133.1881","-","0.516402","0.033483","30.97389","0.068","0.000","0.932","0.168","0.832","0.000","0.000","0.000","0.953","undefined","0.042","0.000","0.000","0.005","0.000","0.000","0.000","0.000","0.000","0.995","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Car","Sedan/Wagon","1978","11175","0.773459","19.89167","16.94899","15.51976","19.09866","524.81130","573.12958","465.75562","3587.514","-","251.3885","124.1623","13.6978","0.538103","0.034195","30.57947","0.096","0.000","0.904","0.198","0.731","0.071","0.000","0.000","0.940","undefined","0.051","0.000","0.000","0.009","0.000","0.000","0.000","0.000","0.000","0.991","undefined","undefined","0.000","-","undefined","0.000","3.3","0.000"
"Car","Sedan/Wagon","1979","10794","0.777556","20.25446","17.24547","15.92812","19.18475","516.51143","559.20195","464.33413","3484.872","-","238.4071","119.4639","14.5135","0.544674","0.033849","30.17117","0.119","0.003","0.878","0.211","0.697","0.088","0.000","0.005","0.932","undefined","0.047","0.000","0.000","0.021","0.000","0.000","0.000","0.000","0.000","0.979","undefined","undefined","0.000","-","undefined","0.000","3.3","0.000"
"Car","Sedan/Wagon","1980","9443","0.835223","23.48301","20.01210","18.29804","22.59955","446.31675","488.11703","395.22751","3101.464","-","187.7988","100.4585","15.5474","0.583132","0.032169","31.21368","0.297","0.009","0.694","0.309","0.516","0.168","0.000","0.006","0.887","undefined","0.062","0.007","0.000","0.044","0.000","0.000","0.000","0.000","0.000","0.956","undefined","undefined","0.000","-","undefined","0.000","3.5","0.000"
"Car","Sedan/Wagon","1981","8733","0.827485","25.12715","21.41631","19.55010","24.24499","417.98127","457.90220","369.18902","3075.865","-","181.9281","98.7082","15.5567","0.594375","0.031988","33.13701","0.370","0.007","0.622","0.299","0.362","0.333","0.000","0.006","0.853","undefined","0.061","0.026","0.000","0.059","0.000","0.000","0.000","0.000","0.000","0.941","undefined","undefined","0.000","-","undefined","0.000","3.5","0.000"
"Car","Sedan/Wagon","1982","7819","0.803384","26.03946","22.21184","20.07840","25.52699","402.41852","445.14251","350.20030","3054.073","-","174.9332","98.7342","16.6289","0.609404","0.032046","34.19550","0.456","0.008","0.536","0.292","0.189","0.514","0.000","0.005","0.784","undefined","0.072","0.098","0.000","0.047","0.000","0.000","0.000","0.000","0.000","0.953","undefined","undefined","0.000","-","undefined","0.000","3.6","0.000"
"Car","Sedan/Wagon","1983","8002","0.776709","25.89333","22.09123","19.92703","25.47247","403.30599","447.08443","349.79900","3111.960","-","181.9830","103.8318","14.8298","0.615244","0.033033","34.68197","0.473","0.031","0.496","0.261","0.168","0.567","0.000","0.005","0.696","undefined","0.095","0.189","0.000","0.021","0.000","0.000","0.000","0.000","0.000","0.979","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"Car","Sedan/Wagon","1984","10675","0.761433","26.29909","22.44190","20.20085","25.96213","396.70005","440.68196","342.94437","3098.504","-","178.6644","105.7600","14.5251","0.636934","0.033857","35.07591","0.537","0.010","0.453","0.241","0.175","0.583","0.000","0.000","0.589","undefined","0.150","0.244","0.000","0.017","0.000","0.000","0.000","0.000","0.000","0.983","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"Car","Sedan/Wagon","1985","10791","0.746275","26.96470","23.01593","20.65662","26.75019","386.52221","430.64982","332.58846","3092.936","-","176.8473","110.7520","13.8858","0.671102","0.035471","35.79783","0.616","0.021","0.363","0.228","0.185","0.587","0.000","0.000","0.456","undefined","0.214","0.320","0.000","0.009","0.000","0.000","0.000","0.000","0.000","0.991","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"Car","Sedan/Wagon","1986","11015","0.716867","27.89002","23.72402","21.21784","27.60920","374.71873","418.97358","321.99473","3040.673","-","167.3077","110.8588","13.2412","0.701162","0.035972","36.25055","0.711","0.011","0.279","0.248","0.172","0.580","0.000","0.000","0.345","undefined","0.367","0.284","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.997","undefined","undefined","0.000","0.048","undefined","0.000","3.8","0.000"
"Car","Sedan/Wagon","1987","10731","0.721907","28.08259","23.80659","21.21636","27.74058","373.42650","419.00840","320.47924","3030.906","-","161.6768","112.4524","13.3411","0.732104","0.036541","36.23583","0.770","0.011","0.219","0.249","0.156","0.595","0.000","0.000","0.268","undefined","0.425","0.305","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.997","undefined","undefined","0.000","0.147","undefined","0.000","3.8","0.000"
"Car","Sedan/Wagon","1988","10736","0.701911","28.58606","24.14857","21.43647","28.18853","368.01608","414.57652","315.27247","3046.537","-","160.2564","115.9074","13.2717","0.758584","0.037471","36.91797","0.817","0.008","0.175","0.243","0.096","0.661","0.000","0.000","0.163","undefined","0.537","0.300","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.199","undefined","0.000","3.8","0.000"
"Car","Sedan/Wagon","1989","10018","0.693142","28.14546","23.70987","20.89662","27.85522","374.83716","425.29953","319.05561","3099.266","-","162.6329","120.9978","12.4652","0.782882","0.038655","36.83858","0.825","0.010","0.165","0.210","0.096","0.693","0.000","0.000","0.097","undefined","0.624","0.278","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.244","undefined","0.000","3.9","0.001"
"Car","Sedan/Wagon","1990","8810","0.698357","27.78163","23.33429","20.46276","27.49645","380.87347","434.32026","323.22144","3175.900","-","163.0362","128.5061","11.3542","0.829428","0.040132","37.11875","0.846","0.010","0.144","0.196","0.074","0.729","0.000","0.000","0.014","undefined","0.775","0.211","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.330","undefined","0.000","3.9","0.000"
"Car","Sedan/Wagon","1991","8524","0.677964","27.99140","23.42825","20.48348","27.60558","379.38525","433.92348","321.97946","3153.670","-","162.6085","132.2115","11.2824","0.851180","0.041339","37.04747","0.832","0.014","0.154","0.205","0.059","0.736","0.000","0.000","0.000","undefined","0.780","0.219","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.341","undefined","0.000","3.9","0.000"
"Car","Sedan/Wagon","1992","8108","0.666086","27.61568","23.06995","19.95943","27.47112","385.24953","445.28566","323.53032","3239.880","-","169.6996","140.5106","10.7402","0.868069","0.042785","37.44980","0.808","0.011","0.181","0.174","0.062","0.764","0.000","0.000","0.000","undefined","0.895","0.104","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.350","undefined","0.000","3.9","0.000"
