"Function","Attribute","Value","Type"
"fleet_composition_scenario_f","fuel_matching_option",,"External"
"fleet_demand_matrix_f","results_path","","Internal"
"fleet_demand_matrix_f","first_yr",,"External"
"fleet_demand_matrix_f","last_yr",,"External"
"fleet_demand_matrix_f","fuel_matching_option",,"External"
"fleet_demand_matrix_f","first_proj_yr",,"External"
"fleet_driving_cost_per_vkt_f","aeo_scen",,"External"
"fleet_driving_cost_per_vkt_f","last_yr",,"External"
"fleet_efuel_f","efuel_dep_mdl",,"External"
"fleet_efuel_f","efuel_dep_rate",,"External"
"fleet_efuel_f","efuel_param_scen",,"External"
"fleet_emission_target_f","ghg_budget_mdl",,"External"
"fleet_emission_target_gcam_f","ssp_scen",,"External"
"fleet_emission_target_gcam_f","ssp_mitigation_scen",,"External"
"fleet_emission_target_gcam_f","last_yr",,"External"
"fleet_emission_target_iam_f","ssp_scen",,"External"
"fleet_emission_target_iam_f","ssp_mitigation_scen",,"External"
"fleet_emission_target_iam_f","last_yr",,"External"
"fleet_emission_target_lit_rev_f","last_yr",,"External"
"fleet_env_matrix_f","first_yr",,"External"
"fleet_env_matrix_f","last_yr",,"External"
"fleet_env_matrix_f","ghg",,"Internal"
"fleet_env_matrix_f","first_proj_yr",,"External"
"fleet_fuel_u_f","first_yr",,"External"
"fleet_fuel_u_f","last_yr",,"External"
"fleet_fuel_u_f","fc_deg",,"External"
"fleet_fuel_u_f","fc_deg_mdl",,"External"
"fleet_fuel_u_f","vkt_turnover_adj_mdl",,"External"
"fleet_fuel_u_f","survival_rate_adj_age",,"External"
"fleet_fuel_u_f","scenario_id",,"External"
"fleet_fuel_u_f","fleet_id",,"External"
"fleet_fuel_u_f","fuel_matching_option",,"External"
"fleet_fuel_u_reg_f","first_yr",,"External"
"fleet_fuel_u_reg_f","last_yr",,"External"
"fleet_gwp_f","gwp_th",,"External"
"fleet_gwp_f","gwp_cc_fb",,"External"
"fleet_i_comp_wgt_f","wgt_scen_GREET",,"External"
"fleet_i_comp_wgt_f","mod_scen_GREET",,"External"
"fleet_i_ev_bat_f","FCV_bat_t",,"External"
"fleet_i_ev_bat_f","BEV_bat_t",,"External"
"fleet_i_ev_bat_f","PHEV_bat_t",,"External"
"fleet_i_ev_bat_f","HEV_bat_t",,"External"
"fleet_i_ev_bat_f","wgt_scen_GREET",,"External"
"fleet_i_ev_bat_f","ev_bat_size_mdl",,"External"
"fleet_i_mat_cont_f","mat_cont_adj",,"External"
"fleet_initialize_f","first_yr",,"External"
"fleet_initialize_f","last_yr",,"External"
"fleet_initialize_f","fuel_matching_option",,"External"
"fleet_initialize_f","fleet_id",,"External"
"fleet_lci_f",,,
"fleet_ldv_stock_update_gcam_f","fleet","","Internal"
"fleet_ldv_stock_update_gcam_f","last_yr",,"External"
"fleet_ldv_stock_update_gcam_f","ssp_scen",,"External"
"fleet_ldv_stock_update_gcam_f","ssp_mitigation_scen",,"External"
"fleet_ldv_stock_update_gcam_f","gcam_stock_adj",,"External"
"fleet_mfa_f","rec_scen",,"External"
"fleet_mfa_f","first_yr",,"External"
"fleet_mfa_f","last_yr",,"External"
"fleet_mfa_f","first_proj_yr",,"External"
"fleet_read_scenario_f","fleet_id",,"External"
"fleet_rebound_vkt_f","first_yr",,"External"
"fleet_rebound_vkt_f","last_yr",,"External"
"fleet_rebound_vkt_f","rebound_effect_mdl",,"External"
"fleet_rebound_vkt_f","rebound_effect_value",,"External"
"fleet_sales_reg_f","aeo_scen",,"External"
"fleet_sales_reg_f","first_yr",,"External"
"fleet_sales_reg_f","last_yr",,"External"
"fleet_technology_market_share_proj_f","market_share_source",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_size",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_size_an_grw",,"External"
