"Function","Attributes"
"vehicle_initialize_f","first_yr;last_yr;BEV_bat_t;PHEV_bat_t;HEV_bat_t"
"vehicle_lca_demand_matrix_f","lca_veh_lifetime_mdl;first_yr;last_yr;efuel_dep_mdl;efuel_dep_rate;efuel_param_scen"
"vehicle_lci_f","vh_lca_yrs"
"vehicle_module_f","last_yr"
"vehicle_peak_power_f","HEV_bat_t"
"vehicle_specifications_f","fc_impro;first_yr;last_yr"
"vehicle_utility_factor_f",""
"vehicle_weight_changes_battery_f","bat_resz_ratio"
"vehicle_weight_changes_f","sms_cutoff"
"vehicle_weight_changes_powertrain_f","pwtr_resz_ratio"
"vehicle_weight_changes_secondary_f","sms_ratio"
"vehicle_wgt_changes_feature_f","feature_wgt"
"vehicle_wgt_changes_lightweighting_f","lw_scen;lw_first_yr;lw_period"
"verification_cobra_datasets_f",""
"verification_fleet_composition_f",""
